edge_id,target_lanes,source_segment_ids,source_directions,repair_reason,notes
-174870621#10,3,S1,upbound,route_strict_lane_override,S1 upbound strict recall edge
-174870621#8,3,S1,upbound,route_strict_lane_override,S1 upbound strict recall edge
-174870621#7,3,S1,upbound,route_strict_lane_override,S1 upbound strict recall edge
-174870621#5,3,S1,upbound,route_strict_lane_override,S1 upbound strict recall edge
-174870621#2,3,S1,upbound,route_strict_lane_override,S1 upbound strict recall edge
-381802847#1,3,S1,upbound,route_strict_lane_override,S1 upbound strict recall edge
-381802847#2,3,S1,upbound,route_strict_lane_override,S1 upbound route start edge
174870621#8,3,S1,downbound,route_strict_lane_override,S1 downbound strict recall edge
174870621#4,3,S1,downbound,route_strict_lane_override,S1 downbound strict recall edge
174870621#6,3,S1,downbound,route_strict_lane_override,S1 downbound strict recall edge
174870621#9,3,S1,downbound,route_strict_lane_override,S1 downbound strict recall edge
174870621#1,3,S1,downbound,route_strict_lane_override,S1 downbound strict recall edge
381802847#1,3,S1,downbound,route_strict_lane_override,S1 downbound strict recall edge
381802847#2,3,S1,downbound,route_strict_lane_override,S1 downbound strict recall edge
218684411#0,3,S1,downbound,route_strict_lane_override,S1 downbound strict recall edge
218773869#1,3,S9,upbound,route_strict_lane_override,S9 upbound route edge
218773869#3,3,S9,upbound,route_strict_lane_override,S9 upbound route edge
218773869#4,3,S9,upbound,route_strict_lane_override,S9 upbound route edge
218773869#5,3,S9,upbound,route_strict_lane_override,S9 upbound route edge
218773869#6,3,S9,upbound,route_strict_lane_override,S9 upbound route edge
218773869#7,3,S9,upbound,route_strict_lane_override,S9 upbound route edge
218773869#8,3,S9,upbound,route_strict_lane_override,S9 upbound route edge
218915135#4,3,S17,upbound,route_strict_lane_override,S17 upbound route edge
