endpoint_id,segment_id,endpoint_role,skeleton_intersection,skeleton_lat,skeleton_lon,itst_id,a008_name,a008_lat,a008_lon,a008_xce,a008_yce,a008_normalized_id,a008_history_id,distance_m,name_similarity,match_status,match_confidence,alternatives
S1:start,S1,start,신당역,37.565319,127.016594,148,신당역,37.565367658972036,127.0162073556887,201431.892380015,551759.249973645,-,1740,34.451,1.0,auto_confirmed_distance,0.866,6423:농협신당동지점:141.7m:name=1.00 | 6551:신당중앙시장(연등):149.8m:name=1.00
S1:end,S1,end,성동글로벌경영고,37.564829,127.012585,7789,성동글로벌경영고,37.56493795372274,127.01246403397406,201101.182580546,551711.507285612,4229892,7459,16.111,1.0,auto_confirmed_distance,0.937,5409:충무아트센터:129.2m:name=0.00 | 92:한양공고앞:138.7m:name=0.17
S2:end,S2,end,한양공고앞,37.564852,127.010528,92,한양공고앞,37.564860028434026,127.01100945276377,200972.67307301,551702.842444272,-,20,42.377,1.0,auto_confirmed_distance,0.835,5380:동대문역사문화공원역:91.9m:name=0.17 | 6813:토요코인호텔앞:121.5m:name=0.00
S3:end,S3,end,토요코인호텔앞,37.564375,127.009188,6813,토요코인호텔앞,37.5644885850395,127.00922565520177,200815.080562023,551661.599623555,4229284,6483,13.036,1.0,auto_confirmed_distance,0.949,5380:동대문역사문화공원역:126.8m:name=0.00 | 92:한양공고앞:169.1m:name=0.00
S4:end,S4,end,차로변화(127.0078),37.564099,127.0078,647,광희동사거리,37.56422357576623,127.00718059291248,200634.40290243,551632.170937545,4219972,662,56.234,0.0,auto_confirmed_distance,0.481,6813:토요코인호텔앞:132.7m:name=0.00 | 368:동대문역사문화공원:214.4m:name=0.17
S5:end,S5,end,광희사거리,37.564011,127.007358,647,광희동사거리,37.56422357576623,127.00718059291248,200634.40290243,551632.170937545,4219972,662,28.293,1.0,auto_confirmed_distance,0.89,6813:토요코인호텔앞:172.7m:name=0.00 | 5988:케리스빌딩앞:211.5m:name=0.00
S6:end,S6,end,퇴계로5가,37.563021,127.002462,612,퇴계로5가,37.56320050625745,127.00257411109493,200227.424935585,551518.601135154,-,2721,22.234,1.0,auto_confirmed_distance,0.914,1242:충무초교(경보):154.6m:name=0.00 | 371:오장동사거리:178.8m:name=0.00
S7:end,S7,end,차로변화(126.9986),37.56241,126.99865,624,퇴계로4가,37.56227016453705,126.99853253889299,199870.346933175,551415.342062498,-,183,18.649,0.222,auto_confirmed_distance,0.694,5596:퇴계로4가(연등):68.6m:name=0.22 | 8398:삼일빌딩앞:144.0m:name=0.00
S8:end,S8,end,퇴계로4가,37.562329,126.998147,624,퇴계로4가,37.56227016453705,126.99853253889299,199870.346933175,551415.342062498,-,183,34.55,1.0,auto_confirmed_distance,0.866,5596:퇴계로4가(연등):79.6m:name=1.00 | 1240:녹두3거리(경보):126.9m:name=0.00
S9:end,S9,end,충무로역(퇴계로3가),37.5609,126.993133,649,충무로역,37.561082706252186,126.99326074726484,199404.564353151,551283.568541485,-,5717,23.188,1.0,auto_confirmed_distance,0.91,6835:충무로역(연등):59.2m:name=1.00 | 1239:티마크호텔:213.9m:name=0.00
S10:end,S10,end,차로변화(126.9907),37.561016,126.9907,961,한국예술사관학교,37.56018669037354,126.9901601109801,199130.602296403,551184.145532256,3288983,558,103.591,0.0,manual_review,0.297,648:퇴계로2가:146.4m:name=0.22 | 4908:삼익아파트(경보):149.5m:name=0.00
S11:end,S11,end,퇴계로2가,37.561086,126.989238,648,퇴계로2가,37.561190456221254,126.98905093339258,199032.614529895,551295.562515572,-,5716,20.135,1.0,auto_confirmed_distance,0.922,961:한국예술사관학교:128.6m:name=0.00 | 956:남산적십자(연등)1:179.6m:name=0.00
S12:end,S12,end,차로변화(126.9869),37.561062,126.98695,6481,명동역앞,37.56094642879492,126.98619058510396,198779.889520883,551268.511639819,3289204,6151,68.049,0.0,manual_review,0.435,648:퇴계로2가:185.4m:name=0.22 | 956:남산적십자(연등)1:188.3m:name=0.00
S13:end,S13,end,명동역앞,37.561054,126.986223,6481,명동역앞,37.56094642879492,126.98619058510396,198779.889520883,551268.511639819,3289204,6151,12.276,1.0,auto_confirmed_distance,0.952,7760:데이즈호텔앞:218.1m:name=0.00 | 956:남산적십자(연등)1:231.1m:name=0.00
S14:end,S14,end,데이즈호텔앞,37.560611,126.983993,7760,데이즈호텔앞,37.56072110328105,126.98378046999282,198566.943039001,551243.537187339,3278792,7430,22.342,1.0,auto_confirmed_distance,0.913,122:회현사거리:170.8m:name=0.00 | 6481:명동역앞:196.9m:name=0.00
S15:end,S15,end,회현사거리,37.560753,126.982148,122,회현사거리,37.560389307061065,126.98207234290116,198416.016509932,551206.739144423,3278492,2550,40.915,1.0,auto_confirmed_distance,0.841,7760:데이즈호텔앞:143.7m:name=0.00 | 192:한국은행앞:154.4m:name=0.00
S16:end,S16,end,신세계백화점,37.559606,126.9801,1105,신세계백화점,37.559520794985,126.98014365189896,198245.588226901,551110.378832325,-,2884,10.208,1.0,auto_confirmed_distance,0.96,5263:남대문시장:177.3m:name=0.00 | 122:회현사거리:194.1m:name=0.00
S17:end,S17,end,남대문시장,37.558839,126.978412,5263,남대문시장,37.55873501877853,126.97841137833679,198092.512802367,551023.2007271,3268852,3143,11.542,1.0,auto_confirmed_distance,0.955,7385:삼선빌딩(연등)1:107.5m:name=0.00 | 1105:신세계백화점:170.1m:name=0.00
S18:end,S18,end,삼선빌딩,37.557583,126.977072,6086,삼선빌딩,37.55765151468554,126.97692688434837,197961.319127735,550902.975790004,3268533,5933,14.863,1.0,auto_confirmed_distance,0.942,7385:삼선빌딩(연등)1:76.0m:name=1.00 | 7386:삼선빌딩(연등)2:107.0m:name=1.00
S19:end,S19,end,세브란스빌딩,37.556492,126.974231,858,세브란스빌딩,37.55664705841623,126.97430127740095,197729.296799778,550791.553268058,-,456,18.289,1.0,auto_confirmed_distance,0.929,5921:서울스퀘어앞:104.4m:name=0.18 | 475:서울역:169.4m:name=0.00
S20:end,S20,end,차로변화(126.9741),37.556433,126.97405,858,세브란스빌딩,37.55664705841623,126.97430127740095,197729.296799778,550791.553268058,-,456,32.458,0.0,auto_confirmed_distance,0.574,5921:서울스퀘어앞:87.3m:name=0.00 | 475:서울역:158.3m:name=0.00
S21:end,S21,end,서울스퀘어앞,37.556152,126.973187,5921,서울스퀘어앞,37.556241688792426,126.9730875426394,197622.04000975,550746.59207499,3257892,628,13.256,1.0,auto_confirmed_distance,0.948,858:세브란스빌딩:112.4m:name=0.18 | 475:서울역:126.1m:name=1.00
S22:end,S22,end,서울역R,37.557032,126.97239,475,서울역,37.55714555075937,126.97249179162856,197569.429354991,550846.925242828,3258711,1139,15.463,1.0,auto_confirmed_distance,0.94,5921:서울스퀘어앞:107.1m:name=0.50 | 7903:숭례문정류장(연등):167.6m:name=0.00
