tls_id,boundary_id,candidate_intersection_name,from_segment,to_segment,route_pair_index,route_from_edge,route_to_edge,selected_green_phases,selected_red_phases,movement_ids,mapped_S_segments,itst_id,a008_name,skeleton_intersection,endpoint_source,distance_m,name_similarity,match_status,match_confidence,candidate_endpoint_score
CSV_TLS_S01_S02_SEONGDONG_GLOBAL_BUSINESS_HIGH_SCHOOL,S01_S02,Seongdong Global Business High School,S1,S2,6,-174870621#2,-174870621#0,0,2,B4_MOVEMENT_00,S1:upbound,7789,성동글로벌경영고,성동글로벌경영고,S1:end,16.111,1.0,auto_confirmed_distance,0.937,3.920889
CSV_TLS_S02_S03_HANYANG_TECHNICAL_HIGH_SCHOOL_FRONT,S02_S03,Hanyang Technical High School Front,S2,S3,10,800229255,180368918#0,0,2,B4_MOVEMENT_01,S2:upbound,92,한양공고앞,한양공고앞,S2:end,42.377,1.0,auto_confirmed_distance,0.835,3.792623
cluster_3846534041_436877431,S03_S04,Toyoko Inn Hotel Front,S3,S4,12,180368918#3,180368918#5,0,2,B4_MOVEMENT_02,S3:upbound,6813,토요코인호텔앞,토요코인호텔앞,S3:end,13.036,1.0,auto_confirmed_distance,0.949,3.935964
CSV_TLS_S05_S06_GWANGHUI_INTERSECTION,S05_S06,Gwanghui Intersection,S5,S6,16,180368918#8,218773868#0,0,2,B4_MOVEMENT_03,S5:upbound,647,광희동사거리,광희사거리,S5:end,28.293,1.0,auto_confirmed_distance,0.89,3.861707
joinedS_7335400058_cluster_13348213189_13348213190_13348213191_4273893706_#1more,S06_S07,Toegye-ro 5-ga,S6,S7,23,-1455512070,428260110,0,2,B4_MOVEMENT_04,S6:upbound,612,퇴계로5가,퇴계로5가,S6:end,22.234,1.0,auto_confirmed_distance,0.914,3.891766
CSV_TLS_S08_S09_TOEGYE_RO_4_GA,S08_S09,Toegye-ro 4-ga,S7,S9,28,785130600#3,1455497345,0,2,B4_MOVEMENT_05,S7:upbound,624,퇴계로4가,차로변화(126.9986),S7:end,18.649,0.222,auto_confirmed_distance,0.694,2.675351
joinedS_11346754524_11346754527_7335400049_cluster_11346754525_11346754526_2784736947_414685366_#2more,S09_S10,Chungmuro Station (Toegye-ro 3-ga),S9,S10,37,218773869#9,219696193#1,2 8,0 0,B4_MOVEMENT_06 B4_MOVEMENT_07,S9:upbound,649,충무로역,충무로역(퇴계로3가),S9:end,23.188,1.0,auto_confirmed_distance,0.91,3.886812
CSV_TLS_S11_S12_TOEGYE_RO_2_GA,S11_S12,Toegye-ro 2-ga,S11,S12,42,420361196,180445419,0,,B4_MOVEMENT_08,S11:upbound,648,퇴계로2가,퇴계로2가,S11:end,20.135,1.0,auto_confirmed_distance,0.922,3.901865
CSV_TLS_S13_S14_MYEONGDONG_STATION_FRONT,S13_S14,Myeongdong Station Front,S13,S14,45,347237859#1,347237859#2,0,2,B4_MOVEMENT_09,S13:upbound,6481,명동역앞,명동역앞,S13:end,12.276,1.0,auto_confirmed_distance,0.952,3.939724
CSV_TLS_S14_S15_DAYS_HOTEL_FRONT,S14_S15,Days Hotel Front,S14,S15,48,347237859#4,347237859#5,0,,B4_MOVEMENT_10,S14:upbound,7760,데이즈호텔앞,데이즈호텔앞,S14:end,22.342,1.0,auto_confirmed_distance,0.913,3.890658
joinedS_11203052957_cluster_11203052955_11203052956_11203052960_11203052961_#11more,S15_S16,Hoehyeon Intersection,S15,S16,50,781985787#0,218915135#3,4,0,B4_MOVEMENT_11,S15:upbound,122,회현사거리,회현사거리,S15:end,40.915,1.0,auto_confirmed_distance,0.841,3.800085
CSV_TLS_S16_S17_SHINSEGAE_DEPARTMENT_STORE,S16_S17,Shinsegae Department Store,S16,S17,52,218915135#4,781983104#0,0,2,B4_MOVEMENT_12,S16:upbound,1105,신세계백화점,신세계백화점,S16:end,10.208,1.0,auto_confirmed_distance,0.96,3.949792
CSV_TLS_S17_S18_NAMDAEMUN_MARKET,S17_S18,Namdaemun Market,S17,S18,53,781983104#0,781983104#1,0,2,B4_MOVEMENT_13,S17:upbound,5263,남대문시장,남대문시장,S17:end,11.542,1.0,auto_confirmed_distance,0.955,3.943458
CSV_TLS_S18_S19_SAMSEON_BUILDING,S18_S19,Samseon Building,S18,S19,55,333557072#1,333557072#2,0,,B4_MOVEMENT_14,S18:upbound,6086,삼선빌딩,삼선빌딩,S18:end,14.863,1.0,auto_confirmed_distance,0.942,3.927137
CSV_TLS_S19_S20_SEVERANCE_BUILDING,S19_S20,Severance Building,S19,S21,58,333557072#5,619147738#0,0,2,B4_MOVEMENT_15,S19:upbound,858,세브란스빌딩,세브란스빌딩,S19:end,18.289,1.0,auto_confirmed_distance,0.929,3.910711
joinedS_11139302899_11139302904_11178710208_cluster_11139302901_4704751520_5593950663_5593950669_#1more_#1more,S21_S22,Seoul Square Front,S21,S22,59,619147738#0,619147738#1,2,0,B4_MOVEMENT_16,S21:upbound,5921,서울스퀘어앞,서울스퀘어앞,S21:end,13.256,1.0,auto_confirmed_distance,0.948,3.934744
