tls_id,programID,phase_index,action,before_len,after_len,required_len
8487751470,GLOBAL_REALITY,0,truncate,11,10,10
8487751470,GLOBAL_REALITY,1,truncate,11,10,10
8487751470,GLOBAL_REALITY,2,truncate,11,10,10
8487751470,GLOBAL_REALITY,3,truncate,11,10,10
COMPACT_V9_FIRE_STATION_ENTRY_TLS,COMPACT_V9_ENTRY,0,truncate,10,7,7
COMPACT_V9_FIRE_STATION_ENTRY_TLS,COMPACT_V9_ENTRY,1,truncate,10,7,7
COMPACT_V9_FIRE_STATION_ENTRY_TLS,COMPACT_V9_ENTRY,2,truncate,10,7,7
cluster_11277565406_11277565407_11277565408_11277565409_#6more,GLOBAL_REALITY,0,truncate,61,52,52
cluster_11277565406_11277565407_11277565408_11277565409_#6more,GLOBAL_REALITY,1,truncate,61,52,52
cluster_11277565406_11277565407_11277565408_11277565409_#6more,GLOBAL_REALITY,2,truncate,61,52,52
cluster_11277565406_11277565407_11277565408_11277565409_#6more,GLOBAL_REALITY,3,truncate,61,52,52
cluster_11277565406_11277565407_11277565408_11277565409_#6more,GLOBAL_REALITY,4,truncate,61,52,52
cluster_11277565406_11277565407_11277565408_11277565409_#6more,GLOBAL_REALITY,5,truncate,61,52,52
cluster_11277565406_11277565407_11277565408_11277565409_#6more,GLOBAL_REALITY,6,truncate,61,52,52
cluster_11277565406_11277565407_11277565408_11277565409_#6more,GLOBAL_REALITY,7,truncate,61,52,52
cluster_11347624895_11414286294,GLOBAL_REALITY,0,truncate,21,16,16
cluster_11347624895_11414286294,GLOBAL_REALITY,1,truncate,21,16,16
cluster_11347624895_11414286294,GLOBAL_REALITY,2,truncate,21,16,16
cluster_11347624895_11414286294,GLOBAL_REALITY,3,truncate,21,16,16
cluster_11347624895_11414286294,GLOBAL_REALITY,4,truncate,21,16,16
cluster_11347624895_11414286294,GLOBAL_REALITY,5,truncate,21,16,16
cluster_11347624895_11414286294,GLOBAL_REALITY,6,truncate,21,16,16
cluster_11347624895_11414286294,GLOBAL_REALITY,7,truncate,21,16,16
cluster_3846534041_436877431,GLOBAL_REALITY,0,truncate,11,8,8
cluster_3846534041_436877431,GLOBAL_REALITY,1,truncate,11,8,8
cluster_3846534041_436877431,GLOBAL_REALITY,2,truncate,11,8,8
cluster_3846534041_436877431,GLOBAL_REALITY,3,truncate,11,8,8
joinedS_11414286323_cluster_11414286309_7666741014,GLOBAL_REALITY,0,truncate,20,15,15
joinedS_11414286323_cluster_11414286309_7666741014,GLOBAL_REALITY,1,truncate,20,15,15
joinedS_11414286323_cluster_11414286309_7666741014,GLOBAL_REALITY,2,truncate,20,15,15
joinedS_11414286323_cluster_11414286309_7666741014,GLOBAL_REALITY,3,truncate,20,15,15
joinedS_11414286323_cluster_11414286309_7666741014,GLOBAL_REALITY,4,truncate,20,15,15
joinedS_11414286323_cluster_11414286309_7666741014,GLOBAL_REALITY,5,truncate,20,15,15
joinedS_11414286323_cluster_11414286309_7666741014,GLOBAL_REALITY,6,truncate,20,15,15
joinedS_11414286323_cluster_11414286309_7666741014,GLOBAL_REALITY,7,truncate,20,15,15
