movement_id,tls_id,mapped_S_segment,route_order_index,controllable,tau_measured_by_runtime,stage3_extension_candidate,selected_green_phase,selected_red_phase,red_phase_available,green_only_no_red_phase,local_storage_edges,corridor_storage_edges,corridor_storage_length_m,tau_source,control_scope_note
B4_MOVEMENT_00,CSV_TLS_S01_S02_SEONGDONG_GLOBAL_BUSINESS_HIGH_SCHOOL,S1:upbound,6,True,True,True,0,2,True,False,-174870621#4 -174870621#2,420331801#1 -174870621#8 -174870621#7 -174870621#6 -174870621#5 -174870621#4 -174870621#2,250.0,route_order_corridor_edge_queue_sum,B4 Stage3 EV-route main-road movement
B4_MOVEMENT_01,CSV_TLS_S02_S03_HANYANG_TECHNICAL_HIGH_SCHOOL_FRONT,S2:upbound,10,True,True,True,0,2,True,False,-174870621#0 578313748#0 578313748#2 800229255,-174870621#0 578313748#0 578313748#2 800229255,101.96,route_order_corridor_edge_queue_sum,B4 Stage3 EV-route main-road movement
B4_MOVEMENT_02,cluster_3846534041_436877431,S3:upbound,12,True,True,True,0,2,True,False,578313748#0 578313748#2 800229255 180368918#0 180368918#3,180368918#0 180368918#3,71.52,route_order_corridor_edge_queue_sum,B4 Stage3 EV-route main-road movement
B4_MOVEMENT_03,CSV_TLS_S05_S06_GWANGHUI_INTERSECTION,S5:upbound,16,True,True,True,0,2,True,False,180368918#3 180368918#5 180368918#6 180368918#7 180368918#8,180368918#5 180368918#6 180368918#7 180368918#8,99.24,route_order_corridor_edge_queue_sum,B4 Stage3 EV-route main-road movement
B4_MOVEMENT_04,joinedS_7335400058_cluster_13348213189_13348213190_13348213191_4273893706_#1more,S6:upbound,23,True,True,True,0,2,True,False,218773868#5 218773868#6 -1455512070,218773868#0 218773868#2 218773868#3 218773868#4 218773868#5 218773868#6 -1455512070,250.0,route_order_corridor_edge_queue_sum,B4 Stage3 EV-route main-road movement
B4_MOVEMENT_05,CSV_TLS_S08_S09_TOEGYE_RO_4_GA,S7:upbound,28,True,True,True,0,2,True,False,785130600#2 785130600#3,428260110 785130600#0 785130600#1 785130600#2 785130600#3,250.0,route_order_corridor_edge_queue_sum,B4 Stage3 EV-route main-road movement
B4_MOVEMENT_06,joinedS_11346754524_11346754527_7335400049_cluster_11346754525_11346754526_2784736947_414685366_#2more,S9:upbound,35,True,True,True,2,0,True,False,218773869#6 218773869#7,1455497345 218773869#1 218773869#3 218773869#4 218773869#5 218773869#6 218773869#7,250.0,route_order_corridor_edge_queue_sum,B4 Stage3 EV-route main-road movement
B4_MOVEMENT_07,joinedS_11346754524_11346754527_7335400049_cluster_11346754525_11346754526_2784736947_414685366_#2more,S9:upbound,37,True,True,True,8,0,True,False,218773869#6 218773869#7 218773869#8 218773869#9,218773869#1 218773869#3 218773869#4 218773869#5 218773869#6 218773869#7 218773869#8 218773869#9,250.0,route_order_corridor_edge_queue_sum,B4 Stage3 EV-route main-road movement
B4_MOVEMENT_08,CSV_TLS_S11_S12_TOEGYE_RO_2_GA,S11:upbound,42,True,True,True,0,,False,True,420361196,219696193#2 781985793#0 781985793#1 420361196,250.0,route_order_corridor_edge_queue_sum,B4 Stage3 EV-route main-road movement
B4_MOVEMENT_09,CSV_TLS_S13_S14_MYEONGDONG_STATION_FRONT,S13:upbound,45,True,True,True,0,2,True,False,180445419 347237859#0 347237859#1,180445419 347237859#0 347237859#1,185.97,route_order_corridor_edge_queue_sum,B4 Stage3 EV-route main-road movement
B4_MOVEMENT_10,CSV_TLS_S14_S15_DAYS_HOTEL_FRONT,S14:upbound,48,True,True,True,0,,False,True,347237859#3 347237859#4,347237859#2 347237859#3 347237859#4,167.98,route_order_corridor_edge_queue_sum,B4 Stage3 EV-route main-road movement
B4_MOVEMENT_11,joinedS_11203052957_cluster_11203052955_11203052956_11203052960_11203052961_#11more,S15:upbound,50,True,True,True,4,0,True,False,347237859#5 781985787#0,347237859#5 781985787#0,106.77,route_order_corridor_edge_queue_sum,B4 Stage3 EV-route main-road movement
B4_MOVEMENT_12,CSV_TLS_S16_S17_SHINSEGAE_DEPARTMENT_STORE,S16:upbound,52,True,True,True,0,2,True,False,218915135#3 218915135#4,218915135#3 218915135#4,139.73,route_order_corridor_edge_queue_sum,B4 Stage3 EV-route main-road movement
B4_MOVEMENT_13,CSV_TLS_S17_S18_NAMDAEMUN_MARKET,S17:upbound,53,True,True,True,0,2,True,False,218915135#4 781983104#0,781983104#0,88.08,route_order_corridor_edge_queue_sum,B4 Stage3 EV-route main-road movement
B4_MOVEMENT_14,CSV_TLS_S18_S19_SAMSEON_BUILDING,S18:upbound,55,True,True,True,0,,False,True,781983104#1 333557072#1,781983104#1 333557072#1,232.65,route_order_corridor_edge_queue_sum,B4 Stage3 EV-route main-road movement
B4_MOVEMENT_15,CSV_TLS_S19_S20_SEVERANCE_BUILDING,S19:upbound,58,True,True,True,0,2,True,False,333557072#3 333557072#5,333557072#2 333557072#3 333557072#5,181.19,route_order_corridor_edge_queue_sum,B4 Stage3 EV-route main-road movement
B4_MOVEMENT_16,joinedS_11139302899_11139302904_11178710208_cluster_11139302901_4704751520_5593950663_5593950669_#1more_#1more,S21:upbound,59,True,True,True,2,0,True,False,619147738#0,619147738#0,103.48,route_order_corridor_edge_queue_sum,B4 Stage3 EV-route main-road movement
