segment_id,start,end,B04_up_kmh,B4_up_kmh,delta_up_kmh,B04_down_kmh,B4_down_kmh,delta_down_kmh
S1,신당역,성동글로벌경영고,1.588,31.427,29.84,66.855,68.499,1.643
S2,성동글로벌경영고,한양공고앞,1.757,27.983,26.226,35.387,35.713,0.327
S3,한양공고앞,토요코인호텔앞,4.66,47.156,42.496,38.649,32.607,-6.042
S4,토요코인호텔앞,차로변화(127.0078),4.404,41.043,36.639,50.724,47.021,-3.703
S5,차로변화(127.0078),광희사거리,4.106,27.003,22.897,37.069,33.714,-3.355
S6,광희사거리,퇴계로5가,3.255,32.109,28.853,37.558,33.456,-4.102
S7,퇴계로5가,차로변화(126.9986),2.525,11.512,8.987,26.983,30.92,3.937
S8,차로변화(126.9986),퇴계로4가,1.718,6.52,4.802,17.317,22.606,5.289
S9,퇴계로4가,충무로역(퇴계로3가),1.363,2.919,1.556,14.804,14.412,-0.392
S10,충무로역(퇴계로3가),차로변화(126.9907),29.818,36.989,7.171,1.67,3.463,1.793
S11,차로변화(126.9907),퇴계로2가,11.035,52.56,41.525,31.042,75.054,44.011
S12,퇴계로2가,차로변화(126.9869),3.045,57.065,54.02,72.039,78.488,6.449
S13,차로변화(126.9869),명동역앞,2.527,35.503,32.976,69.965,75.684,5.719
S14,명동역앞,데이즈호텔앞,2.284,22.96,20.676,71.531,76.405,4.874
S15,데이즈호텔앞,회현사거리,1.502,6.487,4.984,68.652,69.089,0.437
S16,회현사거리,신세계백화점,58.813,58.927,0.115,0.427,0.667,0.24
S17,신세계백화점,남대문시장,61.909,61.045,-0.865,0.541,0.986,0.446
S18,남대문시장,삼선빌딩,78.359,78.444,0.085,0.663,1.498,0.836
S19,삼선빌딩,세브란스빌딩,66.113,66.671,0.558,0.724,2.356,1.631
S20,세브란스빌딩,차로변화(126.9741),51.868,46.897,-4.971,0.685,2.806,2.122
S21,차로변화(126.9741),서울스퀘어앞,51.868,46.897,-4.971,0.482,2.355,1.873
S22,서울스퀘어앞,서울역R,41.564,41.919,0.355,0.145,0.895,0.75
