tls_id,profile_role,source,source_itst_id,source_eqmn_id,source_tls_id,movement_ids,mapped_segments,route_order_min,cycle_sec,main_green_sec,side_green_sec,yellow_sec,offset_sec,confidence,dominant_api_field,dominant_remaining_sec,inference_reason,status,before_cycle_sec,after_cycle_sec,phase_count,main_phase_indices,yellow_phase_count
CSV_TLS_S01_START_SINDANG_STATION,location_matched_mainroad,A008_location_matched_TData_SPAT,148,CIB1130003600,CSV_TLS_S01_START_SINDANG_STATION,,,15.0,120,60,54,3,93,0.701,nwLtsgRmdrCs,86.8,"location matched by A008 distance/name; timing_fields=5.0; state_fields=0; match_status=auto_confirmed_distance; G/Y/R inferred from RmdrCs remaining-time statistics, not direct API color durations; demand-proportional mapwide adjustment count=389.0, factor=0.905",APPLIED_MAINROAD_SEMANTIC,110.0,120,4,0,2
CSV_TLS_S21_S22_SEOUL_SQUARE_FRONT,location_matched_mainroad,A008_location_matched_TData_measured_route_family_fallback,5921,,CSV_TLS_S21_S22_SEOUL_SQUARE_FRONT,B4_MOVEMENT_16,S21:upbound,59.0,105,54,45,3,73,0.55,,0.0,"no direct API timing hit; used direct T-Data profile average route-family timing; demand-proportional mapwide adjustment count=342.0, factor=0.515",APPLIED_MAINROAD_SEMANTIC,100.0,105,4,0,2
CSV_TLS_S18_S19_SAMSEON_BUILDING,location_matched_mainroad,A008_location_matched_TData_measured_route_family_fallback,6086,,CSV_TLS_S18_S19_SAMSEON_BUILDING,B4_MOVEMENT_14,S18:upbound,55.0,110,46,58,3,54,0.55,,0.0,"no direct API timing hit; used direct T-Data profile average route-family timing; demand-proportional mapwide adjustment count=214.0, factor=0.46",APPLIED_MAINROAD_SEMANTIC,105.0,110,4,0,2
CSV_TLS_S17_S18_NAMDAEMUN_MARKET,location_matched_mainroad,A008_location_matched_TData_measured_route_family_fallback,5263,,CSV_TLS_S17_S18_NAMDAEMUN_MARKET,B4_MOVEMENT_13,S17:upbound,53.0,110,61,43,3,44,0.55,,0.0,"no direct API timing hit; used direct T-Data profile average route-family timing; demand-proportional mapwide adjustment count=175.0, factor=0.436",APPLIED_MAINROAD_SEMANTIC,105.0,110,4,0,2
CSV_TLS_S16_S17_SHINSEGAE_DEPARTMENT_STORE,location_matched_mainroad,A008_location_matched_TData_measured_route_family_fallback,1105,,CSV_TLS_S16_S17_SHINSEGAE_DEPARTMENT_STORE,B4_MOVEMENT_12,S16:upbound,52.0,110,56,48,3,39,0.55,,0.0,"no direct API timing hit; used direct T-Data profile average route-family timing; demand-proportional mapwide adjustment count=563.0, factor=0.649",APPLIED_MAINROAD_SEMANTIC,105.0,110,4,0,2
CSV_TLS_S14_S15_DAYS_HOTEL_FRONT,location_matched_mainroad,A008_location_matched_TData_measured_route_family_fallback,7760,,CSV_TLS_S14_S15_DAYS_HOTEL_FRONT,B4_MOVEMENT_10,S14:upbound,48.0,110,61,43,3,20,0.55,,0.0,"no direct API timing hit; used direct T-Data profile average route-family timing; demand-proportional mapwide adjustment count=145.0, factor=0.414",APPLIED_MAINROAD_SEMANTIC,105.0,110,4,0,2
CSV_TLS_S13_S14_MYEONGDONG_STATION_FRONT,location_matched_mainroad,A008_location_matched_TData_measured_route_family_fallback,6481,,CSV_TLS_S13_S14_MYEONGDONG_STATION_FRONT,B4_MOVEMENT_09,S13:upbound,45.0,110,46,58,3,6,0.55,,0.0,"no direct API timing hit; used direct T-Data profile average route-family timing; demand-proportional mapwide adjustment count=661.0, factor=0.667",APPLIED_MAINROAD_SEMANTIC,105.0,110,4,0,2
CSV_TLS_S11_S12_TOEGYE_RO_2_GA,location_matched_mainroad,A008_location_matched_TData_SPAT,648,CIB1070033700,CSV_TLS_S11_S12_TOEGYE_RO_2_GA,B4_MOVEMENT_08,S11:upbound,42.0,115,55,54,3,105,0.642,neBssgRmdrCs,55.15,"location matched by A008 distance/name; timing_fields=3.0; state_fields=0; match_status=auto_confirmed_distance; G/Y/R inferred from RmdrCs remaining-time statistics, not direct API color durations; demand-proportional mapwide adjustment count=60.0, factor=0.286",APPLIED_MAINROAD_SEMANTIC,110.0,115,4,0,2
CSV_TLS_S08_S09_TOEGYE_RO_4_GA,location_matched_mainroad,A008_location_matched_TData_measured_route_family_fallback,624,,CSV_TLS_S08_S09_TOEGYE_RO_4_GA,B4_MOVEMENT_05,S7:upbound,28.0,115,61,48,3,29,0.55,,0.0,"no direct API timing hit; used direct T-Data profile average route-family timing; demand-proportional mapwide adjustment count=579.0, factor=0.802",APPLIED_MAINROAD_SEMANTIC,105.0,115,4,0,2
CSV_TLS_S05_S06_GWANGHUI_INTERSECTION,location_matched_mainroad,A008_location_matched_TData_measured_route_family_fallback,647,,CSV_TLS_S05_S06_GWANGHUI_INTERSECTION,B4_MOVEMENT_03,S5:upbound,16.0,115,56,53,3,76,0.55,,0.0,"no direct API timing hit; used direct T-Data profile average route-family timing; demand-proportional mapwide adjustment count=554.0, factor=0.972",APPLIED_MAINROAD_SEMANTIC,105.0,115,4,0,2
