tls_id,link_count,phase_count,demand_count,demand_pressure_factor,demand_cycle_delta_sec,demand_main_green_delta_sec
10299171845,11,4,0.0,0.025,0,0
cluster_1326096615_3849700763,25,11,8.0,0.637,5,5
4202879197,20,7,0.0,0.25,0,0
cluster_12785870414_3337522189,9,4,0.0,-0.025,0,0
joinedS_7335400058_cluster_13348213189_13348213190_13348213191_4273893706_#1more,23,4,852.0,1.0,10,10
cluster_13348293702_13348293703_414685829,14,4,8.0,0.362,5,5
CSV_TLS_S01_S02_SEONGDONG_GLOBAL_BUSINESS_HIGH_SCHOOL,6,3,438.0,0.625,5,5
COMPACT_V9_FIRE_STATION_ENTRY_TLS,10,3,67.0,0.503,5,5
joinedS_7121587905_cluster_11203001806_11203001809_11203001810_11203001814_#12more_cluster_11203001812_13639573216_13721232723_13721232725_#1more_cluster_11203001813_13721232726_#1more,67,22,21.0,1.0,10,10
CSV_TLS_S02_S03_HANYANG_TECHNICAL_HIGH_SCHOOL_FRONT,6,3,537.0,0.649,5,5
cluster_3846534041_436877431,11,4,0.0,0.025,0,0
CSV_TLS_S03_S04_TOYOKO_INN_HOTEL_FRONT,6,3,572.0,0.657,5,5
joinedS_4276255151_cluster_4276255149_4276255150_4276255152_436839431,10,4,0.0,0.0,0,0
1945254547,10,6,15.0,0.33,5,5
CSV_TLS_S01_START_SINDANG_STATION,18,4,342.0,0.895,10,5
CSV_TLS_S05_S06_GWANGHUI_INTERSECTION,19,4,525.0,0.971,10,10
joinedS_11209914859_cluster_11209914851_11209914852_11209914857_11209914858_#9more,20,6,0.0,0.25,0,0
cluster_2374692784_2374692803,20,8,8.0,0.512,5,5
joinedS_11346754524_11346754527_7335400049_cluster_11346754525_11346754526_2784736947_414685366_#2more,28,10,1023.0,1.0,10,10
cluster_3846493853_3846493855_3846493856,26,13,0.0,0.4,5,5
3846493836,11,4,0.0,0.025,0,0
436870729,22,8,0.0,0.3,5,0
3846533327,20,6,0.0,0.25,0,0
3846495798,11,4,0.0,0.025,0,0
436849185,8,4,0.0,-0.05,0,0
joinedS_11414286323_cluster_11414286309_7666741014,20,8,0.0,0.25,0,0
joinedS_3846493837_cluster_2515564080_436883154,22,6,0.0,0.3,5,0
2471514433,18,6,0.0,0.2,0,0
1327210743,11,4,0.0,0.025,0,0
8487751470,11,4,0.0,0.025,0,0
3285441969,2,3,24.0,0.183,0,0
5851251281,14,4,0.0,0.1,0,0
joinedS_11139302899_11139302904_11178710208_cluster_11139302901_4704751520_5593950663_5593950669_#1more_#1more,46,16,153.0,1.0,10,10
cluster_4276316582_436883143,8,6,0.0,-0.05,0,0
11059693772,1,3,0.0,-0.225,0,0
cluster_2457731125_436856300,3,1,0.0,-0.175,0,0
CSV_TLS_S08_S09_TOEGYE_RO_4_GA,12,4,541.0,0.8,10,5
joinedS_11203052957_cluster_11203052955_11203052956_11203052960_11203052961_#11more,37,11,569.0,1.0,10,10
cluster_11203041632_11203041633_11203041634_11203041635_#5more,26,8,15.0,0.73,5,5
13732389938,8,4,0.0,-0.05,0,0
13732389937,6,4,0.0,-0.1,0,0
cluster_11347624895_11414286294,21,8,0.0,0.275,5,0
joinedS_11203083989_11203083990_11203083991_11203083992_#1more,30,4,0.0,0.5,5,5
5172891765,1,3,0.0,-0.225,0,0
CSV_TLS_S16_S17_SHINSEGAE_DEPARTMENT_STORE,6,3,563.0,0.655,5,5
5161705573,2,3,0.0,-0.2,0,0
5172891764,2,3,16.0,0.138,0,0
11203059755,2,3,16.0,0.138,0,0
CSV_TLS_S18_S19_SAMSEON_BUILDING,3,3,262.0,0.489,5,5
CSV_TLS_S13_S14_MYEONGDONG_STATION_FRONT,6,3,689.0,0.679,5,5
CSV_TLS_S14_S15_DAYS_HOTEL_FRONT,3,3,198.0,0.456,5,5
4276317241,1,3,0.0,-0.225,0,0
8209566041,4,3,0.0,-0.15,0,0
1908148229,3,3,0.0,-0.175,0,0
11203059757,2,3,0.0,-0.2,0,0
CSV_TLS_S11_S12_TOEGYE_RO_2_GA,2,4,71.0,0.31,5,0
cluster_11277565406_11277565407_11277565408_11277565409_#6more,61,8,0.0,1.0,10,10
5593950705,2,3,7.0,0.048,0,0
cluster_11177413157_11178710207,3,3,0.0,-0.175,0,0
CSV_TLS_S21_S22_SEOUL_SQUARE_FRONT,3,3,384.0,0.534,5,5
8209566040,2,3,0.0,-0.2,0,0
7265413652,1,3,0.0,-0.225,0,0
CSV_TLS_S17_S18_NAMDAEMUN_MARKET,3,3,226.0,0.471,5,5
11203059756,2,3,0.0,-0.2,0,0
7311080426,3,3,0.0,-0.175,0,0
