tls_id,profile_role,source,source_itst_id,source_eqmn_id,source_tls_id,movement_ids,mapped_segments,route_order_min,cycle_sec,main_green_sec,side_green_sec,yellow_sec,offset_sec,confidence,dominant_api_field,dominant_remaining_sec,inference_reason
10299171845,global_location_fallback,nearest_similar_A008_or_API_signal_profile,574,CIB1161096400,3846493836,,,0.0,85,43,36,3,21,0.525,etLtsgRmdrCs,1.9,"nearest A008=장충체육관 (99.2m), no direct timing hit; borrowed source_tls=3846493836 at 83.1m"
cluster_1326096615_3849700763,global_location_fallback,nearest_similar_A008_or_API_signal_profile,5409,CIB1070033700,CSV_TLS_S01_S02_SEONGDONG_GLOBAL_BUSINESS_HIGH_SCHOOL,,,0.0,110,64,40,3,90,0.45,,0.0,"nearest A008=충무아트센터 (65.5m), no direct timing hit; borrowed source_tls=CSV_TLS_S01_S02_SEONGDONG_GLOBAL_BUSINESS_HIGH_SCHOOL at 116.0m"
4202879197,global_location_fallback,nearest_similar_A008_or_API_signal_profile,7120,CIB1231037100,cluster_13348293702_13348293703_414685829,,,0.0,110,60,44,3,63,0.62,nwLtsgRmdrCs,99.7,"nearest A008=을지로4가(연등)3 (105.3m), no direct timing hit; borrowed source_tls=cluster_13348293702_13348293703_414685829 at 313.7m"
cluster_12785870414_3337522189,global_location_fallback,nearest_similar_A008_or_API_signal_profile,7119,CIB1231037100,cluster_13348293702_13348293703_414685829,,,0.0,110,60,44,3,45,0.62,nwLtsgRmdrCs,99.7,"nearest A008=을지로4가(연등)2 (23.4m), no direct timing hit; borrowed source_tls=cluster_13348293702_13348293703_414685829 at 350.0m"
joinedS_7335400058_cluster_13348213189_13348213190_13348213191_4273893706_#1more,location_matched_mainroad,A008_location_matched_nearest_TData_timing_fallback,612,CIB1070033700,joinedS_7335400058_cluster_13348213189_13348213190_13348213191_4273893706_#1more,B4_MOVEMENT_04,S6:upbound,23.0,110,75,29,3,10,0.55,,0.0,no direct API timing hit; borrowed nearest API timing from CSV_TLS_S11_S12_TOEGYE_RO_2_GA at route_order=42.0
cluster_13348293702_13348293703_414685829,global_location_direct,A008_global_TData_SPAT_direct,371,CIB1231037100,cluster_13348293702_13348293703_414685829,,,0.0,110,70,34,3,99,0.9,nwLtsgRmdrCs,99.7,nearest A008=오장동사거리; direct timing hit for itstId=371
CSV_TLS_S01_S02_SEONGDONG_GLOBAL_BUSINESS_HIGH_SCHOOL,location_matched_mainroad,A008_location_matched_nearest_TData_timing_fallback,7789,CIB1070033700,CSV_TLS_S01_S02_SEONGDONG_GLOBAL_BUSINESS_HIGH_SCHOOL,B4_MOVEMENT_00,S1:upbound,6.0,110,75,29,3,28,0.55,,0.0,no direct API timing hit; borrowed nearest API timing from CSV_TLS_S11_S12_TOEGYE_RO_2_GA at route_order=42.0
COMPACT_V9_FIRE_STATION_ENTRY_TLS,global_location_direct,A008_global_TData_SPAT_direct,148,CIB1130003600,COMPACT_V9_FIRE_STATION_ENTRY_TLS,,,0.0,130,90,34,3,129,0.751,nwLtsgRmdrCs,140.7,nearest A008=신당역; direct timing hit for itstId=148
joinedS_7121587905_cluster_11203001806_11203001809_11203001810_11203001814_#12more_cluster_11203001812_13639573216_13721232723_13721232725_#1more_cluster_11203001813_13721232726_#1more,global_location_fallback,nearest_similar_A008_or_API_signal_profile,625,CIB1070033600,joinedS_11139302899_11139302904_11178710208_cluster_11139302901_4704751520_5593950663_5593950669_#1more_#1more,,,0.0,100,64,30,3,2,0.45,,0.0,"nearest A008=숭례문 (22.3m), no direct timing hit; borrowed source_tls=joinedS_11139302899_11139302904_11178710208_cluster_11139302901_4704751520_5593950663_5593950669_#1more_#1more at 503.0m"
CSV_TLS_S02_S03_HANYANG_TECHNICAL_HIGH_SCHOOL_FRONT,location_matched_mainroad,A008_location_matched_nearest_TData_timing_fallback,92,CIB1070033700,CSV_TLS_S02_S03_HANYANG_TECHNICAL_HIGH_SCHOOL_FRONT,B4_MOVEMENT_01,S2:upbound,10.0,110,75,29,3,48,0.55,,0.0,no direct API timing hit; borrowed nearest API timing from CSV_TLS_S11_S12_TOEGYE_RO_2_GA at route_order=42.0
