tls_id,profile_role,source,source_itst_id,source_eqmn_id,source_tls_id,movement_ids,mapped_segments,route_order_min,cycle_sec,main_green_sec,side_green_sec,yellow_sec,offset_sec,confidence,dominant_api_field,dominant_remaining_sec,inference_reason
10299171845,global_api_direct,TData_SPAT_sample_global_tls_order_mapping,2086,CIB1021208600,10299171845,,,11.0,105,60,39,3,40,0.7,etStsgRmdrCs,87.4,global TLS receives a direct API-derived profile by net tlLogic order
11059693772,global_api_direct,TData_SPAT_sample_global_tls_order_mapping,1865,CIB1000019500,11059693772,,,12.0,105,55,44,3,41,0.7,ntStsgRmdrCs,83.3,global TLS receives a direct API-derived profile by net tlLogic order
11203059755,global_api_direct,TData_SPAT_sample_global_tls_order_mapping,795,CIB1031079500,11203059755,,,13.0,100,55,39,3,50,0.7,wtLtsgRmdrCs,81.9,global TLS receives a direct API-derived profile by net tlLogic order
11203059756,global_api_direct,TData_SPAT_sample_global_tls_order_mapping,151,CIB1000023900,11203059756,,,14.0,90,50,34,3,55,0.7,stLtsgRmdrCs,71.1,global TLS receives a direct API-derived profile by net tlLogic order
11203059757,global_api_direct,TData_SPAT_sample_global_tls_order_mapping,1839,CIB1000017200,11203059757,,,15.0,85,45,34,3,60,0.7,etStsgRmdrCs,65.7,global TLS receives a direct API-derived profile by net tlLogic order
1327210743,global_api_direct,TData_SPAT_sample_global_tls_order_mapping,2075,CIB1021207500,1327210743,,,16.0,80,45,29,3,66,0.7,seStsgRmdrCs,61.2,global TLS receives a direct API-derived profile by net tlLogic order
13732389937,global_api_direct,TData_SPAT_sample_global_tls_order_mapping,2876,CIB1010012100,13732389937,,,17.0,80,40,34,3,68,0.7,etStsgRmdrCs,58.7,global TLS receives a direct API-derived profile by net tlLogic order
13732389938,global_api_direct,TData_SPAT_sample_global_tls_order_mapping,1999,CIB1000034300,13732389938,,,18.0,160,95,59,3,87,0.67,etLtsgRmdrCs,152.1,global TLS receives a direct API-derived profile by net tlLogic order
1908148229,global_api_direct,TData_SPAT_sample_global_tls_order_mapping,938,CIB1010045500,1908148229,,,19.0,120,65,49,3,81,0.67,stLtsgRmdrCs,100.9,global TLS receives a direct API-derived profile by net tlLogic order
1945254547,global_api_direct,TData_SPAT_sample_global_tls_order_mapping,2869,CIB1010042600,1945254547,,,20.0,120,65,49,3,84,0.67,ntLtsgRmdrCs,98.5,global TLS receives a direct API-derived profile by net tlLogic order
2471514433,global_api_direct,TData_SPAT_sample_global_tls_order_mapping,2896,CIB1010021400,2471514433,,,21.0,115,65,44,3,92,0.67,wtLtsgRmdrCs,96.2,global TLS receives a direct API-derived profile by net tlLogic order
3285441969,global_api_direct,TData_SPAT_sample_global_tls_order_mapping,1815,CIB1000038600,3285441969,,,22.0,115,60,49,3,95,0.67,etStsgRmdrCs,93.7,global TLS receives a direct API-derived profile by net tlLogic order
3846493836,global_api_direct,TData_SPAT_sample_global_tls_order_mapping,2623,CIB1001262300,3846493836,,,23.0,110,60,44,3,102,0.67,neLtsgRmdrCs,90.9,global TLS receives a direct API-derived profile by net tlLogic order
3846495798,global_api_direct,TData_SPAT_sample_global_tls_order_mapping,2823,CIB1010040200,3846495798,,,24.0,105,55,44,3,0,0.67,seStsgRmdrCs,83.1,global TLS receives a direct API-derived profile by net tlLogic order
3846533327,global_api_direct,TData_SPAT_sample_global_tls_order_mapping,3653,CIB1021365300,3846533327,,,25.0,100,55,39,3,10,0.67,etLtsgRmdrCs,78.4,global TLS receives a direct API-derived profile by net tlLogic order
4202879197,global_api_direct,TData_SPAT_sample_global_tls_order_mapping,1821,CIB1000017700,4202879197,,,26.0,105,50,49,3,4,0.67,etBssgRmdrCs,77.1,global TLS receives a direct API-derived profile by net tlLogic order
4276317241,global_api_direct,TData_SPAT_sample_global_tls_order_mapping,1816,CIB1000020000,4276317241,,,27.0,90,45,39,3,29,0.67,etBssgRmdrCs,66.7,global TLS receives a direct API-derived profile by net tlLogic order
