tls_id,tls_lat,tls_lon,coord_source,link_count,phase_count,itst_id,a008_name,a008_lat,a008_lon,distance_m,timing_hit,source_kind,demand_count,demand_pressure_factor,demand_cycle_delta_sec,demand_main_green_delta_sec
10299171845,37.55903821,127.00487822,junction,11,4,574,장충체육관,37.55900274,127.00600496,99.231,False,average_fallback,0.0,0.025,0,0
cluster_1326096615_3849700763,37.56463145,127.01357233,junction,25,11,5409,충무아트센터,37.56510784,127.01401081,65.46,False,average_fallback,8.0,0.637,5,5
4202879197,37.56540167,126.99895811,junction,20,7,7120,을지로4가(연등)3,37.56613632,126.99820071,105.319,False,average_fallback,0.0,0.25,0,0
cluster_12785870414_3337522189,37.56653859,126.99925816,junction,9,4,7119,을지로4가(연등)2,37.56671089,126.99910516,23.389,False,average_fallback,0.0,-0.025,0,0
joinedS_7335400058_cluster_13348213189_13348213190_13348213191_4273893706_#1more,37.563021,127.002462,csv_reference_signal_position,23,4,612,퇴계로5가,37.56320051,127.00257411,22.234,False,mainroad_profile,852.0,1.0,10,10
cluster_13348293702_13348293703_414685829,37.56456953,127.00236481,junction,14,4,371,오장동사거리,37.56463139,127.00244572,9.892,True,direct_api,8.0,0.362,5,5
CSV_TLS_S01_S02_SEONGDONG_GLOBAL_BUSINESS_HIGH_SCHOOL,37.564829,127.012585,csv_reference_signal_position,6,3,7789,성동글로벌경영고,37.56493795,127.01246403,16.111,False,mainroad_profile,438.0,0.625,5,5
COMPACT_V9_FIRE_STATION_ENTRY_TLS,37.56537811,127.01553912,connection_centroid,10,3,,virtual_merge_control,,,,False,virtual_preserved,67.0,0.503,5,5
joinedS_7121587905_cluster_11203001806_11203001809_11203001810_11203001814_#12more_cluster_11203001812_13639573216_13721232723_13721232725_#1more_cluster_11203001813_13721232726_#1more,37.5606089,126.97560914,connection_centroid,67,22,625,숭례문,37.56042729,126.97571741,22.297,False,average_fallback,21.0,1.0,10,10
CSV_TLS_S02_S03_HANYANG_TECHNICAL_HIGH_SCHOOL_FRONT,37.564852,127.010528,csv_reference_signal_position,6,3,92,한양공고앞,37.56486003,127.01100945,42.377,False,mainroad_profile,537.0,0.649,5,5
cluster_3846534041_436877431,37.56437499,127.009188,junction,11,4,6813,토요코인호텔앞,37.56448859,127.00922566,13.037,False,average_fallback,0.0,0.025,0,0
CSV_TLS_S03_S04_TOYOKO_INN_HOTEL_FRONT,37.564375,127.009188,csv_reference_signal_position,6,3,6813,토요코인호텔앞,37.56448859,127.00922566,13.036,False,mainroad_profile,572.0,0.657,5,5
joinedS_4276255151_cluster_4276255149_4276255150_4276255152_436839431,37.5642971,126.99829667,connection_centroid,10,4,592,중구청,37.5644274,126.99833984,14.954,False,average_fallback,0.0,0.0,0,0
1945254547,37.56511954,126.97853269,junction,10,6,7088,서울광장,37.56525905,126.97867232,19.768,False,average_fallback,15.0,0.33,5,5
