tls_id,profile_role,source,source_itst_id,source_eqmn_id,source_tls_id,movement_ids,mapped_segments,route_order_min,cycle_sec,main_green_sec,side_green_sec,yellow_sec,offset_sec,confidence,dominant_api_field,dominant_remaining_sec,inference_reason
CSV_TLS_S01_S02_SEONGDONG_GLOBAL_BUSINESS_HIGH_SCHOOL,location_matched_mainroad,A008_location_matched_no_tdata_timing_fallback,7789,,CSV_TLS_S01_S02_SEONGDONG_GLOBAL_BUSINESS_HIGH_SCHOOL,B4_MOVEMENT_00,S1:upbound,6.0,100,65,29,3,28,0.45,,0.0,location matched by A008 distance/name; timing_fields=0; state_fields=0; match_status=auto_confirmed_distance
CSV_TLS_S02_S03_HANYANG_TECHNICAL_HIGH_SCHOOL_FRONT,location_matched_mainroad,A008_location_matched_no_tdata_timing_fallback,92,,CSV_TLS_S02_S03_HANYANG_TECHNICAL_HIGH_SCHOOL_FRONT,B4_MOVEMENT_01,S2:upbound,10.0,100,65,29,3,48,0.45,,0.0,location matched by A008 distance/name; timing_fields=0; state_fields=0; match_status=auto_confirmed_distance
cluster_3846534041_436877431,location_matched_mainroad,A008_location_matched_no_tdata_timing_fallback,6813,,cluster_3846534041_436877431,B4_MOVEMENT_02,S3:upbound,12.0,100,65,29,3,57,0.45,,0.0,location matched by A008 distance/name; timing_fields=0; state_fields=0; match_status=auto_confirmed_distance
CSV_TLS_S05_S06_GWANGHUI_INTERSECTION,location_matched_mainroad,A008_location_matched_no_tdata_timing_fallback,647,,CSV_TLS_S05_S06_GWANGHUI_INTERSECTION,B4_MOVEMENT_03,S5:upbound,16.0,100,65,29,3,76,0.45,,0.0,location matched by A008 distance/name; timing_fields=0; state_fields=0; match_status=auto_confirmed_distance
joinedS_7335400058_cluster_13348213189_13348213190_13348213191_4273893706_#1more,location_matched_mainroad,A008_location_matched_no_tdata_timing_fallback,612,,joinedS_7335400058_cluster_13348213189_13348213190_13348213191_4273893706_#1more,B4_MOVEMENT_04,S6:upbound,23.0,100,65,29,3,10,0.45,,0.0,location matched by A008 distance/name; timing_fields=0; state_fields=0; match_status=auto_confirmed_distance
CSV_TLS_S08_S09_TOEGYE_RO_4_GA,location_matched_mainroad,A008_location_matched_no_tdata_timing_fallback,624,,CSV_TLS_S08_S09_TOEGYE_RO_4_GA,B4_MOVEMENT_05,S7:upbound,28.0,100,65,29,3,34,0.45,,0.0,location matched by A008 distance/name; timing_fields=0; state_fields=0; match_status=auto_confirmed_distance
joinedS_11346754524_11346754527_7335400049_cluster_11346754525_11346754526_2784736947_414685366_#2more,location_matched_mainroad,A008_location_matched_no_tdata_timing_fallback,649,,joinedS_11346754524_11346754527_7335400049_cluster_11346754525_11346754526_2784736947_414685366_#2more,B4_MOVEMENT_06 B4_MOVEMENT_07,S9:upbound,37.0,100,65,29,3,77,0.45,,0.0,location matched by A008 distance/name; timing_fields=0; state_fields=0; match_status=auto_confirmed_distance
CSV_TLS_S11_S12_TOEGYE_RO_2_GA,location_matched_mainroad,A008_location_matched_TData_SPAT,648,CIB1070033700,CSV_TLS_S11_S12_TOEGYE_RO_2_GA,B4_MOVEMENT_08,S11:upbound,42.0,110,75,29,3,4,0.642,neBssgRmdrCs,91.3,location matched by A008 distance/name; timing_fields=3; state_fields=0; match_status=auto_confirmed_distance
CSV_TLS_S13_S14_MYEONGDONG_STATION_FRONT,location_matched_mainroad,A008_location_matched_no_tdata_timing_fallback,6481,,CSV_TLS_S13_S14_MYEONGDONG_STATION_FRONT,B4_MOVEMENT_09,S13:upbound,45.0,90,72,12,3,36,0.45,,0.0,location matched by A008 distance/name; timing_fields=0; state_fields=0; match_status=auto_confirmed_distance
CSV_TLS_S14_S15_DAYS_HOTEL_FRONT,location_matched_mainroad,A008_location_matched_no_tdata_timing_fallback,7760,,CSV_TLS_S14_S15_DAYS_HOTEL_FRONT,B4_MOVEMENT_10,S14:upbound,48.0,90,72,12,3,50,0.45,,0.0,location matched by A008 distance/name; timing_fields=0; state_fields=0; match_status=auto_confirmed_distance
joinedS_11203052957_cluster_11203052955_11203052956_11203052960_11203052961_#11more,location_matched_mainroad,A008_location_matched_no_tdata_timing_fallback,122,,joinedS_11203052957_cluster_11203052955_11203052956_11203052960_11203052961_#11more,B4_MOVEMENT_11,S15:upbound,50.0,90,72,12,3,60,0.45,,0.0,location matched by A008 distance/name; timing_fields=0; state_fields=0; match_status=auto_confirmed_distance
