edge_id,edge_role,current_lanes_before,reference_lanes,target_lanes,actual_lanes_after,status,reason
-1455512070,route+mainroad,2,3,3,3,PASS,b0_route_geometry_lane_recall
-174870621#0,route+mainroad,3,3,3,3,PASS,b0_route_geometry_lane_recall
-174870621#10,mainroad,3,3,3,3,PASS,b0_route_geometry_lane_recall
-174870621#2,route+mainroad,3,3,3,3,PASS,b0_route_geometry_lane_recall
-174870621#4,route+mainroad,3,3,3,3,PASS,b0_route_geometry_lane_recall
-174870621#5,route+mainroad,3,3,3,3,PASS,b0_route_geometry_lane_recall
-174870621#6,route+mainroad,3,3,3,3,PASS,b0_route_geometry_lane_recall
-174870621#7,route+mainroad,3,3,3,3,PASS,b0_route_geometry_lane_recall
-174870621#8,route+mainroad,3,3,3,3,PASS,b0_route_geometry_lane_recall
-174870621#9,mainroad,3,3,3,3,PASS,b0_route_geometry_lane_recall
-180368918#0,mainroad,3,3,3,3,PASS,b0_route_geometry_lane_recall
-180368918#3,mainroad,3,3,3,3,PASS,b0_route_geometry_lane_recall
-180368918#5,mainroad,3,3,3,3,PASS,b0_route_geometry_lane_recall
-180368918#6,mainroad,3,3,3,3,PASS,b0_route_geometry_lane_recall
-180368918#7,mainroad,3,3,3,3,PASS,b0_route_geometry_lane_recall
-180368918#8,mainroad,3,3,3,3,PASS,b0_route_geometry_lane_recall
-218684411#0,mainroad,3,3,3,3,PASS,b0_route_geometry_lane_recall
-218684411#1,mainroad,3,3,3,3,PASS,b0_route_geometry_lane_recall
-218773868#0,mainroad,3,3,3,3,PASS,b0_route_geometry_lane_recall
-218773868#2,mainroad,3,3,3,3,PASS,b0_route_geometry_lane_recall
-218773868#3,mainroad,3,3,3,3,PASS,b0_route_geometry_lane_recall
-218773868#4,mainroad,3,3,3,3,PASS,b0_route_geometry_lane_recall
-218773868#5,mainroad,3,3,3,3,PASS,b0_route_geometry_lane_recall
-218773868#6,mainroad,3,3,3,3,PASS,b0_route_geometry_lane_recall
-273638834#2,mainroad,3,3,3,3,PASS,b0_route_geometry_lane_recall
-381453320#0,mainroad,3,3,3,3,PASS,b0_route_geometry_lane_recall
-381802847#0,mainroad,3,3,3,3,PASS,b0_route_geometry_lane_recall
-381802847#1,mainroad,3,3,3,3,PASS,b0_route_geometry_lane_recall
-381802847#2,mainroad,3,3,3,3,PASS,b0_route_geometry_lane_recall
-578313748#0,mainroad,3,3,3,3,PASS,b0_route_geometry_lane_recall
-578313748#2,mainroad,3,3,3,3,PASS,b0_route_geometry_lane_recall
-800229255,mainroad,3,3,3,3,PASS,b0_route_geometry_lane_recall
-955312947#1,mainroad,3,3,3,3,PASS,b0_route_geometry_lane_recall
1109231376,mainroad,2,2,2,2,PASS,b0_route_geometry_lane_recall
1109231377#1,mainroad,2,2,2,2,PASS,b0_route_geometry_lane_recall
1206223939,mainroad,3,3,3,3,PASS,b0_route_geometry_lane_recall
1206223943,mainroad,2,2,2,2,PASS,b0_route_geometry_lane_recall
1206223945,mainroad,3,3,3,3,PASS,b0_route_geometry_lane_recall
1206223946#0,mainroad,2,2,2,2,PASS,b0_route_geometry_lane_recall
1206223946#1,mainroad,2,2,2,2,PASS,b0_route_geometry_lane_recall
1206223947,mainroad,3,3,3,3,PASS,b0_route_geometry_lane_recall
1395426737#0,mainroad,3,3,3,3,PASS,b0_route_geometry_lane_recall
1395426737#1,mainroad,3,3,3,3,PASS,b0_route_geometry_lane_recall
1455497343#0,mainroad,3,3,3,3,PASS,b0_route_geometry_lane_recall
1455497343#1,mainroad,3,3,3,3,PASS,b0_route_geometry_lane_recall
1455497343#2,mainroad,3,3,3,3,PASS,b0_route_geometry_lane_recall
1455497343#3,mainroad,3,3,3,3,PASS,b0_route_geometry_lane_recall
1455497343#4,mainroad,3,3,3,3,PASS,b0_route_geometry_lane_recall
1455497345,route+mainroad,3,3,3,3,PASS,b0_route_geometry_lane_recall
1455512066,mainroad,3,3,3,3,PASS,b0_route_geometry_lane_recall
1455512070,mainroad,3,3,3,3,PASS,b0_route_geometry_lane_recall
174870621#0,mainroad,3,3,3,3,PASS,b0_route_geometry_lane_recall
