segment_id,start,end,B04_up_kmh,B4_up_kmh,delta_up_kmh,B04_down_kmh,B4_down_kmh,delta_down_kmh
S1,신당역,성동글로벌경영고,36.283,34.892,-1.392,67.095,68.573,1.479
S2,성동글로벌경영고,한양공고앞,30.82,30.138,-0.682,35.121,35.095,-0.027
S3,한양공고앞,토요코인호텔앞,47.935,47.92,-0.016,36.532,30.967,-5.566
S4,토요코인호텔앞,차로변화(127.0078),42.892,41.756,-1.137,49.35,50.683,1.333
S5,차로변화(127.0078),광희사거리,28.372,28.05,-0.322,43.963,44.857,0.893
S6,광희사거리,퇴계로5가,31.945,20.934,-11.012,45.066,46.325,1.259
S7,퇴계로5가,차로변화(126.9986),25.095,7.616,-17.479,26.606,32.405,5.798
S8,차로변화(126.9986),퇴계로4가,7.476,4.727,-2.749,15.868,20.466,4.597
S9,퇴계로4가,충무로역(퇴계로3가),2.677,2.409,-0.267,14.542,15.219,0.677
S10,충무로역(퇴계로3가),차로변화(126.9907),31.193,34.519,3.327,5.258,3.809,-1.449
S11,차로변화(126.9907),퇴계로2가,55.686,52.405,-3.281,76.395,76.231,-0.164
S12,퇴계로2가,차로변화(126.9869),63.118,53.29,-9.829,78.805,78.817,0.012
S13,차로변화(126.9869),명동역앞,46.279,23.798,-22.482,78.614,78.858,0.243
S14,명동역앞,데이즈호텔앞,22.743,14.62,-8.123,78.698,79.026,0.328
S15,데이즈호텔앞,회현사거리,5.046,5.647,0.601,68.936,69.376,0.44
S16,회현사거리,신세계백화점,60.314,60.337,0.023,0.847,0.706,-0.14
S17,신세계백화점,남대문시장,62.289,53.838,-8.451,1.278,1.032,-0.247
S18,남대문시장,삼선빌딩,78.397,73.912,-4.485,2.211,1.715,-0.496
S19,삼선빌딩,세브란스빌딩,68.749,66.391,-2.358,4.25,2.417,-1.833
S20,세브란스빌딩,차로변화(126.9741),47.342,50.053,2.711,6.85,2.918,-3.932
S21,차로변화(126.9741),서울스퀘어앞,47.342,50.053,2.711,7.46,2.523,-4.937
S22,서울스퀘어앞,서울역R,39.83,41.226,1.396,2.435,1.121,-1.314
