from_edge,to_edge,via,status,before_length_m,after_length_m,before_midpoint_offset_m,reason
-1455512070,428260110,:cluster_13348213189_13348213190_13348213191_4273893706_#1more_1_0,PASS,38.343,45.777,14.713,route_internal_lane_straightened
-1455512070,428260110,:cluster_13348213189_13348213190_13348213191_4273893706_#1more_1_1,PASS,38.754,46.14,14.731,route_internal_lane_straightened
-174870621#0,578313748#0,:1936511509_1_0,PASS,17.932,17.822,0.573,route_internal_lane_straightened
-174870621#0,578313748#0,:1936511509_1_1,PASS,17.379,17.279,0.562,route_internal_lane_straightened
-174870621#0,578313748#0,:1936511509_1_2,PASS,16.835,16.725,0.539,route_internal_lane_straightened
-174870621#2,-174870621#0,:cluster_436864147_8401224600_8401234719_1_0,PASS,15.154,17.865,16.726,route_internal_lane_straightened
-174870621#2,-174870621#0,:cluster_436864147_8401224600_8401234719_1_1,PASS,15.505,18.096,16.663,route_internal_lane_straightened
-174870621#2,-174870621#0,:cluster_436864147_8401224600_8401234719_1_2,PASS,15.856,18.337,16.607,route_internal_lane_straightened
-174870621#4,-174870621#2,:cluster_436864145_7308485596_8401224597_8496719965_1_0,PASS,37.091,34.297,0.01,route_internal_lane_straightened
-174870621#4,-174870621#2,:cluster_436864145_7308485596_8401224597_8496719965_1_1,PASS,37.172,34.378,0.022,route_internal_lane_straightened
-174870621#4,-174870621#2,:cluster_436864145_7308485596_8401224597_8496719965_1_2,PASS,37.253,34.458,0.032,route_internal_lane_straightened
-174870621#5,-174870621#4,:8401224616_0_0,PASS,0.303,5.822,0.001,route_internal_lane_straightened
-174870621#5,-174870621#4,:8401224616_0_1,PASS,0.303,5.822,0.001,route_internal_lane_straightened
-174870621#5,-174870621#4,:8401224616_0_2,PASS,0.293,5.822,0.001,route_internal_lane_straightened
-174870621#6,-174870621#5,:cluster_3849737603_8401224596_0_0,PASS,11.111,11.11,0.003,route_internal_lane_straightened
-174870621#6,-174870621#5,:cluster_3849737603_8401224596_0_1,PASS,11.07,11.101,0.004,route_internal_lane_straightened
-174870621#6,-174870621#5,:cluster_3849737603_8401224596_0_2,PASS,11.029,11.08,0.001,route_internal_lane_straightened
-174870621#7,-174870621#6,:8401224613_0_0,PASS,0.413,6.182,0.017,route_internal_lane_straightened
-174870621#7,-174870621#6,:8401224613_0_1,PASS,0.352,6.132,0.024,route_internal_lane_straightened
-174870621#7,-174870621#6,:8401224613_0_2,PASS,0.313,6.08,0.022,route_internal_lane_straightened
-174870621#8,-174870621#7,:cluster_3849700778_8496719967_0_0,PASS,21.241,14.331,2.363,route_internal_lane_straightened
-174870621#8,-174870621#7,:cluster_3849700778_8496719967_0_1,PASS,21.3,14.391,2.373,route_internal_lane_straightened
-174870621#8,-174870621#7,:cluster_3849700778_8496719967_0_2,PASS,21.351,14.461,2.363,route_internal_lane_straightened
1455497345,218773869#1,:3269944950_2_0,PASS,14.467,14.467,0.0,route_internal_lane_straightened
1455497345,218773869#1,:3269944950_2_1,PASS,14.385,14.385,0.0,route_internal_lane_straightened
1455497345,218773869#1,:3269944950_2_2,PASS,14.293,14.293,0.0,route_internal_lane_straightened
180368918#0,180368918#3,:cluster_4202586292_436877432_436877433_1_0,PASS,36.18,29.769,3.231,route_internal_lane_straightened
180368918#0,180368918#3,:cluster_4202586292_436877432_436877433_1_1,PASS,35.422,29.02,3.233,route_internal_lane_straightened
180368918#0,180368918#3,:cluster_4202586292_436877432_436877433_1_2,PASS,34.664,28.275,3.233,route_internal_lane_straightened
180368918#3,180368918#5,:cluster_3846534041_436877431_0_0,PASS,18.419,15.194,21.522,route_internal_lane_straightened
180368918#3,180368918#5,:cluster_3846534041_436877431_0_1,PASS,18.278,15.051,21.529,route_internal_lane_straightened
180368918#3,180368918#5,:cluster_3846534041_436877431_0_2,PASS,18.125,14.909,21.515,route_internal_lane_straightened
180368918#5,180368918#6,:3846534039_0_0,PASS,17.593,14.398,3.195,route_internal_lane_straightened
180368918#5,180368918#6,:3846534039_0_1,PASS,17.595,14.4,3.195,route_internal_lane_straightened
180368918#5,180368918#6,:3846534039_0_2,PASS,17.603,14.408,3.195,route_internal_lane_straightened
180368918#6,180368918#7,:3365325935_5_0,PASS,28.539,25.033,3.507,route_internal_lane_straightened
180368918#6,180368918#7,:3365325935_5_1,PASS,28.62,25.103,3.517,route_internal_lane_straightened
180368918#6,180368918#7,:3365325935_5_2,PASS,28.692,25.176,3.517,route_internal_lane_straightened
180368918#7,180368918#8,:8487611822_1_0,PASS,15.33,21.834,2.277,route_internal_lane_straightened
180368918#7,180368918#8,:8487611822_1_1,PASS,15.108,21.613,2.27,route_internal_lane_straightened
180368918#8,218773868#0,:414685825_5_0,PASS,35.339,36.694,23.911,route_internal_lane_straightened
180368918#8,218773868#0,:414685825_5_1,PASS,35.249,36.606,23.917,route_internal_lane_straightened
180445419,347237859#0,:1908148227_2_0,PASS,2.547,3.11,19.586,route_internal_lane_straightened
180445419,347237859#0,:1908148227_2_1,PASS,2.827,6.697,12.894,route_internal_lane_straightened
218773868#0,218773868#2,:cluster_436877427_8577223944_5_0,PASS,18.476,17.752,1.291,route_internal_lane_straightened
218773868#0,218773868#2,:cluster_436877427_8577223944_5_1,PASS,18.117,17.404,1.292,route_internal_lane_straightened
218773868#2,218773868#3,:436877426_5_0,PASS,36.23,31.259,3.755,route_internal_lane_straightened
218773868#2,218773868#3,:436877426_5_1,PASS,36.242,31.268,3.757,route_internal_lane_straightened
218773868#3,218773868#4,:3846495828_1_0,PASS,22.072,15.942,4.524,route_internal_lane_straightened
218773868#3,218773868#4,:3846495828_1_1,PASS,22.103,15.973,4.524,route_internal_lane_straightened
