parameter_id,changed_variable,changed_value,final_status,failure_reason,alpha,t_lead,delta_T_thr,G_ext,Q_trig,tau,hold_max,d_up,tau_scale,tau_numerator_gamma,T_actual_EMV_sec,general_mean_travel_time_sec,bo_score_sec,stage3_preemption_count,bottleneck_mode_count,signal_burden_sec,case_b_runtime_segment_count,case_b_runtime_movement_count,case_b_b0_prior_count,original_tau_sample_count,original_tau_raw_max,original_tau_effective_max,original_tau_hit_0p65,original_tau_hit_0p75,original_tau_hit_0p85,segment_hits_json,signal_events_csv
fixed_hold_max_24,hold_max,24.0,PASS,,1.15,21.0,80.0,32.0,0.0,0.75,24.0,1,0.85,5.0,462.0,197.905192,4817.91,4,4,203.399977,0,0,0,113,1.0,0.85,113,113,92,"{""S9:upbound"": {""hit_0.65"": 113, ""hit_0.75"": 113, ""hit_0.85"": 92, ""samples"": 113}}",runs/compact_v9_B4_fixed_param_sensitivity/fixed_param_all_currentstress_20260606/B4/fixed_hold_max_24/repeat_001/signal_events.csv
fixed_tau_numerator_gamma_1,tau_numerator_gamma,1.0,PASS,,1.15,21.0,80.0,32.0,0.0,0.75,14.0,1,0.85,1.0,728.0,248.890071,7528.89,12,12,548.458393,0,0,0,169,1.0,0.85,169,169,94,"{""S14:upbound"": {""hit_0.65"": 8, ""hit_0.75"": 8, ""samples"": 8}, ""S15:upbound"": {""hit_0.65"": 42, ""hit_0.75"": 42, ""samples"": 42}, ""S9:upbound"": {""hit_0.65"": 119, ""hit_0.75"": 119, ""hit_0.85"": 94, ""samples"": 119}}",runs/compact_v9_B4_fixed_param_sensitivity/fixed_param_all_currentstress_20260606/B4/fixed_tau_numerator_gamma_1/repeat_001/signal_events.csv
fixed_hold_max_7,hold_max,7.0,PASS,,1.15,21.0,80.0,32.0,0.0,0.75,7.0,1,0.85,5.0,758.0,227.127778,7807.13,7,7,289.299435,0,0,0,121,1.0,0.85,121,121,100,"{""S15:upbound"": {""hit_0.65"": 2, ""hit_0.75"": 2, ""hit_0.85"": 2, ""samples"": 2}, ""S9:upbound"": {""hit_0.65"": 119, ""hit_0.75"": 119, ""hit_0.85"": 98, ""samples"": 119}}",runs/compact_v9_B4_fixed_param_sensitivity/fixed_param_all_currentstress_20260606/B4/fixed_hold_max_7/repeat_001/signal_events.csv
fixed_hold_max_33,hold_max,33.0,PASS,,1.15,21.0,80.0,32.0,0.0,0.75,33.0,1,0.85,5.0,867.0,244.378709,8914.38,4,4,197.805738,0,0,0,113,1.0,0.85,113,113,92,"{""S9:upbound"": {""hit_0.65"": 113, ""hit_0.75"": 113, ""hit_0.85"": 92, ""samples"": 113}}",runs/compact_v9_B4_fixed_param_sensitivity/fixed_param_all_currentstress_20260606/B4/fixed_hold_max_33/repeat_001/signal_events.csv
fixed_tau_0p85,tau,0.85,PASS,,1.15,21.0,80.0,32.0,0.0,0.85,14.0,1,0.85,5.0,921.0,244.27931,9454.28,6,6,265.604066,0,0,0,100,1.0,0.85,100,100,100,"{""S15:upbound"": {""hit_0.65"": 2, ""hit_0.75"": 2, ""hit_0.85"": 2, ""samples"": 2}, ""S9:upbound"": {""hit_0.65"": 98, ""hit_0.75"": 98, ""hit_0.85"": 98, ""samples"": 98}}",runs/compact_v9_B4_fixed_param_sensitivity/fixed_param_all_currentstress_20260606/B4/fixed_tau_0p85/repeat_001/signal_events.csv
fixed_base_tau075_scale085_gamma5_hold14_dup1,baseline,,PASS,,1.15,21.0,80.0,32.0,0.0,0.75,14.0,1,0.85,5.0,922.0,268.672697,9488.67,7,7,311.604066,0,0,0,119,1.0,0.85,119,119,96,"{""S14:upbound"": {""hit_0.65"": 2, ""hit_0.75"": 2, ""samples"": 2}, ""S15:upbound"": {""hit_0.65"": 2, ""hit_0.75"": 2, ""hit_0.85"": 2, ""samples"": 2}, ""S9:upbound"": {""hit_0.65"": 115, ""hit_0.75"": 115, ""hit_0.85"": 94, ""samples"": 115}}",runs/compact_v9_B4_fixed_param_sensitivity/fixed_param_all_currentstress_20260606/B4/fixed_base_tau075_scale085_gamma5_hold14_dup1/repeat_001/signal_events.csv
fixed_tau_0p8,tau,0.8,PASS,,1.15,21.0,80.0,32.0,0.0,0.8,14.0,1,0.85,5.0,922.0,268.672697,9488.67,7,7,311.604066,0,0,0,119,1.0,0.85,119,119,96,"{""S14:upbound"": {""hit_0.65"": 2, ""hit_0.75"": 2, ""samples"": 2}, ""S15:upbound"": {""hit_0.65"": 2, ""hit_0.75"": 2, ""hit_0.85"": 2, ""samples"": 2}, ""S9:upbound"": {""hit_0.65"": 115, ""hit_0.75"": 115, ""hit_0.85"": 94, ""samples"": 115}}",runs/compact_v9_B4_fixed_param_sensitivity/fixed_param_all_currentstress_20260606/B4/fixed_tau_0p8/repeat_001/signal_events.csv
fixed_tau_numerator_gamma_7,tau_numerator_gamma,7.0,PASS,,1.15,21.0,80.0,32.0,0.0,0.75,14.0,1,0.85,7.0,922.0,268.672697,9488.67,7,7,311.604066,0,0,0,119,1.0,0.85,119,119,96,"{""S14:upbound"": {""hit_0.65"": 2, ""hit_0.75"": 2, ""samples"": 2}, ""S15:upbound"": {""hit_0.65"": 2, ""hit_0.75"": 2, ""hit_0.85"": 2, ""samples"": 2}, ""S9:upbound"": {""hit_0.65"": 115, ""hit_0.75"": 115, ""hit_0.85"": 94, ""samples"": 115}}",runs/compact_v9_B4_fixed_param_sensitivity/fixed_param_all_currentstress_20260606/B4/fixed_tau_numerator_gamma_7/repeat_001/signal_events.csv
fixed_tau_scale_0p8,tau_scale,0.8,PASS,,1.15,21.0,80.0,32.0,0.0,0.75,14.0,1,0.8,5.0,922.0,268.672697,9488.67,7,7,311.604066,0,0,0,119,1.0,0.8,119,119,0,"{""S14:upbound"": {""hit_0.65"": 2, ""hit_0.75"": 2, ""samples"": 2}, ""S15:upbound"": {""hit_0.65"": 2, ""hit_0.75"": 2, ""samples"": 2}, ""S9:upbound"": {""hit_0.65"": 115, ""hit_0.75"": 115, ""samples"": 115}}",runs/compact_v9_B4_fixed_param_sensitivity/fixed_param_all_currentstress_20260606/B4/fixed_tau_scale_0p8/repeat_001/signal_events.csv
fixed_d_up_2,d_up,2,PASS,,1.15,21.0,80.0,32.0,0.0,0.75,14.0,2,0.85,5.0,1323.0,304.197297,13534.20,10,10,456.112779,0,0,0,211,1.0,0.85,211,211,145,"{""S14:upbound"": {""hit_0.65"": 6, ""hit_0.75"": 6, ""samples"": 6}, ""S9:upbound"": {""hit_0.65"": 205, ""hit_0.75"": 205, ""hit_0.85"": 145, ""samples"": 205}}",runs/compact_v9_B4_fixed_param_sensitivity/fixed_param_all_currentstress_20260606/B4/fixed_d_up_2/repeat_001/signal_events.csv
