parameter_id,changed_variable,changed_value,final_status,movement_id,segment_id,route_order_index,speed_kmh,low_lt10_ratio,waiting_sec,density
ofat_hold_max_33,hold_max,33,PASS,B4_MOVEMENT_04,S6:upbound,23,20.778,0.4798,5270.0,132.187
ofat_hold_max_33,hold_max,33,PASS,B4_MOVEMENT_05,S7:upbound,28,6.604,0.8896,17930.55,205.968
ofat_hold_max_33,hold_max,33,PASS,B4_MOVEMENT_06,S9:upbound,35,1.737,0.9921,59130.0,305.219
ofat_hold_max_33,hold_max,33,PASS,B4_MOVEMENT_07,S9:upbound,37,1.6,0.9982,48037.0,306.021
ofat_hold_max_33,hold_max,33,PASS,B4_MOVEMENT_11,S15:upbound,50,3.271,0.8918,9494.0,195.219
ofat_hold_max_7,hold_max,7,PASS,B4_MOVEMENT_04,S6:upbound,23,8.028,0.8174,22511.0,208.019
ofat_hold_max_7,hold_max,7,PASS,B4_MOVEMENT_05,S7:upbound,28,4.964,0.9051,34107.0,218.335
ofat_hold_max_7,hold_max,7,PASS,B4_MOVEMENT_06,S9:upbound,35,1.701,0.9944,82665.0,297.146
ofat_hold_max_7,hold_max,7,PASS,B4_MOVEMENT_07,S9:upbound,37,1.589,1.0,66784.0,296.467
ofat_hold_max_7,hold_max,7,PASS,B4_MOVEMENT_11,S15:upbound,50,1.51,0.9899,18007.0,230.799
ofat_hold_max_24,hold_max,24,PASS,B4_MOVEMENT_04,S6:upbound,23,6.655,0.8245,28951.0,222.327
ofat_hold_max_24,hold_max,24,PASS,B4_MOVEMENT_05,S7:upbound,28,3.837,0.9194,38834.96,221.739
ofat_hold_max_24,hold_max,24,PASS,B4_MOVEMENT_06,S9:upbound,35,1.632,0.9948,88710.0,292.038
ofat_hold_max_24,hold_max,24,PASS,B4_MOVEMENT_07,S9:upbound,37,1.623,0.9954,72452.0,297.864
ofat_hold_max_24,hold_max,24,PASS,B4_MOVEMENT_11,S15:upbound,50,5.147,0.8939,10899.0,187.929
ofat_hold_max_40,hold_max,40,PASS,B4_MOVEMENT_04,S6:upbound,23,6.09,0.86,36426.0,221.981
ofat_hold_max_40,hold_max,40,PASS,B4_MOVEMENT_05,S7:upbound,28,3.405,0.9376,55122.0,236.887
ofat_hold_max_40,hold_max,40,PASS,B4_MOVEMENT_06,S9:upbound,35,1.374,0.9959,117371.0,319.779
ofat_hold_max_40,hold_max,40,PASS,B4_MOVEMENT_07,S9:upbound,37,1.405,0.9968,90463.04,310.446
ofat_hold_max_40,hold_max,40,PASS,B4_MOVEMENT_11,S15:upbound,50,3.957,0.947,14486.0,183.627
ofat_hold_max_1,hold_max,1,FAIL,B4_MOVEMENT_04,S6:upbound,23,34.0,0.0822,1350.0,68.237
ofat_hold_max_1,hold_max,1,FAIL,B4_MOVEMENT_05,S7:upbound,28,17.2,0.6406,5584.0,146.605
ofat_hold_max_1,hold_max,1,FAIL,B4_MOVEMENT_06,S9:upbound,35,2.343,0.9727,42111.0,290.882
ofat_hold_max_1,hold_max,1,FAIL,B4_MOVEMENT_07,S9:upbound,37,2.171,0.9957,35070.0,293.439
ofat_hold_max_1,hold_max,1,FAIL,B4_MOVEMENT_11,S15:upbound,50,1.632,0.9828,11202.0,269.825
baseline_tl21_ta70_ex32_ho14_du1,baseline,,FAIL,B4_MOVEMENT_04,S6:upbound,23,29.956,0.2612,1865.0,85.19
baseline_tl21_ta70_ex32_ho14_du1,baseline,,FAIL,B4_MOVEMENT_05,S7:upbound,28,9.616,0.8462,10639.0,176.281
baseline_tl21_ta70_ex32_ho14_du1,baseline,,FAIL,B4_MOVEMENT_06,S9:upbound,35,2.325,0.9903,44648.0,287.378
baseline_tl21_ta70_ex32_ho14_du1,baseline,,FAIL,B4_MOVEMENT_07,S9:upbound,37,2.095,1.0,38200.0,295.496
baseline_tl21_ta70_ex32_ho14_du1,baseline,,FAIL,B4_MOVEMENT_11,S15:upbound,50,2.279,0.9823,9528.0,221.58
