parameter_id,changed_variable,changed_value,final_status,movement_id,segment_id,route_order_index,speed_kmh,low_lt10_ratio,waiting_sec,density
baseline_tl21_ta70_ex32_ho14_du1,baseline,,PASS,B4_MOVEMENT_04,S6:upbound,23,8.555,0.7812,19359.0,206.11
baseline_tl21_ta70_ex32_ho14_du1,baseline,,PASS,B4_MOVEMENT_05,S7:upbound,28,5.681,0.8378,26325.0,207.589
baseline_tl21_ta70_ex32_ho14_du1,baseline,,PASS,B4_MOVEMENT_06,S9:upbound,35,1.971,0.9937,71872.85,288.617
baseline_tl21_ta70_ex32_ho14_du1,baseline,,PASS,B4_MOVEMENT_07,S9:upbound,37,1.819,1.0,60249.85,296.387
baseline_tl21_ta70_ex32_ho14_du1,baseline,,PASS,B4_MOVEMENT_11,S15:upbound,50,4.505,0.935,10054.76,180.921
ofat_hold_max_33,hold_max,33,PASS,B4_MOVEMENT_04,S6:upbound,23,7.543,0.8144,23096.0,210.823
ofat_hold_max_33,hold_max,33,PASS,B4_MOVEMENT_05,S7:upbound,28,3.914,0.9461,34605.0,220.251
ofat_hold_max_33,hold_max,33,PASS,B4_MOVEMENT_06,S9:upbound,35,1.516,0.9943,83288.0,302.318
ofat_hold_max_33,hold_max,33,PASS,B4_MOVEMENT_07,S9:upbound,37,1.451,1.0,68912.0,309.417
ofat_hold_max_33,hold_max,33,PASS,B4_MOVEMENT_11,S15:upbound,50,6.168,0.9242,7027.0,150.013
ofat_hold_max_40,hold_max,40,PASS,B4_MOVEMENT_04,S6:upbound,23,7.354,0.8279,23198.0,212.15
ofat_hold_max_40,hold_max,40,PASS,B4_MOVEMENT_05,S7:upbound,28,4.479,0.9101,34561.0,219.558
ofat_hold_max_40,hold_max,40,PASS,B4_MOVEMENT_06,S9:upbound,35,1.6,0.9943,83016.0,293.058
ofat_hold_max_40,hold_max,40,PASS,B4_MOVEMENT_07,S9:upbound,37,1.482,1.0,67973.0,295.296
ofat_hold_max_40,hold_max,40,PASS,B4_MOVEMENT_11,S15:upbound,50,5.643,0.8284,7372.0,153.046
ofat_hold_max_24,hold_max,24,PASS,B4_MOVEMENT_04,S6:upbound,23,6.836,0.848,27334.0,219.358
ofat_hold_max_24,hold_max,24,PASS,B4_MOVEMENT_05,S7:upbound,28,3.599,0.929,41248.0,226.835
ofat_hold_max_24,hold_max,24,PASS,B4_MOVEMENT_06,S9:upbound,35,1.565,0.9948,89291.29,300.055
ofat_hold_max_24,hold_max,24,PASS,B4_MOVEMENT_07,S9:upbound,37,1.551,0.9991,71929.29,301.186
ofat_hold_max_24,hold_max,24,PASS,B4_MOVEMENT_11,S15:upbound,50,6.218,0.8537,8235.0,168.664
ofat_hold_max_7,hold_max,7,PASS,B4_MOVEMENT_04,S6:upbound,23,7.652,0.8029,26818.0,208.226
ofat_hold_max_7,hold_max,7,PASS,B4_MOVEMENT_05,S7:upbound,28,4.075,0.9454,43496.0,230.111
ofat_hold_max_7,hold_max,7,PASS,B4_MOVEMENT_06,S9:upbound,35,1.487,0.9953,99462.03,315.378
ofat_hold_max_7,hold_max,7,PASS,B4_MOVEMENT_07,S9:upbound,37,1.477,0.996,77619.03,310.964
ofat_hold_max_7,hold_max,7,PASS,B4_MOVEMENT_11,S15:upbound,50,2.046,0.9907,18450.0,213.39
ofat_hold_max_1,hold_max,1,PASS,B4_MOVEMENT_04,S6:upbound,23,5.619,0.8668,34592.0,220.138
ofat_hold_max_1,hold_max,1,PASS,B4_MOVEMENT_05,S7:upbound,28,3.491,0.9558,44151.0,221.911
ofat_hold_max_1,hold_max,1,PASS,B4_MOVEMENT_06,S9:upbound,35,1.489,0.9953,99152.01,298.281
ofat_hold_max_1,hold_max,1,PASS,B4_MOVEMENT_07,S9:upbound,37,1.494,0.9977,79043.21,299.071
ofat_hold_max_1,hold_max,1,PASS,B4_MOVEMENT_11,S15:upbound,50,3.939,0.9099,14275.0,181.146
