parameter_id,final_status,bo_score_sec,movement_id,segment_id,route_order_index,speed_kmh,low_lt10_ratio,density,waiting_sec,time_loss_sec,entered,left
init_001_tl17_ta85_ex4_ho16_du1,FAIL,1000161.21,B4_MOVEMENT_00,S1:upbound,6,51.21,0.0,3.235,32.0,51.4,51,59
init_001_tl17_ta85_ex4_ho16_du1,FAIL,1000161.21,B4_MOVEMENT_01,S2:upbound,10,23.453,0.3358,93.323,790.0,1377.57,497,637
init_001_tl17_ta85_ex4_ho16_du1,FAIL,1000161.21,B4_MOVEMENT_02,S3:upbound,12,57.851,0.0,25.048,29.0,282.72,380,384
init_001_tl17_ta85_ex4_ho16_du1,FAIL,1000161.21,B4_MOVEMENT_03,S5:upbound,16,36.88,0.0,55.872,271.0,1228.32,772,766
init_001_tl17_ta85_ex4_ho16_du1,FAIL,1000161.21,B4_MOVEMENT_04,S6:upbound,23,33.36,0.1601,68.479,1400.0,3304.71,1264,1235
init_001_tl17_ta85_ex4_ho16_du1,FAIL,1000161.21,B4_MOVEMENT_05,S7:upbound,28,13.378,0.6964,143.486,6609.54,9624.14,722,699
init_001_tl17_ta85_ex4_ho16_du1,FAIL,1000161.21,B4_MOVEMENT_06,S9:upbound,35,2.6,0.9894,288.338,40089.44,48134.14,702,655
init_001_tl17_ta85_ex4_ho16_du1,FAIL,1000161.21,B4_MOVEMENT_07,S9:upbound,37,2.348,0.9948,299.467,34335.0,41436.69,719,684
init_001_tl17_ta85_ex4_ho16_du1,FAIL,1000161.21,B4_MOVEMENT_08,S11:upbound,42,70.134,0.0,10.364,0.0,67.98,245,246
init_001_tl17_ta85_ex4_ho16_du1,FAIL,1000161.21,B4_MOVEMENT_09,S13:upbound,45,13.172,0.7057,100.223,1406.0,1908.5,178,169
init_001_tl17_ta85_ex4_ho16_du1,FAIL,1000161.21,B4_MOVEMENT_10,S14:upbound,48,6.722,0.9225,121.821,5166.0,6305.51,230,209
init_001_tl17_ta85_ex4_ho16_du1,FAIL,1000161.21,B4_MOVEMENT_11,S15:upbound,50,1.798,0.981,245.779,9834.0,11003.22,110,87
init_001_tl17_ta85_ex4_ho16_du1,FAIL,1000161.21,B4_MOVEMENT_12,S16:upbound,52,28.39,0.3608,40.21,192.0,367.16,58,62
init_001_tl17_ta85_ex4_ho16_du1,FAIL,1000161.21,B4_MOVEMENT_13,S17:upbound,53,51.707,0.0,6.849,0.0,71.17,30,30
init_001_tl17_ta85_ex4_ho16_du1,FAIL,1000161.21,B4_MOVEMENT_14,S18:upbound,55,77.962,0.0,5.582,0.0,14.73,58,56
init_001_tl17_ta85_ex4_ho16_du1,FAIL,1000161.21,B4_MOVEMENT_15,S19:upbound,58,65.368,0.0,7.033,32.0,79.02,99,101
init_001_tl17_ta85_ex4_ho16_du1,FAIL,1000161.21,B4_MOVEMENT_16,S21:upbound,59,40.685,0.0,7.738,41.0,149.33,31,31
init_002_tl63_ta80_ex30_ho24_du1,PASS,6468.04,B4_MOVEMENT_00,S1:upbound,6,51.58,0.1305,3.483,62.0,97.95,90,108
init_002_tl63_ta80_ex30_ho24_du1,PASS,6468.04,B4_MOVEMENT_01,S2:upbound,10,19.465,0.5184,119.325,1970.0,3008.84,811,1035
init_002_tl63_ta80_ex30_ho24_du1,PASS,6468.04,B4_MOVEMENT_02,S3:upbound,12,24.194,0.6139,140.137,1805.0,2553.81,600,588
init_002_tl63_ta80_ex30_ho24_du1,PASS,6468.04,B4_MOVEMENT_03,S5:upbound,16,14.506,0.6197,171.642,5043.0,6800.46,1139,1111
init_002_tl63_ta80_ex30_ho24_du1,PASS,6468.04,B4_MOVEMENT_04,S6:upbound,23,8.586,0.794,203.341,20546.0,23973.88,1606,1519
init_002_tl63_ta80_ex30_ho24_du1,PASS,6468.04,B4_MOVEMENT_05,S7:upbound,28,3.963,0.9168,228.732,36736.0,40180.94,800,765
