parameter_id,final_status,bo_score_sec,segment_id,samples,raw_mean,effective_mean,effective_p50,effective_p85,effective_p95,effective_max,tau_scale,hit_0p65,hit_0p75,hit_0p85
init_001_tl17_ta85_ex4_ho16_du1,FAIL,1000161.21,S9:upbound,108,1.0,0.85,0.85,0.85,0.85,0.85,0.85,108,108,108
init_002_tl63_ta80_ex30_ho24_du1,PASS,6468.04,S14:upbound,2,0.9677,0.8225,0.8225,0.8225,0.8225,0.8225,0.85,2,2,0
init_002_tl63_ta80_ex30_ho24_du1,PASS,6468.04,S15:upbound,55,0.9712,0.8256,0.8256,0.8256,0.8256,0.8256,0.85,55,55,0
init_002_tl63_ta80_ex30_ho24_du1,PASS,6468.04,S9:upbound,117,0.9992,0.8494,0.85,0.85,0.85,0.85,0.85,117,117,108
init_003_tl12_ta80_ex1_ho24_du2,FAIL,1000150.53,S9:upbound,232,0.9938,0.8447,0.85,0.85,0.85,0.85,0.85,232,232,163
init_004_tl77_ta65_ex44_ho28_du2,FAIL,1000131.63,S9:upbound,233,0.9935,0.8445,0.85,0.85,0.85,0.85,0.85,233,233,163
init_005_tl92_ta70_ex37_ho6_du2,FAIL,1000131.94,S9:upbound,233,0.9935,0.8445,0.85,0.85,0.85,0.85,0.85,233,233,163
init_006_tl3_ta65_ex1_ho34_du1,FAIL,1000159.93,S14:upbound,27,0.8993,0.7644,0.7846,0.7846,0.7846,0.7848,0.85,27,20,0
init_006_tl3_ta65_ex1_ho34_du1,FAIL,1000159.93,S15:upbound,35,0.941,0.7998,0.8256,0.8256,0.8256,0.8256,0.85,35,32,0
init_006_tl3_ta65_ex1_ho34_du1,FAIL,1000159.93,S9:upbound,117,0.9955,0.8462,0.85,0.85,0.85,0.85,0.85,117,115,106
init_007_tl48_ta70_ex27_ho1_du3,PASS,11829.42,S14:upbound,266,0.9524,0.8095,0.8225,0.8456,0.8456,0.8456,0.85,266,254,0
init_007_tl48_ta70_ex27_ho1_du3,PASS,11829.42,S15:upbound,424,0.9659,0.821,0.8256,0.85,0.85,0.85,0.85,424,414,65
init_007_tl48_ta70_ex27_ho1_du3,PASS,11829.42,S9:upbound,251,0.9928,0.8439,0.85,0.85,0.85,0.85,0.85,251,251,173
init_008_tl28_ta80_ex31_ho35_du1,PASS,9508.58,S14:upbound,37,0.9677,0.8225,0.8225,0.8225,0.8225,0.8225,0.85,37,37,0
init_008_tl28_ta80_ex31_ho35_du1,PASS,9508.58,S15:upbound,2,0.9712,0.8256,0.8256,0.8256,0.8256,0.8256,0.85,2,2,0
init_008_tl28_ta80_ex31_ho35_du1,PASS,9508.58,S9:upbound,117,0.9983,0.8485,0.85,0.85,0.85,0.85,0.85,117,117,106
init_009_tl44_ta70_ex43_ho14_du2,FAIL,1000131.93,S9:upbound,233,0.9935,0.8445,0.85,0.85,0.85,0.85,0.85,233,233,163
