parameter_id,changed_variable,changed_value,final_status,movement_id,segment_id,route_order_index,speed_kmh,low_lt10_ratio,waiting_sec,density
ofat_ext_max_20,ext_max,20,PASS,B4_MOVEMENT_04,S6:upbound,23,9.498,0.7551,16853.0,197.731
ofat_ext_max_20,ext_max,20,PASS,B4_MOVEMENT_05,S7:upbound,28,4.2,0.9411,32772.0,226.129
ofat_ext_max_20,ext_max,20,PASS,B4_MOVEMENT_06,S9:upbound,35,1.488,0.9938,76146.0,303.435
ofat_ext_max_20,ext_max,20,PASS,B4_MOVEMENT_07,S9:upbound,37,1.38,1.0,62336.0,305.766
ofat_ext_max_20,ext_max,20,PASS,B4_MOVEMENT_11,S15:upbound,50,6.199,0.8033,6215.0,153.558
baseline_tl21_ta70_ex32_ho14_du1,baseline,,PASS,B4_MOVEMENT_04,S6:upbound,23,8.264,0.7987,20131.0,206.846
baseline_tl21_ta70_ex32_ho14_du1,baseline,,PASS,B4_MOVEMENT_05,S7:upbound,28,4.221,0.9498,32389.0,225.779
baseline_tl21_ta70_ex32_ho14_du1,baseline,,PASS,B4_MOVEMENT_06,S9:upbound,35,1.603,0.994,77794.0,304.38
baseline_tl21_ta70_ex32_ho14_du1,baseline,,PASS,B4_MOVEMENT_07,S9:upbound,37,1.518,1.0,63876.86,304.963
baseline_tl21_ta70_ex32_ho14_du1,baseline,,PASS,B4_MOVEMENT_11,S15:upbound,50,4.88,0.9027,8902.0,166.525
ofat_hold_max_24,hold_max,24,PASS,B4_MOVEMENT_04,S6:upbound,23,8.264,0.7987,20131.0,206.846
ofat_hold_max_24,hold_max,24,PASS,B4_MOVEMENT_05,S7:upbound,28,4.221,0.9498,32389.0,225.779
ofat_hold_max_24,hold_max,24,PASS,B4_MOVEMENT_06,S9:upbound,35,1.603,0.994,77794.0,304.38
ofat_hold_max_24,hold_max,24,PASS,B4_MOVEMENT_07,S9:upbound,37,1.518,1.0,63876.86,304.963
ofat_hold_max_24,hold_max,24,PASS,B4_MOVEMENT_11,S15:upbound,50,4.88,0.9027,8902.0,166.525
ofat_hold_max_33,hold_max,33,PASS,B4_MOVEMENT_04,S6:upbound,23,8.264,0.7987,20131.0,206.846
ofat_hold_max_33,hold_max,33,PASS,B4_MOVEMENT_05,S7:upbound,28,4.221,0.9498,32389.0,225.779
ofat_hold_max_33,hold_max,33,PASS,B4_MOVEMENT_06,S9:upbound,35,1.603,0.994,77794.0,304.38
ofat_hold_max_33,hold_max,33,PASS,B4_MOVEMENT_07,S9:upbound,37,1.518,1.0,63876.86,304.963
ofat_hold_max_33,hold_max,33,PASS,B4_MOVEMENT_11,S15:upbound,50,4.88,0.9027,8902.0,166.525
ofat_hold_max_40,hold_max,40,PASS,B4_MOVEMENT_04,S6:upbound,23,8.264,0.7987,20131.0,206.846
ofat_hold_max_40,hold_max,40,PASS,B4_MOVEMENT_05,S7:upbound,28,4.221,0.9498,32389.0,225.779
ofat_hold_max_40,hold_max,40,PASS,B4_MOVEMENT_06,S9:upbound,35,1.603,0.994,77794.0,304.38
ofat_hold_max_40,hold_max,40,PASS,B4_MOVEMENT_07,S9:upbound,37,1.518,1.0,63876.86,304.963
