parameter_id,changed_variable,changed_value,final_status,failure_reason,emergency_arrived,emergency_teleport,emergency_stuck_duration_sec,T_actual_EMV_sec,general_mean_travel_time_sec,bo_score_sec,signal_burden_sec,general_mean_delay_sec,background_arrived_ratio,delta_EV_sec,delta_general_sec,delta_score_sec,t_lead,tau,ext_max,hold_max,d_up
ofat_ext_max_20,ext_max,20,PASS,,True,False,0.0,534.0,213.717435,5553.72,403.039688,150.295812,0.110692,-37.0,-14.175,-384.17,21,0.7,20,14,1
baseline_tl21_ta70_ex32_ho14_du1,baseline,,PASS,,True,False,0.0,571.0,227.8921,5937.89,549.616439,163.846686,0.115129,0.0,0.0,0.0,21,0.7,32,14,1
ofat_hold_max_24,hold_max,24,PASS,,True,False,0.0,571.0,227.8921,5937.89,544.616439,163.846686,0.115129,0.0,0.0,0.0,21,0.7,32,24,1
ofat_hold_max_33,hold_max,33,PASS,,True,False,0.0,571.0,227.8921,5937.89,544.616439,163.846686,0.115129,0.0,0.0,0.0,21,0.7,32,33,1
ofat_hold_max_40,hold_max,40,PASS,,True,False,0.0,571.0,227.8921,5937.89,544.616439,163.846686,0.115129,0.0,0.0,0.0,21,0.7,32,40,1
ofat_hold_max_7,hold_max,7,PASS,,True,False,0.0,571.0,227.8921,5937.89,554.616439,163.846686,0.115129,0.0,0.0,0.0,21,0.7,32,7,1
ofat_t_lead_10,t_lead,10,PASS,,True,False,0.0,571.0,227.8921,5937.89,549.616439,163.846686,0.115129,0.0,0.0,0.0,10,0.7,32,14,1
ofat_t_lead_35,t_lead,35,PASS,,True,False,0.0,571.0,227.8921,5937.89,549.616439,163.846686,0.115129,0.0,0.0,0.0,35,0.7,32,14,1
ofat_t_lead_50,t_lead,50,PASS,,True,False,0.0,571.0,227.8921,5937.89,549.616439,163.846686,0.115129,0.0,0.0,0.0,50,0.7,32,14,1
ofat_t_lead_65,t_lead,65,PASS,,True,False,0.0,571.0,227.8921,5937.89,549.616439,163.846686,0.115129,0.0,0.0,0.0,65,0.7,32,14,1
ofat_t_lead_95,t_lead,95,PASS,,True,False,0.0,571.0,227.8921,5937.89,549.616439,163.846686,0.115129,0.0,0.0,0.0,95,0.7,32,14,1
ofat_tau_0p65,tau,0.65,PASS,,True,False,0.0,571.0,227.8921,5937.89,549.616439,163.846686,0.115129,0.0,0.0,0.0,21,0.65,32,14,1
ofat_tau_0p75,tau,0.75,PASS,,True,False,0.0,571.0,227.8921,5937.89,545.265435,163.846686,0.115129,0.0,0.0,0.0,21,0.75,32,14,1
ofat_tau_0p8,tau,0.8,PASS,,True,False,0.0,571.0,227.8921,5937.89,511.083838,163.846686,0.115129,0.0,0.0,0.0,21,0.8,32,14,1
ofat_hold_max_1,hold_max,1,PASS,,True,False,0.0,620.0,226.516791,6426.52,370.236081,162.649944,0.1189,49.0,-1.375,488.63,21,0.7,32,1,1
ofat_ext_max_45,ext_max,45,PASS,,True,False,0.0,621.0,220.763158,6430.76,607.413278,156.07906,0.118012,50.0,-7.129,492.87,21,0.7,45,14,1
ofat_t_lead_0,t_lead,0,PASS,,True,False,0.0,635.0,239.21223,6589.21,558.947388,173.745144,0.123336,64.0,11.32,651.32,0,0.7,32,14,1
ofat_ext_max_40,ext_max,40,PASS,,True,False,0.0,663.0,229.8,6859.80,628.438225,166.539019,0.11535,92.0,1.908,921.91,21,0.7,40,14,1
ofat_ext_max_10,ext_max,10,PASS,,True,False,0.0,858.0,270.695253,8850.70,855.0,204.195697,0.144854,287.0,42.803,2912.81,21,0.7,10,14,1
ofat_tau_0p85,tau,0.85,PASS,,True,False,0.0,869.0,279.060185,8969.06,514.72674,213.147377,0.143744,298.0,51.168,3031.17,21,0.85,32,14,1
ofat_d_up_2,d_up,2,FAIL,emergency_stuck,False,False,120.0,,129.764957,1000129.76,310.995097,74.983632,0.051908,,-98.127,994191.87,21,0.7,32,14,2
ofat_d_up_3,d_up,3,FAIL,emergency_stuck,False,False,120.0,,129.764957,1000129.76,310.995097,74.983632,0.051908,,-98.127,994191.87,21,0.7,32,14,3
ofat_ext_max_1,ext_max,1,FAIL,emergency_stuck,False,False,120.0,,155.557756,1000155.56,205.0,99.062178,0.067214,,-72.334,994217.67,21,0.7,1,14,1
