movement_id,segment_id,route_order_index,tls_id,corridor_edges,B04_speed_kmh,B4_speed_kmh,B4_minus_B04_kmh,B04_low_lt10_ratio,B4_low_lt10_ratio,B04_density,B4_density,B04_waiting_sec,B4_waiting_sec,B04_time_loss_sec,B4_time_loss_sec,B04_entered,B4_entered,B04_left,B4_left,bottleneck_note
B4_MOVEMENT_00,S1:upbound,6,CSV_TLS_S01_S02_SEONGDONG_GLOBAL_BUSINESS_HIGH_SCHOOL,420331801#1 -174870621#8 -174870621#7 -174870621#6 -174870621#5 -174870621#4 -174870621#2,47.435,49.788,2.353,0.0385,0.0031,4.069,3.612,95.0,72.0,130.03,115.01,94,93,111,111,
B4_MOVEMENT_01,S2:upbound,10,CSV_TLS_S02_S03_HANYANG_TECHNICAL_HIGH_SCHOOL_FRONT,-174870621#0 578313748#0 578313748#2 800229255,12.017,22.924,10.907,0.6709,0.421,170.069,91.881,4182.0,1523.0,5151.84,2567.96,776,892,991,1140,
B4_MOVEMENT_02,S3:upbound,12,cluster_3846534041_436877431,180368918#0 180368918#3,16.157,39.568,23.411,0.7306,0.3307,197.34,75.667,3602.0,736.0,4104.72,1267.82,568,666,554,653,
B4_MOVEMENT_03,S5:upbound,16,CSV_TLS_S05_S06_GWANGHUI_INTERSECTION,180368918#5 180368918#6 180368918#7 180368918#8,10.369,19.382,9.013,0.7255,0.4845,211.308,156.209,7552.0,3497.0,9034.34,5136.35,1029,1242,996,1211,
B4_MOVEMENT_04,S6:upbound,23,joinedS_7335400058_cluster_13348213189_13348213190_13348213191_4273893706_#1more,218773868#0 218773868#2 218773868#3 218773868#4 218773868#5 218773868#6 -1455512070,5.584,9.85,4.266,0.8737,0.7492,227.245,200.517,30109.0,19014.0,33034.67,21968.76,1395,1713,1309,1630,B04_bottleneck;B4_bottleneck
B4_MOVEMENT_05,S7:upbound,28,CSV_TLS_S08_S09_TOEGYE_RO_4_GA,428260110 785130600#0 785130600#1 785130600#2 785130600#3,3.244,5.021,1.777,0.952,0.8636,218.712,219.349,39128.0,32704.0,42268.25,36322.34,668,906,649,883,B04_bottleneck;B4_bottleneck
B4_MOVEMENT_06,S9:upbound,35,joinedS_11346754524_11346754527_7335400049_cluster_11346754525_11346754526_2784736947_414685366_#2more,1455497345 218773869#1 218773869#3 218773869#4 218773869#5 218773869#6 218773869#7,1.24,1.654,0.414,0.9947,0.9948,306.462,318.194,91090.44,89032.0,97175.31,99295.66,650,902,621,849,B04_bottleneck;B4_bottleneck
B4_MOVEMENT_07,S9:upbound,37,joinedS_11346754524_11346754527_7335400049_cluster_11346754525_11346754526_2784736947_414685366_#2more,218773869#1 218773869#3 218773869#4 218773869#5 218773869#6 218773869#7 218773869#8 218773869#9,1.158,1.603,0.445,1.0,0.9989,312.512,310.89,75218.44,70505.0,81294.8,79667.55,686,938,659,894,B04_bottleneck;B4_bottleneck
B4_MOVEMENT_08,S11:upbound,42,CSV_TLS_S11_S12_TOEGYE_RO_2_GA,219696193#2 781985793#0 781985793#1 420361196,64.54,65.941,1.401,0.0,0.0,7.325,8.596,0.0,7.0,112.93,130.32,248,317,249,318,
B4_MOVEMENT_09,S13:upbound,45,CSV_TLS_S13_S14_MYEONGDONG_STATION_FRONT,180445419 347237859#0 347237859#1,40.862,28.673,-12.189,0.3583,0.4888,46.79,55.831,292.0,566.0,535.44,1151.64,259,300,261,304,
B4_MOVEMENT_10,S14:upbound,48,CSV_TLS_S14_S15_DAYS_HOTEL_FRONT,347237859#2 347237859#3 347237859#4,9.087,11.896,2.809,0.8402,0.7535,100.117,97.78,5768.0,3800.0,8096.13,7285.42,383,456,371,456,B04_resolved_by_B4
B4_MOVEMENT_11,S15:upbound,50,joinedS_11203052957_cluster_11203052955_11203052956_11203052960_11203052961_#11more,347237859#5 781985787#0,2.619,5.838,3.219,0.9449,0.9455,204.588,168.982,15028.0,7968.0,17349.65,10782.83,233,319,215,326,B04_bottleneck;B4_bottleneck
B4_MOVEMENT_12,S16:upbound,52,CSV_TLS_S16_S17_SHINSEGAE_DEPARTMENT_STORE,218915135#3 218915135#4,46.319,48.295,1.976,0.1931,0.206,32.66,32.025,245.0,308.0,446.77,628.28,177,273,183,276,
B4_MOVEMENT_13,S17:upbound,53,CSV_TLS_S17_S18_NAMDAEMUN_MARKET,781983104#0,66.805,64.668,-2.137,0.0,0.0,10.471,12.104,0.0,0.0,78.83,144.64,89,134,87,134,
B4_MOVEMENT_14,S18:upbound,55,CSV_TLS_S18_S19_SAMSEON_BUILDING,781983104#1 333557072#1,78.811,78.578,-0.233,0.0,0.0,8.809,11.014,0.0,0.0,31.88,56.25,168,261,162,254,
B4_MOVEMENT_15,S19:upbound,58,CSV_TLS_S19_S20_SEVERANCE_BUILDING,333557072#2 333557072#3 333557072#5,69.661,72.124,2.463,0.0,0.0,9.669,9.984,46.0,43.0,126.65,140.55,247,359,228,310,
B4_MOVEMENT_16,S21:upbound,59,joinedS_11139302899_11139302904_11178710208_cluster_11139302901_4704751520_5593950663_5593950669_#1more_#1more,619147738#0,49.917,49.477,-0.44,0.0,0.0,7.875,8.521,39.0,48.0,190.61,245.61,63,79,63,79,
