parameter_id,changed_variable,changed_value,final_status,movement_id,segment_id,route_order_index,speed_kmh,low_lt10_ratio,waiting_sec,density
baseline_tl21_ta70_ex32_ho14_du1,baseline,,PASS,B4_MOVEMENT_04,S6:upbound,23,8.264,0.7987,20131.0,206.846
baseline_tl21_ta70_ex32_ho14_du1,baseline,,PASS,B4_MOVEMENT_05,S7:upbound,28,4.221,0.9498,32389.0,225.779
baseline_tl21_ta70_ex32_ho14_du1,baseline,,PASS,B4_MOVEMENT_06,S9:upbound,35,1.603,0.994,77794.0,304.38
baseline_tl21_ta70_ex32_ho14_du1,baseline,,PASS,B4_MOVEMENT_07,S9:upbound,37,1.518,1.0,63876.86,304.963
baseline_tl21_ta70_ex32_ho14_du1,baseline,,PASS,B4_MOVEMENT_11,S15:upbound,50,4.88,0.9027,8902.0,166.525
ofat_tau_0p65,tau,0.65,PASS,B4_MOVEMENT_04,S6:upbound,23,8.264,0.7987,20131.0,206.846
ofat_tau_0p65,tau,0.65,PASS,B4_MOVEMENT_05,S7:upbound,28,4.221,0.9498,32389.0,225.779
ofat_tau_0p65,tau,0.65,PASS,B4_MOVEMENT_06,S9:upbound,35,1.603,0.994,77794.0,304.38
ofat_tau_0p65,tau,0.65,PASS,B4_MOVEMENT_07,S9:upbound,37,1.518,1.0,63876.86,304.963
ofat_tau_0p65,tau,0.65,PASS,B4_MOVEMENT_11,S15:upbound,50,4.88,0.9027,8902.0,166.525
ofat_tau_0p75,tau,0.75,PASS,B4_MOVEMENT_04,S6:upbound,23,8.264,0.7987,20131.0,206.846
ofat_tau_0p75,tau,0.75,PASS,B4_MOVEMENT_05,S7:upbound,28,4.221,0.9498,32389.0,225.779
ofat_tau_0p75,tau,0.75,PASS,B4_MOVEMENT_06,S9:upbound,35,1.603,0.994,77794.0,304.38
ofat_tau_0p75,tau,0.75,PASS,B4_MOVEMENT_07,S9:upbound,37,1.518,1.0,63876.86,304.963
ofat_tau_0p75,tau,0.75,PASS,B4_MOVEMENT_11,S15:upbound,50,4.88,0.9027,8902.0,166.525
ofat_tau_0p8,tau,0.8,PASS,B4_MOVEMENT_04,S6:upbound,23,6.464,0.8581,29091.0,219.643
ofat_tau_0p8,tau,0.8,PASS,B4_MOVEMENT_05,S7:upbound,28,3.377,0.9625,44929.66,233.61
ofat_tau_0p8,tau,0.8,PASS,B4_MOVEMENT_06,S9:upbound,35,1.407,0.9952,100611.0,314.623
ofat_tau_0p8,tau,0.8,PASS,B4_MOVEMENT_07,S9:upbound,37,1.377,1.0,80474.0,311.85
ofat_tau_0p8,tau,0.8,PASS,B4_MOVEMENT_11,S15:upbound,50,2.928,0.9457,14678.0,192.531
ofat_tau_0p85,tau,0.85,PASS,B4_MOVEMENT_04,S6:upbound,23,5.248,0.8781,37704.0,229.222
ofat_tau_0p85,tau,0.85,PASS,B4_MOVEMENT_05,S7:upbound,28,2.949,0.9639,53265.0,238.38
ofat_tau_0p85,tau,0.85,PASS,B4_MOVEMENT_06,S9:upbound,35,1.334,0.9957,110279.97,312.72
ofat_tau_0p85,tau,0.85,PASS,B4_MOVEMENT_07,S9:upbound,37,1.33,0.9999,87628.01,307.592
ofat_tau_0p85,tau,0.85,PASS,B4_MOVEMENT_11,S15:upbound,50,4.828,0.8694,11240.13,170.208
