parameter_id,changed_variable,changed_value,final_status,movement_id,segment_id,route_order_index,speed_kmh,low_lt10_ratio,waiting_sec,density
ofat_t_lead_65,t_lead,65,FAIL,B4_MOVEMENT_04,S6:upbound,23,37.092,0.0,549.0,56.692
ofat_t_lead_65,t_lead,65,FAIL,B4_MOVEMENT_05,S7:upbound,28,22.687,0.518,1936.0,94.316
ofat_t_lead_65,t_lead,65,FAIL,B4_MOVEMENT_06,S9:upbound,35,2.169,0.98,23583.0,291.481
ofat_t_lead_65,t_lead,65,FAIL,B4_MOVEMENT_07,S9:upbound,37,1.606,1.0,21421.0,311.407
ofat_t_lead_65,t_lead,65,FAIL,B4_MOVEMENT_11,S15:upbound,50,4.433,0.9372,2325.0,145.698
ofat_t_lead_95,t_lead,95,FAIL,B4_MOVEMENT_04,S6:upbound,23,37.344,0.0,562.0,56.262
ofat_t_lead_95,t_lead,95,FAIL,B4_MOVEMENT_05,S7:upbound,28,23.037,0.5074,1913.0,90.759
ofat_t_lead_95,t_lead,95,FAIL,B4_MOVEMENT_06,S9:upbound,35,2.15,0.9801,23745.0,293.237
ofat_t_lead_95,t_lead,95,FAIL,B4_MOVEMENT_07,S9:upbound,37,1.577,1.0,21515.0,313.662
ofat_t_lead_95,t_lead,95,FAIL,B4_MOVEMENT_11,S15:upbound,50,4.423,0.9326,2323.0,144.404
ofat_t_lead_10,t_lead,10,FAIL,B4_MOVEMENT_04,S6:upbound,23,35.434,0.09,1110.0,62.628
ofat_t_lead_10,t_lead,10,FAIL,B4_MOVEMENT_05,S7:upbound,28,14.403,0.6644,5837.0,146.744
ofat_t_lead_10,t_lead,10,FAIL,B4_MOVEMENT_06,S9:upbound,35,2.58,0.9889,37605.0,285.677
ofat_t_lead_10,t_lead,10,FAIL,B4_MOVEMENT_07,S9:upbound,37,2.337,0.997,31767.0,292.746
ofat_t_lead_10,t_lead,10,FAIL,B4_MOVEMENT_11,S15:upbound,50,1.991,0.979,8739.0,229.268
ofat_t_lead_0,t_lead,0,FAIL,B4_MOVEMENT_04,S6:upbound,23,34.02,0.0786,1339.0,67.917
ofat_t_lead_0,t_lead,0,FAIL,B4_MOVEMENT_05,S7:upbound,28,13.866,0.6869,6507.0,161.727
ofat_t_lead_0,t_lead,0,FAIL,B4_MOVEMENT_06,S9:upbound,35,2.601,0.9896,39490.0,288.087
ofat_t_lead_0,t_lead,0,FAIL,B4_MOVEMENT_07,S9:upbound,37,2.5,0.9964,32096.0,290.093
ofat_t_lead_0,t_lead,0,FAIL,B4_MOVEMENT_11,S15:upbound,50,1.759,0.9817,10168.0,251.674
ofat_t_lead_35,t_lead,35,FAIL,B4_MOVEMENT_04,S6:upbound,23,34.594,0.0777,1382.0,66.79
ofat_t_lead_35,t_lead,35,FAIL,B4_MOVEMENT_05,S7:upbound,28,18.494,0.4142,4465.0,128.104
ofat_t_lead_35,t_lead,35,FAIL,B4_MOVEMENT_06,S9:upbound,35,2.822,0.9903,40972.0,288.14
ofat_t_lead_35,t_lead,35,FAIL,B4_MOVEMENT_07,S9:upbound,37,2.594,0.9942,34280.0,293.314
ofat_t_lead_35,t_lead,35,FAIL,B4_MOVEMENT_11,S15:upbound,50,1.866,0.9842,10796.0,245.188
baseline_tl21_ta70_ex32_ho14_du1,baseline,,FAIL,B4_MOVEMENT_04,S6:upbound,23,29.956,0.2612,1865.0,85.19
baseline_tl21_ta70_ex32_ho14_du1,baseline,,FAIL,B4_MOVEMENT_05,S7:upbound,28,9.616,0.8462,10639.0,176.281
baseline_tl21_ta70_ex32_ho14_du1,baseline,,FAIL,B4_MOVEMENT_06,S9:upbound,35,2.325,0.9903,44648.0,287.378
baseline_tl21_ta70_ex32_ho14_du1,baseline,,FAIL,B4_MOVEMENT_07,S9:upbound,37,2.095,1.0,38200.0,295.496
baseline_tl21_ta70_ex32_ho14_du1,baseline,,FAIL,B4_MOVEMENT_11,S15:upbound,50,2.279,0.9823,9528.0,221.58
ofat_t_lead_50,t_lead,50,FAIL,B4_MOVEMENT_04,S6:upbound,23,26.704,0.3227,3217.0,95.997
ofat_t_lead_50,t_lead,50,FAIL,B4_MOVEMENT_05,S7:upbound,28,7.127,0.8972,17728.0,199.064
ofat_t_lead_50,t_lead,50,FAIL,B4_MOVEMENT_06,S9:upbound,35,2.065,0.9926,58895.59,306.947
ofat_t_lead_50,t_lead,50,FAIL,B4_MOVEMENT_07,S9:upbound,37,1.929,0.9975,48667.59,311.608
ofat_t_lead_50,t_lead,50,FAIL,B4_MOVEMENT_11,S15:upbound,50,2.529,0.9855,11710.0,231.455
