parameter_id,changed_variable,changed_value,final_status,movement_id,segment_id,route_order_index,speed_kmh,low_lt10_ratio,waiting_sec,density
baseline_tl21_ta70_ex32_ho14_du1,baseline,,PASS,B4_MOVEMENT_04,S6:upbound,23,8.555,0.7812,19359.0,206.11
baseline_tl21_ta70_ex32_ho14_du1,baseline,,PASS,B4_MOVEMENT_05,S7:upbound,28,5.681,0.8378,26325.0,207.589
baseline_tl21_ta70_ex32_ho14_du1,baseline,,PASS,B4_MOVEMENT_06,S9:upbound,35,1.971,0.9937,71872.85,288.617
baseline_tl21_ta70_ex32_ho14_du1,baseline,,PASS,B4_MOVEMENT_07,S9:upbound,37,1.819,1.0,60249.85,296.387
baseline_tl21_ta70_ex32_ho14_du1,baseline,,PASS,B4_MOVEMENT_11,S15:upbound,50,4.505,0.935,10054.76,180.921
ofat_t_lead_10,t_lead,10,PASS,B4_MOVEMENT_04,S6:upbound,23,7.037,0.8486,24969.0,214.095
ofat_t_lead_10,t_lead,10,PASS,B4_MOVEMENT_05,S7:upbound,28,4.278,0.9436,34080.0,210.061
ofat_t_lead_10,t_lead,10,PASS,B4_MOVEMENT_06,S9:upbound,35,1.451,0.9947,89217.01,307.494
ofat_t_lead_10,t_lead,10,PASS,B4_MOVEMENT_07,S9:upbound,37,1.327,1.0,74389.01,314.911
ofat_t_lead_10,t_lead,10,PASS,B4_MOVEMENT_11,S15:upbound,50,5.032,0.8956,9018.0,166.441
ofat_t_lead_50,t_lead,50,PASS,B4_MOVEMENT_04,S6:upbound,23,5.763,0.8437,29327.0,226.295
ofat_t_lead_50,t_lead,50,PASS,B4_MOVEMENT_05,S7:upbound,28,3.046,0.9572,42418.0,236.015
ofat_t_lead_50,t_lead,50,PASS,B4_MOVEMENT_06,S9:upbound,35,1.295,0.9947,90207.94,304.693
ofat_t_lead_50,t_lead,50,PASS,B4_MOVEMENT_07,S9:upbound,37,1.286,1.0,72098.0,302.957
ofat_t_lead_50,t_lead,50,PASS,B4_MOVEMENT_11,S15:upbound,50,4.473,0.883,9809.0,158.651
ofat_t_lead_35,t_lead,35,PASS,B4_MOVEMENT_04,S6:upbound,23,5.906,0.8666,31162.0,221.532
ofat_t_lead_35,t_lead,35,PASS,B4_MOVEMENT_05,S7:upbound,28,4.05,0.9444,37801.0,213.926
ofat_t_lead_35,t_lead,35,PASS,B4_MOVEMENT_06,S9:upbound,35,1.641,0.9948,88191.0,286.83
ofat_t_lead_35,t_lead,35,PASS,B4_MOVEMENT_07,S9:upbound,37,1.598,0.9987,72425.0,289.95
ofat_t_lead_35,t_lead,35,PASS,B4_MOVEMENT_11,S15:upbound,50,5.078,0.908,10054.0,164.697
ofat_t_lead_0,t_lead,0,PASS,B4_MOVEMENT_04,S6:upbound,23,5.658,0.8586,35168.0,230.625
ofat_t_lead_0,t_lead,0,PASS,B4_MOVEMENT_05,S7:upbound,28,3.532,0.8975,47591.0,232.706
ofat_t_lead_0,t_lead,0,PASS,B4_MOVEMENT_06,S9:upbound,35,1.383,0.9956,107942.0,321.766
ofat_t_lead_0,t_lead,0,PASS,B4_MOVEMENT_07,S9:upbound,37,1.33,0.9991,85872.0,316.185
ofat_t_lead_0,t_lead,0,PASS,B4_MOVEMENT_11,S15:upbound,50,4.47,0.9265,12372.0,190.792
ofat_t_lead_95,t_lead,95,PASS,B4_MOVEMENT_04,S6:upbound,23,5.562,0.8866,35475.0,223.218
ofat_t_lead_95,t_lead,95,PASS,B4_MOVEMENT_05,S7:upbound,28,3.447,0.9595,45969.69,222.061
ofat_t_lead_95,t_lead,95,PASS,B4_MOVEMENT_06,S9:upbound,35,1.445,0.9954,104119.11,307.559
ofat_t_lead_95,t_lead,95,PASS,B4_MOVEMENT_07,S9:upbound,37,1.361,1.0,87112.11,317.248
ofat_t_lead_95,t_lead,95,PASS,B4_MOVEMENT_11,S15:upbound,50,4.954,0.8742,11284.0,156.731
ofat_t_lead_65,t_lead,65,FAIL,B4_MOVEMENT_04,S6:upbound,23,23.751,0.3858,4458.0,121.427
ofat_t_lead_65,t_lead,65,FAIL,B4_MOVEMENT_05,S7:upbound,28,8.777,0.7902,14462.83,183.328
ofat_t_lead_65,t_lead,65,FAIL,B4_MOVEMENT_06,S9:upbound,35,2.603,0.9925,54619.0,285.55
ofat_t_lead_65,t_lead,65,FAIL,B4_MOVEMENT_07,S9:upbound,37,2.529,0.9997,43926.0,285.449
ofat_t_lead_65,t_lead,65,FAIL,B4_MOVEMENT_11,S15:upbound,50,1.991,0.9816,14466.0,250.059
