parameter_id,changed_variable,changed_value,final_status,failure_reason,alpha,t_lead,delta_T_thr,G_ext,Q_trig,tau,hold_max,d_up,tau_scale,tau_numerator_gamma,T_actual_EMV_sec,general_mean_travel_time_sec,bo_score_sec,stage3_preemption_count,bottleneck_mode_count,signal_burden_sec,case_b_active_count,case_b_runtime_segment_count,case_b_runtime_movement_count,case_b_original_tau_count,case_b_b0_prior_count,original_tau_trigger_count,original_tau_sample_count,original_tau_raw_max,original_tau_effective_max,original_tau_hit_0p65,original_tau_hit_0p75,original_tau_hit_0p85,segment_hits_json,signal_events_csv
fixed_hold_max_33,hold_max,33.0,PASS,,1.15,21.0,80.0,32.0,0.0,0.75,33.0,1,0.85,5.0,470.0,202.611738,4902.61,9,8,465.919458,60,0,0,60,0,60,106,1.0,0.85,70,60,60,"{""S14:upbound"": {""samples"": 12}, ""S15:upbound"": {""hit_0.65"": 10, ""samples"": 17}, ""S5:upbound"": {""samples"": 13}, ""S6:upbound"": {""samples"": 2}, ""S7:upbound"": {""samples"": 2}, ""S9:upbound"": {""hit_0.65"": 60, ""hit_0.75"": 60, ""hit_0.85"": 60, ""samples"": 60}}",runs/compact_v9_B4_fixed_param_sensitivity/codex_structure_full_inductive_20260606/B4/fixed_hold_max_33/repeat_001/signal_events.csv
fixed_combined_lock_tau0p85_scale1_gamma7_hold33_dup3,combined_lock,combined_lock,FAIL,emergency_stuck,1.15,21.0,80.0,32.0,0.0,0.85,33.0,3,1.0,7.0,,119.260465,1000119.26,6,4,346.582059,177,0,0,177,0,177,370,1.0,1.0,186,184,177,"{""S13:upbound"": {""samples"": 7}, ""S14:upbound"": {""samples"": 142}, ""S15:upbound"": {""hit_0.65"": 10, ""hit_0.75"": 8, ""hit_0.85"": 3, ""samples"": 37}, ""S5:upbound"": {""samples"": 4}, ""S6:upbound"": {""samples"": 2}, ""S7:upbound"": {""samples"": 2}, ""S9:upbound"": {""hit_0.65"": 176, ""hit_0.75"": 176, ""hit_0.85"": 174, ""samples"": 176}}",runs/compact_v9_B4_fixed_param_sensitivity/codex_structure_full_inductive_20260606/B4/fixed_combined_lock_tau0p85_scale1_gamma7_hold33_dup3/repeat_001/signal_events.csv
fixed_d_up_3,d_up,3,FAIL,emergency_stuck,1.15,21.0,80.0,32.0,0.0,0.75,14.0,3,0.85,5.0,,121.144186,1000121.14,7,5,377.967885,179,0,0,179,0,179,372,1.0,0.85,186,179,153,"{""S13:upbound"": {""samples"": 22}, ""S14:upbound"": {""samples"": 127}, ""S15:upbound"": {""hit_0.65"": 8, ""hit_0.75"": 3, ""hit_0.85"": 3, ""samples"": 37}, ""S5:upbound"": {""samples"": 4}, ""S6:upbound"": {""samples"": 2}, ""S7:upbound"": {""samples"": 2}, ""S9:upbound"": {""hit_0.65"": 178, ""hit_0.75"": 176, ""hit_0.85"": 150, ""samples"": 178}}",runs/compact_v9_B4_fixed_param_sensitivity/codex_structure_full_inductive_20260606/B4/fixed_d_up_3/repeat_001/signal_events.csv
fixed_hold_max_7,hold_max,7.0,FAIL,emergency_stuck,1.15,21.0,80.0,32.0,0.0,0.75,7.0,1,0.85,5.0,,136.814672,1000136.81,8,6,380.829721,60,0,0,60,0,60,79,1.0,0.85,60,60,60,"{""S5:upbound"": {""samples"": 13}, ""S6:upbound"": {""samples"": 2}, ""S7:upbound"": {""samples"": 4}, ""S9:upbound"": {""hit_0.65"": 60, ""hit_0.75"": 60, ""hit_0.85"": 60, ""samples"": 60}}",runs/compact_v9_B4_fixed_param_sensitivity/codex_structure_full_inductive_20260606/B4/fixed_hold_max_7/repeat_001/signal_events.csv
fixed_hold_max_24,hold_max,24.0,FAIL,emergency_stuck,1.15,21.0,80.0,32.0,0.0,0.75,24.0,1,0.85,5.0,,137.843137,1000137.84,6,5,310.534609,58,0,0,58,0,58,75,1.0,0.85,58,58,58,"{""S5:upbound"": {""samples"": 13}, ""S6:upbound"": {""samples"": 2}, ""S7:upbound"": {""samples"": 2}, ""S9:upbound"": {""hit_0.65"": 58, ""hit_0.75"": 58, ""hit_0.85"": 58, ""samples"": 58}}",runs/compact_v9_B4_fixed_param_sensitivity/codex_structure_full_inductive_20260606/B4/fixed_hold_max_24/repeat_001/signal_events.csv
fixed_base_tau075_scale085_gamma5_hold14_dup1,baseline,,FAIL,emergency_stuck,1.15,21.0,80.0,32.0,0.0,0.75,14.0,1,0.85,5.0,,138.12549,1000138.13,7,6,351.039597,60,0,0,60,0,60,77,1.0,0.85,60,60,60,"{""S5:upbound"": {""samples"": 13}, ""S6:upbound"": {""samples"": 2}, ""S7:upbound"": {""samples"": 2}, ""S9:upbound"": {""hit_0.65"": 60, ""hit_0.75"": 60, ""hit_0.85"": 60, ""samples"": 60}}",runs/compact_v9_B4_fixed_param_sensitivity/codex_structure_full_inductive_20260606/B4/fixed_base_tau075_scale085_gamma5_hold14_dup1/repeat_001/signal_events.csv
fixed_tau_0p6,tau,0.6,FAIL,emergency_stuck,1.15,21.0,80.0,32.0,0.0,0.6,14.0,1,0.85,5.0,,138.12549,1000138.13,7,6,351.039597,60,0,0,60,0,60,77,1.0,0.85,60,60,60,"{""S5:upbound"": {""samples"": 13}, ""S6:upbound"": {""samples"": 2}, ""S7:upbound"": {""samples"": 2}, ""S9:upbound"": {""hit_0.65"": 60, ""hit_0.75"": 60, ""hit_0.85"": 60, ""samples"": 60}}",runs/compact_v9_B4_fixed_param_sensitivity/codex_structure_full_inductive_20260606/B4/fixed_tau_0p6/repeat_001/signal_events.csv
fixed_tau_0p65,tau,0.65,FAIL,emergency_stuck,1.15,21.0,80.0,32.0,0.0,0.65,14.0,1,0.85,5.0,,138.12549,1000138.13,7,6,351.039597,60,0,0,60,0,60,77,1.0,0.85,60,60,60,"{""S5:upbound"": {""samples"": 13}, ""S6:upbound"": {""samples"": 2}, ""S7:upbound"": {""samples"": 2}, ""S9:upbound"": {""hit_0.65"": 60, ""hit_0.75"": 60, ""hit_0.85"": 60, ""samples"": 60}}",runs/compact_v9_B4_fixed_param_sensitivity/codex_structure_full_inductive_20260606/B4/fixed_tau_0p65/repeat_001/signal_events.csv
fixed_tau_0p7,tau,0.7,FAIL,emergency_stuck,1.15,21.0,80.0,32.0,0.0,0.7,14.0,1,0.85,5.0,,138.12549,1000138.13,7,6,351.039597,60,0,0,60,0,60,77,1.0,0.85,60,60,60,"{""S5:upbound"": {""samples"": 13}, ""S6:upbound"": {""samples"": 2}, ""S7:upbound"": {""samples"": 2}, ""S9:upbound"": {""hit_0.65"": 60, ""hit_0.75"": 60, ""hit_0.85"": 60, ""samples"": 60}}",runs/compact_v9_B4_fixed_param_sensitivity/codex_structure_full_inductive_20260606/B4/fixed_tau_0p7/repeat_001/signal_events.csv
fixed_tau_0p8,tau,0.8,FAIL,emergency_stuck,1.15,21.0,80.0,32.0,0.0,0.8,14.0,1,0.85,5.0,,138.12549,1000138.13,7,6,351.039597,60,0,0,60,0,60,77,1.0,0.85,60,60,60,"{""S5:upbound"": {""samples"": 13}, ""S6:upbound"": {""samples"": 2}, ""S7:upbound"": {""samples"": 2}, ""S9:upbound"": {""hit_0.65"": 60, ""hit_0.75"": 60, ""hit_0.85"": 60, ""samples"": 60}}",runs/compact_v9_B4_fixed_param_sensitivity/codex_structure_full_inductive_20260606/B4/fixed_tau_0p8/repeat_001/signal_events.csv
fixed_tau_0p85,tau,0.85,FAIL,emergency_stuck,1.15,21.0,80.0,32.0,0.0,0.85,14.0,1,0.85,5.0,,138.12549,1000138.13,7,6,351.039597,60,0,0,60,0,60,77,1.0,0.85,60,60,60,"{""S5:upbound"": {""samples"": 13}, ""S6:upbound"": {""samples"": 2}, ""S7:upbound"": {""samples"": 2}, ""S9:upbound"": {""hit_0.65"": 60, ""hit_0.75"": 60, ""hit_0.85"": 60, ""samples"": 60}}",runs/compact_v9_B4_fixed_param_sensitivity/codex_structure_full_inductive_20260606/B4/fixed_tau_0p85/repeat_001/signal_events.csv
