input_method,input_seed,input_round,input_parameter_id,input_t_lead,input_delta_T_thr,input_G_ext,input_Q_ratio,input_tau,output_delay_A_sec,output_delay_N_sec,weight_A,weight_N,weight_ratio,score,measured_T_free_EMV_sec,measured_T_actual_EMV_sec,measured_d_EMV_sec,measured_d_veh_sec,measured_general_mean_travel_time_sec,stage2_on_count,stage3_on_count
Random Search,20260607,1,rs_r01_001_tl48_dt220_ge9_qr22_tau77,48,220,9,0.22,0.77,122.20,108.18,10.00,1.00,10:1,120.93,218.00,340.20,122.20,108.18,180.82,,
Random Search,20260607,2,rs_r02_001_tl30_dt8_ge26_qr51_tau79,30,8,26,0.51,0.79,231.06,109.77,10.00,1.00,10:1,220.03,218.00,449.06,231.06,109.77,180.98,,
Random Search,20260607,3,rs_r03_001_tl91_dt34_ge11_qr77_tau83,91,34,11,0.77,0.83,60.00,115.79,10.00,1.00,10:1,65.07,218.00,278.00,60.00,115.79,181.58,,
Random Search,20260607,4,rs_r04_001_tl118_dt71_ge29_qr60_tau90,118,71,29,0.6,0.9,60.00,126.35,10.00,1.00,10:1,66.03,218.00,278.00,60.00,126.35,182.64,,
CMA-ES,20260607,1,cma_r01_001_tl34_dt25_ge1_qr76_tau84,34,25,1,0.76,0.84,308.07,101.85,10.00,1.00,10:1,289.32,218.00,526.07,308.07,101.85,180.19,,
CMA-ES,20260607,2,cma_r02_001_tl62_dt161_ge20_qr0_tau90,62,161,20,0.0,0.9,60.00,118.95,10.00,1.00,10:1,65.36,218.00,278.00,60.00,118.95,181.89,,
CMA-ES,20260607,3,cma_r03_001_tl37_dt202_ge8_qr64_tau71,37,202,8,0.64,0.71,215.04,106.06,10.00,1.00,10:1,205.13,218.00,433.04,215.04,106.06,180.61,,
CMA-ES,20260607,4,cma_r04_001_tl46_dt177_ge39_qr53_tau72,46,177,39,0.53,0.72,60.00,118.24,10.00,1.00,10:1,65.29,218.00,278.00,60.00,118.24,181.82,,
BO,20260607,1,bo_init_001_tl50_dt212_ge40_qr62_tau90,50,212,40,0.62,0.9,60.00,117.41,10.00,1.00,10:1,65.22,218.00,278.00,60.00,117.41,181.74,,
BO,20260607,2,bo_init_001_tl120_dt59_ge19_qr20_tau87,120,59,19,0.2,0.87,60.00,125.30,10.00,1.00,10:1,65.94,218.00,278.00,60.00,125.30,182.53,,
BO,20260607,3,bo_r03_001_tl5_dt127_ge8_qr61_tau79,5,127,8,0.61,0.79,382.37,98.99,10.00,1.00,10:1,356.61,218.00,600.37,382.37,98.99,179.90,,
BO,20260607,4,bo_r04_001_tl106_dt59_ge34_qr77_tau82,106,59,34,0.77,0.82,60.00,125.66,10.00,1.00,10:1,65.97,218.00,278.00,60.00,125.66,182.57,,
