method,seed,round,parameter_id,t_lead,delta_T_thr,G_ext,Q_ratio,tau,delay_A,delay_N,score,best_so_far,penalty,final_status,surrogate_mean,surrogate_ci_low,surrogate_ci_high,acquisition,essi_max,essi_log_max_ewma,essi_spc_status
Random Search,20260607,1,rs_r01_001_tl48_dt39_ge11_qr29_tau77,48,39,11,0.29,0.77,139.27,108.29,1500.99,1500.99,0.00,PASS,,,,,,,
Random Search,20260607,2,rs_r02_001_tl4_dt107_ge25_qr37_tau74,4,107,25,0.37,0.74,305.21,105.30,3157.40,1500.99,0.00,PASS,,,,,,,
Random Search,20260607,3,rs_r03_001_tl23_dt154_ge27_qr35_tau84,23,154,27,0.35,0.84,191.20,108.81,2020.81,1500.99,0.00,PASS,,,,,,,
Random Search,20260607,4,rs_r04_001_tl60_dt160_ge34_qr12_tau73,60,160,34,0.12,0.73,60.00,122.47,722.47,722.47,0.00,PASS,,,,,,,
Random Search,20260607,5,rs_r05_001_tl84_dt28_ge36_qr73_tau72,84,28,36,0.73,0.72,60.00,124.11,724.11,722.47,0.00,PASS,,,,,,,
Random Search,20260608,1,rs_r01_001_tl90_dt91_ge30_qr20_tau88,90,91,30,0.2,0.88,60.00,123.93,723.93,723.93,0.00,PASS,,,,,,,
Random Search,20260608,2,rs_r02_001_tl55_dt89_ge9_qr68_tau71,55,89,9,0.68,0.71,116.76,110.08,1277.68,723.93,0.00,PASS,,,,,,,
Random Search,20260608,3,rs_r03_001_tl51_dt10_ge46_qr16_tau74,51,10,46,0.16,0.74,60.00,124.51,724.51,723.93,0.00,PASS,,,,,,,
Random Search,20260608,4,rs_r04_001_tl37_dt127_ge16_qr85_tau73,37,127,16,0.85,0.73,198.39,108.76,2092.66,723.93,0.00,PASS,,,,,,,
Random Search,20260608,5,rs_r05_001_tl89_dt49_ge37_qr94_tau73,89,49,37,0.94,0.73,60.00,125.77,725.77,723.93,0.00,PASS,,,,,,,
CMA-ES,20260607,1,cma_r01_001_tl36_dt122_ge25_qr58_tau72,36,122,25,0.58,0.72,146.49,111.44,1576.34,1576.34,0.00,PASS,,,,,,,
CMA-ES,20260607,2,cma_r02_001_tl77_dt147_ge50_qr82_tau77,77,147,50,0.82,0.77,60.00,127.12,727.12,727.12,0.00,PASS,,,,,,,
CMA-ES,20260607,3,cma_r03_001_tl81_dt39_ge0_qr31_tau80,81,39,0,0.31,0.8,60.00,109.72,709.72,709.72,0.00,PASS,,,,,,,
CMA-ES,20260607,4,cma_r04_001_tl34_dt169_ge16_qr99_tau79,34,169,16,0.99,0.79,218.33,106.75,2290.05,709.72,0.00,PASS,,,,,,,
CMA-ES,20260607,5,cma_r05_001_tl19_dt62_ge27_qr92_tau79,19,62,27,0.92,0.79,250.60,107.66,2613.66,709.72,0.00,PASS,,,,,,,
CMA-ES,20260608,1,cma_r01_001_tl77_dt88_ge4_qr56_tau77,77,88,4,0.56,0.77,60.00,110.12,710.12,710.12,0.00,PASS,,,,,,,
CMA-ES,20260608,2,cma_r02_001_tl55_dt156_ge31_qr48_tau77,55,156,31,0.48,0.77,60.00,115.45,715.45,710.12,0.00,PASS,,,,,,,
CMA-ES,20260608,3,cma_r03_001_tl2_dt99_ge50_qr43_tau70,2,99,50,0.43,0.7,225.98,115.01,2374.81,710.12,0.00,PASS,,,,,,,
CMA-ES,20260608,4,cma_r04_001_tl14_dt179_ge17_qr51_tau85,14,179,17,0.51,0.85,290.78,102.92,3010.72,710.12,0.00,PASS,,,,,,,
CMA-ES,20260608,5,cma_r05_001_tl51_dt99_ge26_qr64_tau72,51,99,26,0.64,0.72,65.96,114.86,774.46,710.12,0.00,PASS,,,,,,,
BO,20260607,1,bo_init_001_tl50_dt163_ge31_qr82_tau90,50,163,31,0.82,0.9,67.67,114.71,791.41,791.41,0.00,PASS,,,,,0.00,-27.63102112,warmup
BO,20260607,2,bo_init_001_tl29_dt79_ge10_qr71_tau82,29,79,10,0.71,0.82,249.43,103.60,2597.90,791.41,0.00,PASS,,,,,73.83,-18.05117615,warmup
BO,20260607,3,bo_r03_001_tl0_dt89_ge29_qr9_tau71,0,89,29,0.09,0.71,313.90,110.81,3249.81,791.41,0.00,PASS,1694.65,-75.71,3465.02,73.83,40.13,-11.52818002,warmup
BO,20260607,4,bo_r04_001_tl55_dt157_ge36_qr82_tau85,55,157,36,0.82,0.85,60.00,117.04,717.04,717.04,0.00,PASS,2212.82,174.66,4250.98,40.11,221.16,-6.45006621,warmup
BO,20260607,5,bo_r05_001_tl94_dt171_ge36_qr89_tau90,94,171,36,0.89,0.9,60.00,124.36,724.36,717.04,0.00,PASS,846.37,-578.46,2271.20,225.19,230.60,-2.88284554,warmup
BO,20260608,1,bo_init_001_tl13_dt181_ge28_qr98_tau90,13,181,28,0.98,0.9,295.19,107.00,3058.90,3058.90,0.00,PASS,,,,,0.00,-27.63102112,warmup
BO,20260608,2,bo_init_001_tl72_dt63_ge17_qr93_tau87,72,63,17,0.93,0.87,60.00,113.40,713.40,713.40,0.00,PASS,,,,,114.54,-17.91944083,warmup
BO,20260608,3,bo_r03_001_tl67_dt57_ge13_qr89_tau77,67,57,13,0.89,0.77,60.00,112.14,712.14,712.14,0.00,PASS,1768.36,-518.61,4055.33,114.17,249.57,-10.88768708,warmup
BO,20260608,4,bo_r04_001_tl97_dt6_ge16_qr75_tau81,97,6,16,0.75,0.81,60.00,117.64,717.64,712.14,0.00,PASS,804.79,-785.53,2395.11,274.48,228.64,-5.99173110,warmup
BO,20260608,5,bo_r05_001_tl97_dt110_ge1_qr98_tau84,97,110,1,0.98,0.84,60.00,112.46,712.46,712.14,0.00,PASS,881.06,-555.71,2317.83,211.59,183.89,-2.62991416,warmup
