method,seed,round,parameter_id,t_lead,delta_T_thr,G_ext,Q_ratio,tau,observed_score,best_so_far,surrogate_mean,surrogate_ci_low,surrogate_ci_high,acquisition,essi_max,essi_log_max_ewma,essi_spc_status
BO,20260607,1,bo_init_001_tl50_dt163_ge31_qr82_tau90,50,163,31,0.82,0.9,791.41,791.41,,,,,0.00,-27.63102112,warmup
BO,20260607,2,bo_init_001_tl29_dt79_ge10_qr71_tau82,29,79,10,0.71,0.82,2597.90,791.41,,,,,73.83,-18.05117615,warmup
BO,20260607,3,bo_r03_001_tl0_dt89_ge29_qr9_tau71,0,89,29,0.09,0.71,3249.81,791.41,1694.65,-75.71,3465.02,73.83,40.13,-11.52818002,warmup
BO,20260607,4,bo_r04_001_tl55_dt157_ge36_qr82_tau85,55,157,36,0.82,0.85,717.04,717.04,2212.82,174.66,4250.98,40.11,221.16,-6.45006621,warmup
BO,20260607,5,bo_r05_001_tl94_dt171_ge36_qr89_tau90,94,171,36,0.89,0.9,724.36,717.04,846.37,-578.46,2271.20,225.19,230.60,-2.88284554,warmup
BO,20260608,1,bo_init_001_tl13_dt181_ge28_qr98_tau90,13,181,28,0.98,0.9,3058.90,3058.90,,,,,0.00,-27.63102112,warmup
BO,20260608,2,bo_init_001_tl72_dt63_ge17_qr93_tau87,72,63,17,0.93,0.87,713.40,713.40,,,,,114.54,-17.91944083,warmup
BO,20260608,3,bo_r03_001_tl67_dt57_ge13_qr89_tau77,67,57,13,0.89,0.77,712.14,712.14,1768.36,-518.61,4055.33,114.17,249.57,-10.88768708,warmup
BO,20260608,4,bo_r04_001_tl97_dt6_ge16_qr75_tau81,97,6,16,0.75,0.81,717.64,712.14,804.79,-785.53,2395.11,274.48,228.64,-5.99173110,warmup
BO,20260608,5,bo_r05_001_tl97_dt110_ge1_qr98_tau84,97,110,1,0.98,0.84,712.46,712.14,881.06,-555.71,2317.83,211.59,183.89,-2.62991416,warmup
