row_type,slice_parameter,slice_value,parameter_id,t_lead,delta_T_thr,G_ext,Q_ratio,tau,observed_score,gp_mean,gp_ci_low,gp_ci_high,is_best_observed,note
gp_slice,t_lead,0.00,gp_slice_t_lead_001,0,212,40,0.62,0.9,,117.28,-36.92,271.49,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,1.00,gp_slice_t_lead_002,1,212,40,0.62,0.9,,116.24,-37.08,269.56,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,1.00,gp_slice_t_lead_003,1,212,40,0.62,0.9,,116.24,-37.08,269.56,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,2.00,gp_slice_t_lead_004,2,212,40,0.62,0.9,,115.17,-37.21,267.56,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,3.00,gp_slice_t_lead_005,3,212,40,0.62,0.9,,114.09,-37.31,265.48,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,4.00,gp_slice_t_lead_006,4,212,40,0.62,0.9,,112.98,-37.37,263.32,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,4.00,gp_slice_t_lead_007,4,212,40,0.62,0.9,,112.98,-37.37,263.32,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,5.00,gp_slice_t_lead_008,5,212,40,0.62,0.9,,111.85,-37.39,261.09,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,6.00,gp_slice_t_lead_009,6,212,40,0.62,0.9,,110.70,-37.36,258.77,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,6.00,gp_slice_t_lead_010,6,212,40,0.62,0.9,,110.70,-37.36,258.77,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,7.00,gp_slice_t_lead_011,7,212,40,0.62,0.9,,109.53,-37.30,256.37,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,8.00,gp_slice_t_lead_012,8,212,40,0.62,0.9,,108.35,-37.18,253.88,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,8.00,gp_slice_t_lead_013,8,212,40,0.62,0.9,,108.35,-37.18,253.88,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,9.00,gp_slice_t_lead_014,9,212,40,0.62,0.9,,107.14,-37.01,251.30,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,10.00,gp_slice_t_lead_015,10,212,40,0.62,0.9,,105.92,-36.79,248.63,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,11.00,gp_slice_t_lead_016,11,212,40,0.62,0.9,,104.68,-36.51,245.87,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,11.00,gp_slice_t_lead_017,11,212,40,0.62,0.9,,104.68,-36.51,245.87,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,12.00,gp_slice_t_lead_018,12,212,40,0.62,0.9,,103.42,-36.16,243.01,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,13.00,gp_slice_t_lead_019,13,212,40,0.62,0.9,,102.15,-35.74,240.05,False,GP estimate only; objective was not re-evaluated on this slice.
