input_method,input_seed,input_round,input_parameter_id,input_t_lead,input_delta_T_thr,input_G_ext,input_Q_ratio,input_tau,output_D_E_sec,output_D_G_sec,weight_E,weight_G,weight_ratio,score,measured_T_free_EMV_sec,measured_T_actual_EMV_sec,measured_D_E_sec,measured_D_G_sec,measured_general_mean_travel_time_sec,stage2_on_count,stage3_on_count
BO,20260607,1,bo_r01_001_tl50_dt212_ge40_qr62_tau90,50,212,40,0.62,0.9,362.92,138.42,0.91,0.09,10:1,342.51,,,362.92,138.42,,0,40
BO,20260607,1,bo_r01_002_tl80_dt143_ge18_qr17_tau79,80,143,18,0.17,0.79,384.92,156.07,0.91,0.09,10:1,364.12,,,384.92,156.07,,1,61
BO,20260607,1,bo_r01_003_tl56_dt74_ge28_qr32_tau74,56,74,28,0.32,0.74,184.92,110.96,0.91,0.09,10:1,178.20,,,184.92,110.96,,0,32
BO,20260607,1,bo_r01_004_tl117_dt156_ge35_qr21_tau70,117,156,35,0.21,0.7,190.92,119.75,0.91,0.09,10:1,184.45,,,190.92,119.75,,1,31
BO,20260607,1,bo_r01_005_tl43_dt211_ge31_qr66_tau75,43,211,31,0.66,0.75,325.92,128.74,0.91,0.09,10:1,307.99,,,325.92,128.74,,0,41
BO,20260607,1,bo_r01_006_tl77_dt210_ge17_qr42_tau85,77,210,17,0.42,0.85,285.92,131.67,0.91,0.09,10:1,271.90,,,285.92,131.67,,0,51
BO,20260607,2,bo_r02_001_tl120_dt59_ge19_qr20_tau87,120,59,19,0.2,0.87,195.92,112.22,0.91,0.09,10:1,188.31,,,195.92,112.22,,1,41
BO,20260607,2,bo_r02_002_tl49_dt122_ge12_qr53_tau77,49,122,12,0.53,0.77,301.92,153.69,0.91,0.09,10:1,288.44,,,301.92,153.69,,0,65
BO,20260607,2,bo_r02_003_tl88_dt70_ge3_qr0_tau77,88,70,3,0.0,0.77,327.92,137.69,0.91,0.09,10:1,310.63,,,327.92,137.69,,1,92
BO,20260607,2,bo_r02_004_tl73_dt1_ge22_qr10_tau87,73,1,22,0.1,0.87,262.92,167.55,0.91,0.09,10:1,254.25,,,262.92,167.55,,1,18
BO,20260607,2,bo_r02_005_tl12_dt151_ge30_qr53_tau80,12,151,30,0.53,0.8,144.92,104.45,0.91,0.09,10:1,141.24,,,144.92,104.45,,0,27
BO,20260607,2,bo_r02_006_tl121_dt65_ge11_qr46_tau73,121,65,11,0.46,0.73,288.92,143.41,0.91,0.09,10:1,275.69,,,288.92,143.41,,0,63
BO,20260607,3,bo_r03_001_tl22_dt31_ge1_qr54_tau72,22,31,1,0.54,0.72,192.92,131.51,0.91,0.09,10:1,187.34,,,192.92,131.51,,0,59
BO,20260607,3,bo_r03_002_tl55_dt52_ge38_qr75_tau71,55,52,38,0.75,0.71,165.92,105.67,0.91,0.09,10:1,160.44,,,165.92,105.67,,0,27
BO,20260607,3,bo_r03_003_tl117_dt3_ge19_qr98_tau78,117,3,19,0.98,0.78,262.92,134.33,0.91,0.09,10:1,251.23,,,262.92,134.33,,0,18
BO,20260607,3,bo_r03_004_tl95_dt181_ge20_qr27_tau74,95,181,20,0.27,0.74,290.92,131.64,0.91,0.09,10:1,276.44,,,290.92,131.64,,1,52
BO,20260607,3,bo_r03_005_tl26_dt127_ge1_qr65_tau72,26,127,1,0.65,0.72,249.92,143.15,0.91,0.09,10:1,240.21,,,249.92,143.15,,0,91
BO,20260607,3,bo_r03_006_tl55_dt176_ge38_qr40_tau85,55,176,38,0.4,0.85,264.92,123.07,0.91,0.09,10:1,252.02,,,264.92,123.07,,0,31
BO,20260607,4,bo_r04_001_tl3_dt71_ge44_qr30_tau88,3,71,44,0.3,0.88,113.92,105.91,0.91,0.09,10:1,113.19,,,113.92,105.91,,1,22
BO,20260607,4,bo_r04_002_tl31_dt28_ge30_qr19_tau81,31,28,30,0.19,0.81,90.92,120.69,0.91,0.09,10:1,93.63,,,90.92,120.69,,1,19
BO,20260607,4,bo_r04_003_tl68_dt239_ge1_qr84_tau82,68,239,1,0.84,0.82,325.92,144.70,0.91,0.09,10:1,309.45,,,325.92,144.70,,0,107
BO,20260607,4,bo_r04_004_tl67_dt190_ge15_qr77_tau75,67,190,15,0.77,0.75,519.92,148.23,0.91,0.09,10:1,486.13,,,519.92,148.23,,0,80
BO,20260607,4,bo_r04_005_tl11_dt176_ge20_qr90_tau78,11,176,20,0.9,0.78,308.92,125.56,0.91,0.09,10:1,292.25,,,308.92,125.56,,0,48
BO,20260607,4,bo_r04_006_tl56_dt15_ge36_qr99_tau75,56,15,36,0.99,0.75,144.92,106.02,0.91,0.09,10:1,141.38,,,144.92,106.02,,0,18
BO,20260607,5,bo_r05_001_tl50_dt39_ge28_qr38_tau70,50,39,28,0.38,0.7,137.92,101.24,0.91,0.09,10:1,134.59,,,137.92,101.24,,0,28
BO,20260607,5,bo_r05_002_tl114_dt119_ge42_qr19_tau76,114,119,42,0.19,0.76,270.92,124.72,0.91,0.09,10:1,257.63,,,270.92,124.72,,1,32
BO,20260607,5,bo_r05_003_tl30_dt173_ge9_qr30_tau90,30,173,9,0.3,0.9,333.92,147.40,0.91,0.09,10:1,316.96,,,333.92,147.40,,1,71
BO,20260607,5,bo_r05_004_tl67_dt40_ge43_qr75_tau74,67,40,43,0.75,0.74,108.92,114.75,0.91,0.09,10:1,109.45,,,108.92,114.75,,0,19
BO,20260607,5,bo_r05_005_tl20_dt219_ge38_qr92_tau78,20,219,38,0.92,0.78,203.92,116.44,0.91,0.09,10:1,195.97,,,203.92,116.44,,0,29
BO,20260607,5,bo_r05_006_tl98_dt149_ge21_qr12_tau76,98,149,21,0.12,0.76,230.92,110.70,0.91,0.09,10:1,219.99,,,230.92,110.70,,1,46
BO,20260607,6,bo_r06_001_tl119_dt74_ge7_qr7_tau70,119,74,7,0.07,0.7,364.92,128.57,0.91,0.09,10:1,343.43,,,364.92,128.57,,1,86
BO,20260607,6,bo_r06_002_tl8_dt204_ge36_qr80_tau76,8,204,36,0.8,0.76,258.92,138.18,0.91,0.09,10:1,247.94,,,258.92,138.18,,0,35
BO,20260607,6,bo_r06_003_tl28_dt22_ge33_qr35_tau76,28,22,33,0.35,0.76,145.92,105.85,0.91,0.09,10:1,142.28,,,145.92,105.85,,0,18
BO,20260607,6,bo_r06_004_tl86_dt232_ge20_qr22_tau70,86,232,20,0.22,0.7,290.92,131.64,0.91,0.09,10:1,276.44,,,290.92,131.64,,1,52
BO,20260607,6,bo_r06_005_tl82_dt60_ge33_qr40_tau89,82,60,33,0.4,0.89,245.92,105.67,0.91,0.09,10:1,233.17,,,245.92,105.67,,0,33
BO,20260607,6,bo_r06_006_tl81_dt122_ge8_qr4_tau70,81,122,8,0.04,0.7,406.92,145.14,0.91,0.09,10:1,383.12,,,406.92,145.14,,1,88
BO,20260607,7,bo_r07_001_tl58_dt81_ge42_qr4_tau82,58,81,42,0.04,0.82,198.92,107.13,0.91,0.09,10:1,190.58,,,198.92,107.13,,1,28
BO,20260607,7,bo_r07_002_tl12_dt115_ge48_qr61_tau70,12,115,48,0.61,0.7,283.92,129.85,0.91,0.09,10:1,269.91,,,283.92,129.85,,0,30
BO,20260607,7,bo_r07_003_tl73_dt176_ge11_qr55_tau84,73,176,11,0.55,0.84,320.92,130.30,0.91,0.09,10:1,303.59,,,320.92,130.30,,0,67
BO,20260607,7,bo_r07_004_tl26_dt15_ge37_qr40_tau84,26,15,37,0.4,0.84,145.92,106.02,0.91,0.09,10:1,142.29,,,145.92,106.02,,0,17
BO,20260607,7,bo_r07_005_tl106_dt115_ge29_qr23_tau87,106,115,29,0.23,0.87,224.92,132.96,0.91,0.09,10:1,216.56,,,224.92,132.96,,1,34
BO,20260607,7,bo_r07_006_tl34_dt110_ge15_qr88_tau86,34,110,15,0.88,0.86,303.92,135.23,0.91,0.09,10:1,288.58,,,303.92,135.23,,0,58
BO,20260607,8,bo_r08_001_tl103_dt74_ge32_qr38_tau71,103,74,32,0.38,0.71,242.92,121.61,0.91,0.09,10:1,231.89,,,242.92,121.61,,0,36
BO,20260607,8,bo_r08_002_tl12_dt66_ge2_qr31_tau79,12,66,2,0.31,0.79,295.92,134.81,0.91,0.09,10:1,281.27,,,295.92,134.81,,0,84
BO,20260607,8,bo_r08_003_tl52_dt209_ge43_qr9_tau88,52,209,43,0.09,0.88,209.92,109.06,0.91,0.09,10:1,200.75,,,209.92,109.06,,1,29
BO,20260607,8,bo_r08_004_tl53_dt156_ge33_qr38_tau86,53,156,33,0.38,0.86,363.92,139.75,0.91,0.09,10:1,343.54,,,363.92,139.75,,0,42
BO,20260607,8,bo_r08_005_tl23_dt153_ge44_qr17_tau73,23,153,44,0.17,0.73,159.92,111.39,0.91,0.09,10:1,155.51,,,159.92,111.39,,1,28
BO,20260607,8,bo_r08_006_tl17_dt76_ge27_qr36_tau87,17,76,27,0.36,0.87,159.92,116.59,0.91,0.09,10:1,155.98,,,159.92,116.59,,0,33
BO,20260607,9,bo_r09_001_tl106_dt21_ge32_qr45_tau74,106,21,32,0.45,0.74,144.92,103.21,0.91,0.09,10:1,141.13,,,144.92,103.21,,0,19
