row_type,slice_parameter,slice_value,parameter_id,t_lead,delta_T_thr,G_ext,Q_ratio,tau,observed_score,gp_mean,gp_ci_low,gp_ci_high,is_best_observed,note
gp_slice,t_lead,0.00,gp_slice_t_lead_001,0,28,30,0.19,0.81,,219.17,28.86,409.47,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,1.00,gp_slice_t_lead_002,1,28,30,0.19,0.81,,219.17,28.86,409.47,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,2.00,gp_slice_t_lead_003,2,28,30,0.19,0.81,,219.17,28.86,409.47,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,2.00,gp_slice_t_lead_004,2,28,30,0.19,0.81,,219.17,28.86,409.47,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,3.00,gp_slice_t_lead_005,3,28,30,0.19,0.81,,219.17,28.86,409.47,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,4.00,gp_slice_t_lead_006,4,28,30,0.19,0.81,,219.17,28.86,409.47,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,5.00,gp_slice_t_lead_007,5,28,30,0.19,0.81,,219.17,28.86,409.47,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,5.00,gp_slice_t_lead_008,5,28,30,0.19,0.81,,219.17,28.86,409.47,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,6.00,gp_slice_t_lead_009,6,28,30,0.19,0.81,,219.17,28.86,409.47,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,7.00,gp_slice_t_lead_010,7,28,30,0.19,0.81,,219.17,28.86,409.47,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,8.00,gp_slice_t_lead_011,8,28,30,0.19,0.81,,219.17,28.86,409.47,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,8.00,gp_slice_t_lead_012,8,28,30,0.19,0.81,,219.17,28.86,409.47,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,9.00,gp_slice_t_lead_013,9,28,30,0.19,0.81,,219.17,28.86,409.47,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,10.00,gp_slice_t_lead_014,10,28,30,0.19,0.81,,219.17,28.86,409.47,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,11.00,gp_slice_t_lead_015,11,28,30,0.19,0.81,,219.17,28.86,409.47,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,12.00,gp_slice_t_lead_016,12,28,30,0.19,0.81,,219.17,28.86,409.47,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,12.00,gp_slice_t_lead_017,12,28,30,0.19,0.81,,219.17,28.86,409.47,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,13.00,gp_slice_t_lead_018,13,28,30,0.19,0.81,,219.17,28.86,409.47,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,14.00,gp_slice_t_lead_019,14,28,30,0.19,0.81,,219.17,28.86,409.47,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,15.00,gp_slice_t_lead_020,15,28,30,0.19,0.81,,219.17,28.86,409.47,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,15.00,gp_slice_t_lead_021,15,28,30,0.19,0.81,,219.17,28.86,409.47,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,16.00,gp_slice_t_lead_022,16,28,30,0.19,0.81,,219.17,28.86,409.47,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,17.00,gp_slice_t_lead_023,17,28,30,0.19,0.81,,219.17,28.86,409.47,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,18.00,gp_slice_t_lead_024,18,28,30,0.19,0.81,,219.17,28.86,409.47,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,18.00,gp_slice_t_lead_025,18,28,30,0.19,0.81,,219.17,28.86,409.47,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,19.00,gp_slice_t_lead_026,19,28,30,0.19,0.81,,219.17,28.86,409.47,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,20.00,gp_slice_t_lead_027,20,28,30,0.19,0.81,,219.17,28.86,409.47,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,21.00,gp_slice_t_lead_028,21,28,30,0.19,0.81,,219.17,28.86,409.47,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,21.00,gp_slice_t_lead_029,21,28,30,0.19,0.81,,219.17,28.86,409.47,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,22.00,gp_slice_t_lead_030,22,28,30,0.19,0.81,,219.17,28.86,409.47,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,23.00,gp_slice_t_lead_031,23,28,30,0.19,0.81,,219.17,28.86,409.47,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,24.00,gp_slice_t_lead_032,24,28,30,0.19,0.81,,219.17,28.86,409.47,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,25.00,gp_slice_t_lead_033,25,28,30,0.19,0.81,,219.17,28.86,409.47,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,25.00,gp_slice_t_lead_034,25,28,30,0.19,0.81,,219.17,28.86,409.47,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,26.00,gp_slice_t_lead_035,26,28,30,0.19,0.81,,219.17,28.86,409.47,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,27.00,gp_slice_t_lead_036,27,28,30,0.19,0.81,,219.17,28.86,409.47,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,28.00,gp_slice_t_lead_037,28,28,30,0.19,0.81,,219.17,28.86,409.47,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,28.00,gp_slice_t_lead_038,28,28,30,0.19,0.81,,219.17,28.86,409.47,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,29.00,gp_slice_t_lead_039,29,28,30,0.19,0.81,,219.17,28.86,409.47,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,30.00,gp_slice_t_lead_040,30,28,30,0.19,0.81,,219.17,28.86,409.47,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,31.00,gp_slice_t_lead_041,31,28,30,0.19,0.81,,93.63,93.36,93.90,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,31.00,gp_slice_t_lead_042,31,28,30,0.19,0.81,,93.63,93.36,93.90,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,32.00,gp_slice_t_lead_043,32,28,30,0.19,0.81,,219.17,28.86,409.47,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,33.00,gp_slice_t_lead_044,33,28,30,0.19,0.81,,219.17,28.86,409.47,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,34.00,gp_slice_t_lead_045,34,28,30,0.19,0.81,,219.17,28.86,409.47,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,35.00,gp_slice_t_lead_046,35,28,30,0.19,0.81,,219.17,28.86,409.47,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,35.00,gp_slice_t_lead_047,35,28,30,0.19,0.81,,219.17,28.86,409.47,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,36.00,gp_slice_t_lead_048,36,28,30,0.19,0.81,,219.17,28.86,409.47,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,37.00,gp_slice_t_lead_049,37,28,30,0.19,0.81,,219.17,28.86,409.47,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,38.00,gp_slice_t_lead_050,38,28,30,0.19,0.81,,219.17,28.86,409.47,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,38.00,gp_slice_t_lead_051,38,28,30,0.19,0.81,,219.17,28.86,409.47,False,GP estimate only; objective was not re-evaluated on this slice.
