method,seed,round,round_theta_index,theta_per_round,parameter_id,t_lead,delta_T_thr,G_ext,Q_ratio,tau,D_E_sec,D_G_sec,score,best_so_far,penalty,final_status,failure_reason,termination_reason,emergency_arrived,emergency_teleport,background_teleported,signal_event_count,stage2_hold_count,stage3_preemption_count,surrogate_mean,surrogate_ci_low,surrogate_ci_high,raw_ei_acquisition,acquisition,bo_selection_strategy,bo_candidate_source,bo_plateau_mode,bo_batch_slot,hold_feasibility,essi_acquisition,essi_1,essi_2,essi_3,essi_4,essi_5,essi_6,essi_max,essi_mean,essi_log_max,dominant_essi_subspace,spatial_activation_score,raw_score,essi_log_max_ewma,essi_spc_status,essi_stop_recommended
BO,20260607,1,1,6,bo_r01_001_tl50_dt212_ge40_qr62_tau90,50,212,40,0.62,0.9,1038.92,301.52,971.88,971.88,0.00,PASS,,recovery_detected,True,False,0,523,1,76,,,,,,,,,,,,,,,,,,,,,,,971.88,,,
BO,20260607,1,2,6,bo_r01_002_tl80_dt143_ge18_qr17_tau79,80,143,18,0.17,0.79,0.00,477.14,1000043.38,971.88,1000000.00,FAIL,emergency_stuck,emergency_stuck,False,False,0,323,1,44,,,,,,,,,,,,,,,,,,,,,,,43.38,,,
BO,20260607,1,3,6,bo_r01_003_tl56_dt74_ge28_qr32_tau74,56,74,28,0.32,0.74,0.00,452.00,1000041.09,971.88,1000000.00,FAIL,emergency_stuck,emergency_stuck,False,False,0,413,1,44,,,,,,,,,,,,,,,,,,,,,,,41.09,,,
BO,20260607,1,4,6,bo_r01_004_tl78_dt142_ge10_qr0_tau80,78,142,10,0.0,0.8,711.92,293.36,673.87,673.87,0.00,PASS,,recovery_timeout,True,False,0,1038,1,118,,,,,,,,,,,,,,,,,,,,,,,673.87,,,
BO,20260607,1,5,6,bo_r01_005_tl105_dt126_ge33_qr23_tau89,105,126,33,0.23,0.89,0.00,447.04,1000040.64,673.87,1000000.00,FAIL,emergency_stuck,emergency_stuck,False,False,0,323,1,40,,,,,,,,,,,,,,,,,,,,,,,40.64,,,
BO,20260607,1,6,6,bo_r01_006_tl105_dt71_ge21_qr60_tau80,105,71,21,0.6,0.8,0.00,448.56,1000040.78,673.87,1000000.00,FAIL,emergency_stuck,emergency_stuck,False,False,0,696,1,50,,,,,,,,,,,,,,,,,,,,,,,40.78,,,
BO,20260607,2,1,6,bo_r02_001_tl78_dt143_ge10_qr3_tau79,78,143,10,0.03,0.79,711.92,293.36,673.87,673.87,0.00,PASS,,recovery_timeout,True,False,0,1039,1,118,65633.67,-232481.15,363748.48,13.08,38.46,incumbent_exploitation,local,False,stable,0.5978214520535404,21.71,7.35,4.67,5.89,4.21,21.71,7.49,21.71,8.55,3.07781510,5,0.560196,673.87,,,
BO,20260607,2,2,6,bo_r02_002_tl78_dt139_ge10_qr3_tau80,78,139,10,0.03,0.8,711.92,293.36,673.87,673.87,0.00,PASS,,recovery_timeout,True,False,0,1037,1,118,65637.24,-232497.43,363771.91,25.47,37.69,incumbent_exploitation,local,False,stable,0.5894965101356763,21.73,7.31,4.66,5.87,4.23,21.73,7.59,21.73,8.56,3.07888786,5,0.572356,673.87,,,
BO,20260607,2,3,6,bo_r02_003_tl78_dt154_ge9_qr0_tau80,78,154,9,0.0,0.8,836.92,308.55,788.89,673.87,0.00,PASS,,recovery_timeout,True,False,0,1230,1,140,4529.97,-162763.38,171823.32,80.20,37.60,ei,trust_region,False,local_constrained,0.47249881707373126,21.13,7.13,4.53,5.73,4.08,21.13,7.28,21.13,8.31,3.05064156,5,0.557554,788.89,,,
BO,20260607,2,4,6,bo_r02_004_tl73_dt139_ge9_qr0_tau80,73,139,9,0.0,0.8,600.92,306.83,574.18,574.18,0.00,PASS,,recovery_timeout,True,False,0,925,1,109,4460.90,-162382.42,171304.22,30.26,36.70,surrogate_mean_rank,local,False,local_constrained,0.5031163489593445,20.43,6.77,4.31,5.50,3.92,20.43,7.05,20.43,8.00,3.01719885,5,0.552420,574.18,,,
