input_method,input_seed,input_round,input_parameter_id,input_t_lead,input_delta_T_thr,input_G_ext,input_Q_ratio,input_tau,output_D_E_sec,output_D_G_sec,weight_E,weight_G,weight_ratio,score,measured_T_free_EMV_sec,measured_T_actual_EMV_sec,measured_D_E_sec,measured_D_G_sec,measured_general_mean_travel_time_sec,stage2_on_count,stage3_on_count
BO,20260607,1,bo_r01_001_tl50_dt212_ge40_qr62_tau90,50,212,40,0.62,0.9,60.00,117.41,0.91,0.09,10:1,65.22,218.00,278.00,60.00,117.41,181.74,,
BO,20260607,1,bo_r01_002_tl80_dt143_ge18_qr17_tau79,80,143,18,0.17,0.79,60.00,117.88,0.91,0.09,10:1,65.26,218.00,278.00,60.00,117.88,181.79,,
BO,20260607,1,bo_r01_003_tl56_dt74_ge28_qr32_tau74,56,74,28,0.32,0.74,60.00,116.14,0.91,0.09,10:1,65.10,218.00,278.00,60.00,116.14,181.61,,
BO,20260607,1,bo_r01_004_tl78_dt142_ge10_qr0_tau80,78,142,10,0.0,0.8,60.00,118.38,0.91,0.09,10:1,65.31,218.00,278.00,60.00,118.38,181.84,,
BO,20260607,1,bo_r01_005_tl105_dt126_ge33_qr23_tau89,105,126,33,0.23,0.89,60.00,126.14,0.91,0.09,10:1,66.01,218.00,278.00,60.00,126.14,182.61,,
BO,20260607,1,bo_r01_006_tl105_dt71_ge21_qr60_tau80,105,71,21,0.6,0.8,60.00,121.61,0.91,0.09,10:1,65.60,218.00,278.00,60.00,121.61,182.16,,
BO,20260607,2,bo_r02_001_tl56_dt73_ge28_qr32_tau74,56,73,28,0.32,0.74,60.00,115.51,0.91,0.09,10:1,65.05,218.00,278.00,60.00,115.51,181.55,,
BO,20260607,2,bo_r02_002_tl56_dt76_ge28_qr33_tau75,56,76,28,0.33,0.75,60.00,115.55,0.91,0.09,10:1,65.05,218.00,278.00,60.00,115.55,181.56,,
BO,20260607,2,bo_r02_003_tl56_dt82_ge28_qr28_tau74,56,82,28,0.28,0.74,60.00,116.50,0.91,0.09,10:1,65.14,218.00,278.00,60.00,116.50,181.65,,
BO,20260607,2,bo_r02_004_tl62_dt76_ge28_qr31_tau74,62,76,28,0.31,0.74,60.00,117.39,0.91,0.09,10:1,65.22,218.00,278.00,60.00,117.39,181.74,,
BO,20260607,2,bo_r02_005_tl48_dt98_ge28_qr35_tau79,48,98,28,0.35,0.79,60.00,113.66,0.91,0.09,10:1,64.88,218.00,278.00,60.00,113.66,181.37,,
BO,20260607,2,bo_r02_006_tl11_dt220_ge1_qr98_tau74,11,220,1,0.98,0.74,410.71,98.72,0.91,0.09,10:1,382.35,218.00,628.71,410.71,98.72,179.87,,
BO,20260607,3,bo_r03_001_tl47_dt96_ge27_qr34_tau79,47,96,27,0.34,0.79,60.00,112.66,0.91,0.09,10:1,64.79,218.00,278.00,60.00,112.66,181.27,,
