row_type,slice_parameter,slice_value,parameter_id,t_lead,delta_T_thr,G_ext,Q_ratio,tau,observed_score,gp_mean,gp_ci_low,gp_ci_high,is_best_observed,note
gp_slice,t_lead,0.00,gp_slice_t_lead_001,0,97,27,0.35,0.8,,242.42,156.24,328.61,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,1.00,gp_slice_t_lead_002,1,97,27,0.35,0.8,,244.19,160.31,328.07,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,1.00,gp_slice_t_lead_003,1,97,27,0.35,0.8,,244.19,160.31,328.07,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,2.00,gp_slice_t_lead_004,2,97,27,0.35,0.8,,245.73,164.20,327.26,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,3.00,gp_slice_t_lead_005,3,97,27,0.35,0.8,,247.02,167.88,326.17,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,4.00,gp_slice_t_lead_006,4,97,27,0.35,0.8,,248.06,171.34,324.79,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,4.00,gp_slice_t_lead_007,4,97,27,0.35,0.8,,248.06,171.34,324.79,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,5.00,gp_slice_t_lead_008,5,97,27,0.35,0.8,,248.83,174.55,323.11,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,6.00,gp_slice_t_lead_009,6,97,27,0.35,0.8,,249.31,177.48,321.14,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,6.00,gp_slice_t_lead_010,6,97,27,0.35,0.8,,249.31,177.48,321.14,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,7.00,gp_slice_t_lead_011,7,97,27,0.35,0.8,,249.49,180.13,318.86,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,8.00,gp_slice_t_lead_012,8,97,27,0.35,0.8,,249.37,182.45,316.29,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,8.00,gp_slice_t_lead_013,8,97,27,0.35,0.8,,249.37,182.45,316.29,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,9.00,gp_slice_t_lead_014,9,97,27,0.35,0.8,,248.93,184.43,313.43,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,10.00,gp_slice_t_lead_015,10,97,27,0.35,0.8,,248.16,186.04,310.27,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,11.00,gp_slice_t_lead_016,11,97,27,0.35,0.8,,247.06,187.28,306.83,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,11.00,gp_slice_t_lead_017,11,97,27,0.35,0.8,,247.06,187.28,306.83,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,12.00,gp_slice_t_lead_018,12,97,27,0.35,0.8,,245.61,188.11,303.11,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,13.00,gp_slice_t_lead_019,13,97,27,0.35,0.8,,243.82,188.52,299.12,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,13.00,gp_slice_t_lead_020,13,97,27,0.35,0.8,,243.82,188.52,299.12,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,14.00,gp_slice_t_lead_021,14,97,27,0.35,0.8,,241.69,188.51,294.88,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,15.00,gp_slice_t_lead_022,15,97,27,0.35,0.8,,239.21,188.05,290.37,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,15.00,gp_slice_t_lead_023,15,97,27,0.35,0.8,,239.21,188.05,290.37,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,16.00,gp_slice_t_lead_024,16,97,27,0.35,0.8,,236.38,187.14,285.62,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,17.00,gp_slice_t_lead_025,17,97,27,0.35,0.8,,233.21,185.79,280.63,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,18.00,gp_slice_t_lead_026,18,97,27,0.35,0.8,,229.70,184.01,275.39,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,18.00,gp_slice_t_lead_027,18,97,27,0.35,0.8,,229.70,184.01,275.39,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,19.00,gp_slice_t_lead_028,19,97,27,0.35,0.8,,225.85,181.79,269.92,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,20.00,gp_slice_t_lead_029,20,97,27,0.35,0.8,,221.68,179.16,264.19,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,20.00,gp_slice_t_lead_030,20,97,27,0.35,0.8,,221.68,179.16,264.19,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,21.00,gp_slice_t_lead_031,21,97,27,0.35,0.8,,217.18,176.15,258.22,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,22.00,gp_slice_t_lead_032,22,97,27,0.35,0.8,,212.38,172.77,251.98,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,23.00,gp_slice_t_lead_033,23,97,27,0.35,0.8,,207.27,169.07,245.46,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,23.00,gp_slice_t_lead_034,23,97,27,0.35,0.8,,207.27,169.07,245.46,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,24.00,gp_slice_t_lead_035,24,97,27,0.35,0.8,,201.87,165.08,238.66,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,25.00,gp_slice_t_lead_036,25,97,27,0.35,0.8,,196.20,160.84,231.57,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,25.00,gp_slice_t_lead_037,25,97,27,0.35,0.8,,196.20,160.84,231.57,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,26.00,gp_slice_t_lead_038,26,97,27,0.35,0.8,,190.27,156.37,224.17,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,27.00,gp_slice_t_lead_039,27,97,27,0.35,0.8,,184.09,151.73,216.46,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,27.00,gp_slice_t_lead_040,27,97,27,0.35,0.8,,184.09,151.73,216.46,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,28.00,gp_slice_t_lead_041,28,97,27,0.35,0.8,,177.69,146.93,208.45,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,29.00,gp_slice_t_lead_042,29,97,27,0.35,0.8,,171.07,142.00,200.14,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,30.00,gp_slice_t_lead_043,30,97,27,0.35,0.8,,164.27,136.99,191.56,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,30.00,gp_slice_t_lead_044,30,97,27,0.35,0.8,,164.27,136.99,191.56,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,31.00,gp_slice_t_lead_045,31,97,27,0.35,0.8,,157.31,131.90,182.72,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,32.00,gp_slice_t_lead_046,32,97,27,0.35,0.8,,150.21,126.76,173.67,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,32.00,gp_slice_t_lead_047,32,97,27,0.35,0.8,,150.21,126.76,173.67,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,33.00,gp_slice_t_lead_048,33,97,27,0.35,0.8,,143.01,121.58,164.45,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,34.00,gp_slice_t_lead_049,34,97,27,0.35,0.8,,135.75,116.38,155.13,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,35.00,gp_slice_t_lead_050,35,97,27,0.35,0.8,,128.48,111.17,145.78,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,35.00,gp_slice_t_lead_051,35,97,27,0.35,0.8,,128.48,111.17,145.78,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,36.00,gp_slice_t_lead_052,36,97,27,0.35,0.8,,121.23,105.97,136.49,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,37.00,gp_slice_t_lead_053,37,97,27,0.35,0.8,,114.08,100.81,127.34,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,37.00,gp_slice_t_lead_054,37,97,27,0.35,0.8,,114.08,100.81,127.34,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,38.00,gp_slice_t_lead_055,38,97,27,0.35,0.8,,107.08,95.71,118.46,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,39.00,gp_slice_t_lead_056,39,97,27,0.35,0.8,,100.33,90.70,109.95,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,39.00,gp_slice_t_lead_057,39,97,27,0.35,0.8,,100.33,90.70,109.95,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,40.00,gp_slice_t_lead_058,40,97,27,0.35,0.8,,93.89,85.85,101.93,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,41.00,gp_slice_t_lead_059,41,97,27,0.35,0.8,,87.87,81.23,94.50,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,42.00,gp_slice_t_lead_060,42,97,27,0.35,0.8,,82.35,76.94,87.76,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,42.00,gp_slice_t_lead_061,42,97,27,0.35,0.8,,82.35,76.94,87.76,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,43.00,gp_slice_t_lead_062,43,97,27,0.35,0.8,,77.44,73.10,81.78,False,GP estimate only; objective was not re-evaluated on this slice.
gp_slice,t_lead,44.00,gp_slice_t_lead_063,44,97,27,0.35,0.8,,73.21,69.82,76.60,False,GP estimate only; objective was not re-evaluated on this slice.
