method,seed,round,round_theta_index,theta_per_round,parameter_id,t_lead,delta_T_thr,G_ext,Q_ratio,tau,observed_score,best_so_far,surrogate_mean,surrogate_ci_low,surrogate_ci_high,raw_ei_acquisition,acquisition,bo_selection_strategy,bo_candidate_source,bo_plateau_mode,essi_acquisition,essi_1,essi_2,essi_3,essi_4,essi_5,essi_6,essi_max,essi_mean,essi_log_max,dominant_essi_subspace,spatial_activation_score
BO,20260607,1,1,6,bo_r01_001_tl50_dt212_ge40_qr62_tau90,50,212,40,0.62,0.9,65.22,65.22,,,,,,,,,,,,,,,,,,,,
BO,20260607,1,2,6,bo_r01_002_tl80_dt143_ge18_qr17_tau79,80,143,18,0.17,0.79,65.26,65.22,,,,,,,,,,,,,,,,,,,,
BO,20260607,1,3,6,bo_r01_003_tl56_dt74_ge28_qr32_tau74,56,74,28,0.32,0.74,65.10,65.10,,,,,,,,,,,,,,,,,,,,
BO,20260607,1,4,6,bo_r01_004_tl78_dt142_ge10_qr0_tau80,78,142,10,0.0,0.8,65.31,65.10,,,,,,,,,,,,,,,,,,,,
BO,20260607,1,5,6,bo_r01_005_tl105_dt126_ge33_qr23_tau89,105,126,33,0.23,0.89,66.01,65.10,,,,,,,,,,,,,,,,,,,,
BO,20260607,1,6,6,bo_r01_006_tl105_dt71_ge21_qr60_tau80,105,71,21,0.6,0.8,65.60,65.10,,,,,,,,,,,,,,,,,,,,
BO,20260607,2,1,6,bo_r02_001_tl56_dt73_ge28_qr32_tau74,56,73,28,0.32,0.74,65.05,65.05,65.10,65.09,65.11,0.00,77.26,incumbent_exploitation,stable_success,False,47.59,14.84,9.66,12.35,9.21,47.59,17.51,47.59,18.53,3.86268799,5,0.611867
BO,20260607,2,2,6,bo_r02_002_tl56_dt76_ge28_qr33_tau75,56,76,28,0.33,0.75,65.05,65.05,65.10,65.03,65.17,0.00,71.38,incumbent_exploitation,stable_success,False,44.87,13.89,9.08,11.59,8.71,44.87,16.67,44.87,17.47,3.80369603,5,0.624396
BO,20260607,2,3,6,bo_r02_003_tl56_dt82_ge28_qr28_tau74,56,82,28,0.28,0.74,65.14,65.05,65.10,65.08,65.12,0.01,55.05,incumbent_exploitation,trust_region,False,33.24,10.41,6.76,8.67,6.41,33.24,12.11,33.24,12.93,3.50380376,5,0.599655
BO,20260607,2,4,6,bo_r02_004_tl62_dt76_ge28_qr31_tau74,62,76,28,0.31,0.74,65.22,65.05,65.09,64.98,65.19,0.00,54.41,incumbent_exploitation,local,False,33.96,10.86,7.04,8.89,6.64,33.96,12.47,33.96,13.31,3.52509051,5,0.619980
