method,seed,round,round_theta_index,theta_per_round,parameter_id,t_lead,delta_T_thr,G_ext,Q_ratio,tau,delay_A,delay_N,score,best_so_far,penalty,final_status,failure_reason,termination_reason,emergency_arrived,emergency_teleport,background_teleported,signal_event_count,stage2_hold_count,stage3_preemption_count,surrogate_mean,surrogate_ci_low,surrogate_ci_high,acquisition,essi_acquisition,essi_1,essi_2,essi_3,essi_4,essi_5,essi_6,essi_max,essi_mean,essi_log_max,dominant_essi_subspace,spatial_activation_score,raw_score,essi_log_max_ewma,essi_spc_status,essi_stop_recommended
BO,20260607,1,1,6,bo_r01_001_tl50_dt212_ge40_qr62_tau90,50,212,40,0.62,0.9,0.00,0.00,1000000.00,1000000.00,1000000.00,FAIL,recovery_detected,recovery_detected,False,False,0,145,0,27,,,,,,,,,,,,,,,,,0.00,,,
BO,20260607,1,2,6,bo_r01_002_tl80_dt143_ge18_qr17_tau79,80,143,18,0.17,0.79,217.92,79.05,205.30,205.30,0.00,PASS,,recovery_detected,True,False,0,224,0,44,,,,,,,,,,,,,,,,,205.30,,,
BO,20260607,1,3,6,bo_r01_003_tl56_dt74_ge28_qr32_tau74,56,74,28,0.32,0.74,0.00,0.00,1000000.00,205.30,1000000.00,FAIL,recovery_detected,recovery_detected,False,False,0,194,0,33,,,,,,,,,,,,,,,,,0.00,,,
BO,20260607,1,4,6,bo_r01_004_tl117_dt156_ge35_qr21_tau70,117,156,35,0.21,0.7,0.00,0.00,1000000.00,205.30,1000000.00,FAIL,recovery_detected,recovery_detected,False,False,0,140,0,30,,,,,,,,,,,,,,,,,0.00,,,
BO,20260607,1,5,6,bo_r01_005_tl43_dt211_ge31_qr66_tau75,43,211,31,0.66,0.75,202.92,80.70,1000191.81,205.30,1000000.00,FAIL,hard_max_sim_time,hard_max_sim_time,True,False,0,176,0,33,,,,,,,,,,,,,,,,,191.81,,,
BO,20260607,1,6,6,bo_r01_006_tl77_dt210_ge17_qr42_tau85,77,210,17,0.42,0.85,0.00,0.00,1000000.00,205.30,1000000.00,FAIL,hard_max_sim_time,hard_max_sim_time,False,False,0,263,0,44,,,,,,,,,,,,,,,,,0.00,,,
BO,20260607,2,1,6,bo_r02_001_tl120_dt59_ge19_qr20_tau87,120,59,19,0.2,0.87,0.00,0.00,1000000.00,205.30,1000000.00,FAIL,recovery_detected,recovery_detected,False,False,0,323,1,37,833399.52,103072.21,1563726.83,,,,,,,,,,,,,,0.00,,,
BO,20260607,2,2,6,bo_r02_002_tl49_dt122_ge12_qr53_tau77,49,122,12,0.53,0.77,0.00,0.00,1000000.00,205.30,1000000.00,FAIL,recovery_detected,recovery_detected,False,False,0,247,1,48,833399.52,103072.21,1563726.83,,,,,,,,,,,,,,0.00,,,
BO,20260607,2,3,6,bo_r02_003_tl88_dt70_ge3_qr0_tau77,88,70,3,0.0,0.77,193.92,88.36,184.32,184.32,0.00,PASS,,recovery_detected,True,False,0,477,1,54,833399.52,103072.21,1563726.83,,,,,,,,,,,,,,184.32,,,
BO,20260607,2,4,6,bo_r02_004_tl73_dt1_ge22_qr10_tau87,73,1,22,0.1,0.87,0.00,0.00,1000000.00,184.32,1000000.00,FAIL,recovery_detected,recovery_detected,False,False,0,885,1,16,833399.52,103072.21,1563726.83,,,,,,,,,,,,,,0.00,,,
