input_method,input_seed,input_round,input_parameter_id,input_t_lead,input_delta_T_thr,input_G_ext,input_Q_ratio,input_tau,output_delay_A_sec,output_delay_N_sec,weight_A,weight_N,weight_ratio,score,measured_T_free_EMV_sec,measured_T_actual_EMV_sec,measured_d_EMV_sec,measured_d_veh_sec,measured_general_mean_travel_time_sec,stage2_on_count,stage3_on_count
Random Search,20260607,1,rs_r01_001_tl48_dt220_ge9_qr22_tau77,48,220,9,0.22,0.77,288.92,87.55,10.00,1.00,10:1,270.61,,,288.92,87.55,,1,69
Random Search,20260607,1,rs_r01_002_tl30_dt8_ge26_qr51_tau79,30,8,26,0.51,0.79,170.92,83.30,10.00,1.00,10:1,162.95,,,170.92,83.30,,0,19
Random Search,20260607,1,rs_r01_003_tl91_dt34_ge11_qr77_tau83,91,34,11,0.77,0.83,113.92,73.61,10.00,1.00,10:1,110.26,,,113.92,73.61,,0,37
Random Search,20260607,1,rs_r01_004_tl118_dt71_ge29_qr60_tau90,118,71,29,0.6,0.9,179.92,78.88,10.00,1.00,10:1,170.73,,,179.92,78.88,,0,31
Random Search,20260607,1,rs_r01_005_tl107_dt138_ge6_qr99_tau73,107,138,6,0.99,0.73,381.92,99.74,10.00,1.00,10:1,356.27,,,381.92,99.74,,0,91
Random Search,20260607,1,rs_r01_006_tl84_dt237_ge7_qr73_tau88,84,237,7,0.73,0.88,377.92,92.01,10.00,1.00,10:1,351.93,,,377.92,92.01,,0,87
Random Search,20260607,2,rs_r02_001_tl88_dt16_ge37_qr2_tau84,88,16,37,0.02,0.84,138.92,83.54,10.00,1.00,10:1,133.89,,,138.92,83.54,,1,18
Random Search,20260607,2,rs_r02_002_tl46_dt60_ge6_qr74_tau88,46,60,6,0.74,0.88,234.92,97.77,10.00,1.00,10:1,222.45,,,234.92,97.77,,0,68
Random Search,20260607,2,rs_r02_003_tl91_dt77_ge6_qr38_tau74,91,77,6,0.38,0.74,280.92,90.14,10.00,1.00,10:1,263.58,,,280.92,90.14,,0,76
Random Search,20260607,2,rs_r02_004_tl48_dt166_ge41_qr69_tau70,48,166,41,0.69,0.7,241.92,77.60,10.00,1.00,10:1,226.98,,,241.92,77.60,,0,32
Random Search,20260607,2,rs_r02_005_tl35_dt206_ge47_qr60_tau90,35,206,47,0.6,0.9,196.92,81.91,10.00,1.00,10:1,186.46,,,196.92,81.91,,0,27
Random Search,20260607,2,rs_r02_006_tl89_dt204_ge2_qr49_tau75,89,204,2,0.49,0.75,327.92,102.55,10.00,1.00,10:1,307.43,,,327.92,102.55,,0,105
Random Search,20260607,3,rs_r03_001_tl82_dt158_ge16_qr6_tau78,82,158,16,0.06,0.78,355.92,86.19,10.00,1.00,10:1,331.40,,,355.92,86.19,,1,61
Random Search,20260607,3,rs_r03_002_tl41_dt37_ge24_qr52_tau88,41,37,24,0.52,0.88,139.92,86.36,10.00,1.00,10:1,135.05,,,139.92,86.36,,0,32
Random Search,20260607,3,rs_r03_003_tl6_dt59_ge9_qr74_tau71,6,59,9,0.74,0.71,137.92,74.69,10.00,1.00,10:1,132.17,,,137.92,74.69,,0,45
Random Search,20260607,3,rs_r03_004_tl44_dt244_ge32_qr98_tau82,44,244,32,0.98,0.82,178.92,77.38,10.00,1.00,10:1,169.69,,,178.92,77.38,,0,33
Random Search,20260607,3,rs_r03_005_tl29_dt166_ge20_qr24_tau83,29,166,20,0.24,0.83,142.92,90.70,10.00,1.00,10:1,138.17,,,142.92,90.70,,1,35
Random Search,20260607,3,rs_r03_006_tl76_dt49_ge7_qr96_tau84,76,49,7,0.96,0.84,249.92,97.43,10.00,1.00,10:1,236.06,,,249.92,97.43,,0,64
Random Search,20260607,4,rs_r04_001_tl100_dt73_ge16_qr56_tau88,100,73,16,0.56,0.88,390.92,83.20,10.00,1.00,10:1,362.95,,,390.92,83.20,,0,62
Random Search,20260607,4,rs_r04_002_tl79_dt73_ge27_qr72_tau76,79,73,27,0.72,0.76,280.92,90.41,10.00,1.00,10:1,263.60,,,280.92,90.41,,0,38
Random Search,20260607,4,rs_r04_003_tl49_dt80_ge2_qr65_tau75,49,80,2,0.65,0.75,314.92,93.65,10.00,1.00,10:1,294.80,,,314.92,93.65,,0,96
Random Search,20260607,4,rs_r04_004_tl102_dt25_ge35_qr32_tau88,102,25,35,0.32,0.88,138.92,77.81,10.00,1.00,10:1,133.36,,,138.92,77.81,,0,19
Random Search,20260607,4,rs_r04_005_tl60_dt232_ge34_qr18_tau80,60,232,34,0.18,0.8,319.92,88.95,10.00,1.00,10:1,298.92,,,319.92,88.95,,1,39
Random Search,20260607,4,rs_r04_006_tl11_dt218_ge44_qr0_tau72,11,218,44,0.0,0.72,195.92,82.57,10.00,1.00,10:1,185.61,,,195.92,82.57,,1,27
Random Search,20260607,5,rs_r05_001_tl76_dt212_ge40_qr30_tau72,76,212,40,0.3,0.72,329.92,98.27,10.00,1.00,10:1,308.86,,,329.92,98.27,,1,37
