candidate,event_class,movement_id,from_edge,to_edge,count,x,y,case_b_source,TA_case,case_b_segment_id
bo_r04_002_tl31_dt28_ge30_qr19_tau81,stage3_control,B4_MOVEMENT_01,800229255,180368918#0,4,3648.259,2440.837,not_case_b,caseA,
bo_r04_002_tl31_dt28_ge30_qr19_tau81,stage3_control,B4_MOVEMENT_02,180368918#3,180368918#5,11,3545.690,2421.355,not_case_b,caseA,
bo_r04_002_tl31_dt28_ge30_qr19_tau81,stage3_control,B4_MOVEMENT_03,180368918#8,218773868#0,13,3358.080,2387.880,not_case_b,caseA,
bo_r04_002_tl31_dt28_ge30_qr19_tau81,stage3_control,B4_MOVEMENT_04,-1455512070,428260110,35,2955.080,2287.540,not_case_b,caseA,
bo_r04_002_tl31_dt28_ge30_qr19_tau81,stage3_control,B4_MOVEMENT_05,785130600#3,1455497345,50,2572.213,2188.472,not_case_b,caseA,
bo_r04_002_tl31_dt28_ge30_qr19_tau81,stage3_control,B4_MOVEMENT_06,218773869#7,218773869#8,94,2155.082,2072.173,not_case_b,caseA,
bo_r04_002_tl31_dt28_ge30_qr19_tau81,stage3_control,B4_MOVEMENT_07,218773869#9,219696193#1,90,2100.380,2068.709,not_case_b,caseA,
bo_r04_002_tl31_dt28_ge30_qr19_tau81,stage3_control,B4_MOVEMENT_08,420361196,180445419,132,1745.100,2082.055,not_case_b,caseA,
bo_r04_002_tl31_dt28_ge30_qr19_tau81,stage3_control,B4_MOVEMENT_09,347237859#1,347237859#2,141,1507.675,2067.182,not_case_b,caseA,
bo_r04_002_tl31_dt28_ge30_qr19_tau81,stage3_control,B4_MOVEMENT_10,347237859#4,347237859#5,148,1315.570,2045.898,not_case_b,caseA,
bo_r04_002_tl31_dt28_ge30_qr19_tau81,stage3_control,B4_MOVEMENT_11,781985787#0,218915135#3,150,1125.161,1996.677,not_case_b,caseA,
bo_r04_002_tl31_dt28_ge30_qr19_tau81,stage3_control,B4_MOVEMENT_12,218915135#4,781983104#0,150,919.112,1909.182,not_case_b,caseA,
bo_r04_002_tl31_dt28_ge30_qr19_tau81,stage3_control,B4_MOVEMENT_13,781983104#0,781983104#1,150,823.769,1852.146,not_case_b,caseA,
bo_r04_002_tl31_dt28_ge30_qr19_tau81,stage3_control,B4_MOVEMENT_14,333557072#1,333557072#2,154,658.326,1720.454,not_case_b,caseA,
bo_r04_002_tl31_dt28_ge30_qr19_tau81,stage3_control,B4_MOVEMENT_15,333557072#5,619147738#0,157,423.146,1625.419,not_case_b,caseA,
bo_r04_002_tl31_dt28_ge30_qr19_tau81,stage3_control,B4_MOVEMENT_16,619147738#0,619147738#1,158,350.558,1614.959,not_case_b,caseA,
bo_r04_002_tl31_dt28_ge30_qr19_tau81,stage2_hold,,,,4,4080.253,2490.873,not_case_b,caseA,
bo_r45_004_tl85_dt4_ge47_qr99_tau82,stage3_control,B4_MOVEMENT_01,800229255,180368918#0,159,3648.259,2440.837,not_case_b,caseA,
bo_r45_004_tl85_dt4_ge47_qr99_tau82,stage3_control,B4_MOVEMENT_02,180368918#3,180368918#5,119,3545.690,2421.355,not_case_b,caseA,
bo_r45_004_tl85_dt4_ge47_qr99_tau82,stage3_control,B4_MOVEMENT_03,180368918#8,218773868#0,141,3358.080,2387.880,not_case_b,caseA,
bo_r45_004_tl85_dt4_ge47_qr99_tau82,stage3_control,B4_MOVEMENT_04,-1455512070,428260110,198,2955.080,2287.540,not_case_b,caseA,
bo_r45_004_tl85_dt4_ge47_qr99_tau82,stage3_control,B4_MOVEMENT_05,785130600#3,1455497345,212,2572.213,2188.472,not_case_b,caseA,
bo_r45_004_tl85_dt4_ge47_qr99_tau82,stage3_control,B4_MOVEMENT_06,218773869#7,218773869#8,245,2155.082,2072.173,not_case_b,caseA,
bo_r45_004_tl85_dt4_ge47_qr99_tau82,stage3_control,B4_MOVEMENT_07,218773869#9,219696193#1,244,2100.380,2068.709,not_case_b,caseA,
bo_r45_004_tl85_dt4_ge47_qr99_tau82,stage3_control,B4_MOVEMENT_08,420361196,180445419,270,1745.100,2082.055,not_case_b,caseA,
bo_r45_004_tl85_dt4_ge47_qr99_tau82,stage3_control,B4_MOVEMENT_09,347237859#1,347237859#2,294,1507.675,2067.182,not_case_b,caseA,
bo_r45_004_tl85_dt4_ge47_qr99_tau82,stage3_control,B4_MOVEMENT_10,347237859#4,347237859#5,304,1315.570,2045.898,not_case_b,caseA,
bo_r45_004_tl85_dt4_ge47_qr99_tau82,stage3_control,B4_MOVEMENT_11,781985787#0,218915135#3,312,1125.161,1996.677,not_case_b,caseA,
bo_r45_004_tl85_dt4_ge47_qr99_tau82,stage3_control,B4_MOVEMENT_12,218915135#4,781983104#0,334,919.112,1909.182,not_case_b,caseA,
bo_r45_004_tl85_dt4_ge47_qr99_tau82,stage3_control,B4_MOVEMENT_13,781983104#0,781983104#1,414,823.769,1852.146,not_case_b,caseA,
bo_r45_004_tl85_dt4_ge47_qr99_tau82,stage3_control,B4_MOVEMENT_14,333557072#1,333557072#2,464,658.326,1720.454,not_case_b,caseA,
bo_r45_004_tl85_dt4_ge47_qr99_tau82,stage3_control,B4_MOVEMENT_15,333557072#5,619147738#0,458,423.146,1625.419,not_case_b,caseA,
bo_r45_004_tl85_dt4_ge47_qr99_tau82,stage3_control,B4_MOVEMENT_16,619147738#0,619147738#1,450,350.558,1614.959,not_case_b,caseA,
bo_r45_004_tl85_dt4_ge47_qr99_tau82,caseB_downstream_first,B4_MOVEMENT_04,-1455512070,428260110,17,2955.080,2287.540,runtime_tau_adjacency,caseB_downstream_first,i4_down5
bo_r45_004_tl85_dt4_ge47_qr99_tau82,caseB_downstream_first,B4_MOVEMENT_03,180368918#8,218773868#0,17,3358.080,2387.880,runtime_tau_adjacency,caseB_downstream_first,i4_down5
