weight_ratio,round,essi_max,essi_log_max,essi_log_max_ewma,spc_status,spc_stop_recommended
1:1,11,0.64,-0.44439663,-0.44439663,warmup,False
1:1,11,0.64,-0.44439663,-0.44439663,warmup,False
1:1,11,0.64,-0.44439663,-0.44439663,warmup,False
1:1,11,0.64,-0.44439663,-0.44439663,warmup,False
1:1,11,0.63,-0.46206158,-0.44969612,warmup,False
1:1,11,0.62,-0.47450353,-0.45713834,warmup,False
1:1,12,0.74,-0.30229504,-0.41068535,warmup,False
1:1,12,0.74,-0.30222167,-0.37814625,warmup,False
1:1,12,0.73,-0.31506121,-0.35922074,warmup,False
1:1,12,0.73,-0.31836342,-0.34696354,warmup,False
1:1,12,0.73,-0.31819503,-0.33833299,warmup,False
1:1,12,0.72,-0.33393061,-0.33701228,warmup,False
1:1,13,0.77,-0.26227271,-0.31459041,warmup,False
1:1,13,0.77,-0.26227271,-0.29889510,warmup,False
1:1,13,0.77,-0.26227271,-0.28790838,stable,True
1:1,13,0.77,-0.26227271,-0.28021768,stable,True
1:1,13,0.77,-0.26227271,-0.27483419,active,False
1:1,13,0.77,-0.26227271,-0.27106575,active,False
5:1,11,0.80,-0.22629081,-0.22629081,warmup,False
5:1,11,0.80,-0.22629081,-0.22629081,warmup,False
5:1,11,0.80,-0.22629081,-0.22629081,warmup,False
5:1,11,0.80,-0.22629081,-0.22629081,warmup,False
5:1,11,0.78,-0.24395576,-0.23159030,warmup,False
5:1,11,0.77,-0.25639770,-0.23903252,warmup,False
5:1,12,0.92,-0.07975897,-0.19125045,warmup,False
5:1,12,0.92,-0.07968560,-0.15778099,warmup,False
5:1,12,0.91,-0.09252514,-0.13820424,warmup,False
5:1,12,0.91,-0.09582735,-0.12549117,warmup,False
5:1,12,0.91,-0.09565896,-0.11654151,warmup,False
5:1,12,0.90,-0.10797107,-0.11397038,warmup,False
5:1,13,0.83,-0.18114193,-0.13412184,warmup,False
5:1,13,0.83,-0.18114193,-0.14822787,warmup,False
5:1,13,0.83,-0.18114193,-0.15810209,stable,True
5:1,13,0.83,-0.18114193,-0.16501404,stable,True
5:1,13,0.83,-0.18114193,-0.16985241,active,False
5:1,13,0.83,-0.18114193,-0.17323927,active,False
10:1,11,0.84,-0.17591640,-0.17591640,warmup,False
10:1,11,0.84,-0.17591640,-0.17591640,warmup,False
10:1,11,0.84,-0.17591640,-0.17591640,warmup,False
10:1,11,0.84,-0.17591640,-0.17591640,warmup,False
10:1,11,0.82,-0.19358135,-0.18121588,warmup,False
10:1,11,0.81,-0.20602329,-0.18865810,warmup,False
10:1,12,0.97,-0.02899136,-0.14075808,warmup,False
10:1,12,0.97,-0.02891799,-0.10720605,warmup,False
10:1,12,0.96,-0.04175753,-0.08757149,warmup,False
10:1,12,0.96,-0.04505974,-0.07481797,warmup,False
10:1,12,0.96,-0.04489135,-0.06583998,warmup,False
10:1,12,0.95,-0.05155958,-0.06155586,warmup,False
10:1,13,0.86,-0.15096890,-0.08837977,warmup,False
10:1,13,0.86,-0.15096890,-0.10715651,warmup,False
10:1,13,0.86,-0.15096890,-0.12030023,stable,True
10:1,13,0.86,-0.15096890,-0.12950083,stable,True
10:1,13,0.86,-0.15096890,-0.13594125,active,False
10:1,13,0.86,-0.15096890,-0.14044955,active,False
15:1,11,0.85,-0.15745413,-0.15745413,warmup,False
15:1,11,0.85,-0.15745413,-0.15745413,warmup,False
15:1,11,0.85,-0.15745413,-0.15745413,warmup,False
15:1,11,0.85,-0.15745413,-0.15745413,warmup,False
15:1,11,0.84,-0.17511908,-0.16275361,warmup,False
15:1,11,0.83,-0.18756103,-0.17019584,warmup,False
15:1,12,0.99,-0.01037965,-0.12225098,warmup,False
15:1,12,0.99,-0.01030627,-0.08866757,warmup,False
15:1,12,0.98,-0.02314582,-0.06901104,warmup,False
15:1,12,0.97,-0.02644802,-0.05624213,warmup,False
15:1,12,0.97,-0.02627964,-0.04725338,warmup,False
15:1,12,0.97,-0.03294786,-0.04296172,warmup,False
15:1,13,0.88,-0.13190556,-0.06964487,warmup,False
15:1,13,0.88,-0.13190556,-0.08832308,warmup,False
15:1,13,0.88,-0.13190556,-0.10139782,stable,True
15:1,13,0.88,-0.13190556,-0.11055014,stable,True
15:1,13,0.88,-0.13190556,-0.11695677,active,False
15:1,13,0.88,-0.13190556,-0.12144141,active,False
20:1,11,0.86,-0.14760176,-0.14760176,warmup,False
20:1,11,0.86,-0.14760176,-0.14760176,warmup,False
20:1,11,0.86,-0.14760176,-0.14760176,warmup,False
20:1,11,0.86,-0.14760176,-0.14760176,warmup,False
20:1,11,0.85,-0.16526671,-0.15290124,warmup,False
20:1,11,0.84,-0.17770866,-0.16034347,warmup,False
20:1,12,1.00,-0.00045421,-0.11237669,warmup,False
20:1,12,1.00,-0.00038084,-0.07877793,warmup,False
20:1,12,0.99,-0.01322038,-0.05911066,warmup,False
20:1,12,0.98,-0.01652258,-0.04633424,warmup,False
20:1,12,0.98,-0.01635420,-0.03734023,warmup,False
20:1,12,0.98,-0.02302243,-0.03304489,warmup,False
20:1,13,0.89,-0.12173724,-0.05965259,warmup,False
20:1,13,0.89,-0.12173724,-0.07827798,warmup,False
20:1,13,0.89,-0.12173724,-0.09131576,stable,True
20:1,13,0.89,-0.12173724,-0.10044220,stable,True
20:1,13,0.89,-0.12173724,-0.10683071,active,False
20:1,13,0.89,-0.12173724,-0.11130267,active,False
