method,seed,round,round_theta_index,theta_per_round,parameter_id,t_lead,delta_T_thr,G_ext,Q_ratio,tau,D_E_sec,D_G_sec,score,best_so_far,penalty,final_status,failure_reason,termination_reason,emergency_arrived,emergency_teleport,background_teleported,signal_event_count,stage2_hold_count,stage3_preemption_count,surrogate_mean,surrogate_ci_low,surrogate_ci_high,raw_ei_acquisition,acquisition,bo_selection_strategy,bo_candidate_source,bo_plateau_mode,essi_acquisition,essi_1,essi_2,essi_3,essi_4,essi_5,essi_6,essi_max,essi_mean,essi_log_max,dominant_essi_subspace,spatial_activation_score,raw_score,essi_log_max_ewma,essi_spc_status,essi_stop_recommended
BO,20260607,1,1,6,bo_r01_001_tl50_dt212_ge40_qr62_tau90,50,212,40,0.62,0.9,1038.92,301.52,971.88,971.88,0.00,PASS,,recovery_detected,True,False,0,523,1,76,,,,,,,,,,,,,,,,,,,,,971.88,,,
BO,20260607,1,2,6,bo_r01_002_tl80_dt143_ge18_qr17_tau79,80,143,18,0.17,0.79,0.00,477.14,1000043.38,971.88,1000000.00,FAIL,emergency_stuck,emergency_stuck,False,False,0,323,1,44,,,,,,,,,,,,,,,,,,,,,43.38,,,
BO,20260607,1,3,6,bo_r01_003_tl56_dt74_ge28_qr32_tau74,56,74,28,0.32,0.74,0.00,452.00,1000041.09,971.88,1000000.00,FAIL,emergency_stuck,emergency_stuck,False,False,0,413,1,44,,,,,,,,,,,,,,,,,,,,,41.09,,,
BO,20260607,1,4,6,bo_r01_004_tl78_dt142_ge10_qr0_tau80,78,142,10,0.0,0.8,711.92,293.36,673.87,673.87,0.00,PASS,,recovery_timeout,True,False,0,1038,1,118,,,,,,,,,,,,,,,,,,,,,673.87,,,
BO,20260607,1,5,6,bo_r01_005_tl105_dt126_ge33_qr23_tau89,105,126,33,0.23,0.89,0.00,447.04,1000040.64,673.87,1000000.00,FAIL,emergency_stuck,emergency_stuck,False,False,0,323,1,40,,,,,,,,,,,,,,,,,,,,,40.64,,,
BO,20260607,1,6,6,bo_r01_006_tl105_dt71_ge21_qr60_tau80,105,71,21,0.6,0.8,0.00,448.56,1000040.78,673.87,1000000.00,FAIL,emergency_stuck,emergency_stuck,False,False,0,696,1,50,,,,,,,,,,,,,,,,,,,,,40.78,,,
BO,20260607,2,1,6,bo_r02_001_tl29_dt79_ge10_qr71_tau82,29,79,10,0.71,0.82,0.00,423.16,1000038.47,673.87,1000000.00,FAIL,emergency_stuck,emergency_stuck,False,False,0,840,1,90,823.13,531.07,1115.20,,,,,,,,,,,,,,,,,,38.47,,,
BO,20260607,2,2,6,bo_r02_002_tl61_dt51_ge26_qr29_tau78,61,51,26,0.29,0.78,0.00,497.55,1000045.23,673.87,1000000.00,FAIL,emergency_stuck,emergency_stuck,False,False,0,1113,1,25,822.64,530.57,1114.70,,,,,,,,,,,,,,,,,,45.23,,,
BO,20260607,2,3,6,bo_r02_003_tl7_dt0_ge15_qr73_tau70,7,0,15,0.73,0.7,0.00,433.67,1000039.42,673.87,1000000.00,FAIL,emergency_stuck,emergency_stuck,False,False,0,1244,1,70,823.08,531.02,1115.15,,,,,,,,,,,,,,,,,,39.42,,,
BO,20260607,2,4,6,bo_r02_004_tl45_dt222_ge5_qr68_tau73,45,222,5,0.68,0.73,625.92,298.55,596.16,596.16,0.00,PASS,,recovery_timeout,True,False,0,1143,1,130,823.04,530.97,1115.10,,,,,,,,,,,,,,,,,,596.16,,,
