method,seed,round,round_theta_index,theta_per_round,parameter_id,t_lead,delta_T_thr,G_ext,Q_ratio,tau,D_E_sec,D_G_sec,score,best_so_far,penalty,final_status,failure_reason,termination_reason,emergency_arrived,emergency_teleport,background_teleported,signal_event_count,stage2_hold_count,stage3_preemption_count,surrogate_mean,surrogate_ci_low,surrogate_ci_high,raw_ei_acquisition,acquisition,essi_acquisition,essi_1,essi_2,essi_3,essi_4,essi_5,essi_6,essi_max,essi_mean,essi_log_max,dominant_essi_subspace,spatial_activation_score,raw_score,essi_log_max_ewma,essi_spc_status,essi_stop_recommended
BO,20260607,1,1,6,bo_r01_001_tl50_dt212_ge40_qr62_tau90,50,212,40,0.62,0.9,297.92,486.31,315.05,315.05,0.00,PASS,,recovery_detected,True,False,0,404,1,33,,,,,,,,,,,,,,,,,,315.05,,,
BO,20260607,1,2,6,bo_r01_002_tl80_dt143_ge18_qr17_tau79,80,143,18,0.17,0.79,393.92,469.23,400.77,315.05,0.00,PASS,,recovery_detected,True,False,0,499,1,58,,,,,,,,,,,,,,,,,,400.77,,,
BO,20260607,1,3,6,bo_r01_003_tl56_dt74_ge28_qr32_tau74,56,74,28,0.32,0.74,261.92,495.37,283.14,283.14,0.00,PASS,,recovery_detected,True,False,0,441,1,38,,,,,,,,,,,,,,,,,,283.14,,,
BO,20260607,1,4,6,bo_r01_004_tl117_dt156_ge35_qr21_tau70,117,156,35,0.21,0.7,432.92,463.12,435.67,283.14,0.00,PASS,,recovery_detected,True,False,0,282,1,43,,,,,,,,,,,,,,,,,,435.67,,,
BO,20260607,1,5,6,bo_r01_005_tl43_dt211_ge31_qr66_tau75,43,211,31,0.66,0.75,480.92,461.90,479.19,283.14,0.00,PASS,,recovery_detected,True,False,0,363,1,49,,,,,,,,,,,,,,,,,,479.19,,,
BO,20260607,1,6,6,bo_r01_006_tl77_dt210_ge17_qr42_tau85,77,210,17,0.42,0.85,419.92,470.99,424.56,283.14,0.00,PASS,,recovery_detected,True,False,0,598,1,67,,,,,,,,,,,,,,,,,,424.56,,,
BO,20260607,2,1,6,bo_r02_001_tl120_dt59_ge19_qr20_tau87,120,59,19,0.2,0.87,294.92,493.73,312.99,283.14,0.00,PASS,,recovery_detected,True,False,0,809,1,50,389.76,254.94,524.59,,,,,,,,,,,,,,,312.99,,,
BO,20260607,2,2,6,bo_r02_002_tl49_dt122_ge12_qr53_tau77,49,122,12,0.53,0.77,228.92,498.99,253.47,253.47,0.00,PASS,,recovery_detected,True,False,0,360,1,55,389.68,254.87,524.49,,,,,,,,,,,,,,,253.47,,,
BO,20260607,2,3,6,bo_r02_003_tl88_dt70_ge3_qr0_tau77,88,70,3,0.0,0.77,299.92,489.30,317.14,253.47,0.00,PASS,,recovery_detected,True,False,0,1016,1,84,389.76,254.94,524.58,,,,,,,,,,,,,,,317.14,,,
BO,20260607,2,4,6,bo_r02_004_tl73_dt1_ge22_qr10_tau87,73,1,22,0.1,0.87,262.92,484.10,283.03,253.47,0.00,PASS,,recovery_detected,True,False,0,4630,1,16,388.27,253.46,523.07,,,,,,,,,,,,,,,283.03,,,
BO,20260607,2,5,6,bo_r02_005_tl12_dt151_ge30_qr53_tau80,12,151,30,0.53,0.8,286.92,486.14,305.03,253.47,0.00,PASS,,recovery_detected,True,False,0,467,1,39,390.50,255.68,525.31,,,,,,,,,,,,,,,305.03,,,
BO,20260607,2,6,6,bo_r02_006_tl121_dt65_ge11_qr46_tau73,121,65,11,0.46,0.73,266.92,496.15,287.76,253.47,0.00,PASS,,recovery_detected,True,False,0,866,1,59,389.74,254.92,524.56,,,,,,,,,,,,,,,287.76,,,
BO,20260607,3,1,6,bo_r03_001_tl22_dt31_ge1_qr54_tau72,22,31,1,0.54,0.72,220.92,489.07,245.30,245.30,0.00,PASS,,recovery_detected,True,False,0,2361,1,65,331.23,210.80,451.66,,,,,,,,,,,,,,,245.30,,,
