method,seed,round,round_theta_index,theta_per_round,parameter_id,t_lead,delta_T_thr,G_ext,Q_ratio,tau,D_E_sec,D_G_sec,score,best_so_far,penalty,final_status,failure_reason,termination_reason,emergency_arrived,emergency_teleport,background_teleported,sumo_summary_teleports,sumo_summary_collisions,signal_event_count,stage2_hold_count,stage3_preemption_count,surrogate_mean,surrogate_ci_low,surrogate_ci_high,raw_ei_acquisition,acquisition,bo_selection_strategy,bo_candidate_source,bo_plateau_mode,bo_batch_slot,hold_feasibility,essi_acquisition,essi_1,essi_2,essi_3,essi_4,essi_5,essi_6,essi_max,essi_mean,essi_log_max,dominant_essi_subspace,spatial_activation_score,raw_score,essi_log_max_ewma,essi_spc_status,essi_stop_recommended
BO,20260607,1,1,6,bo_r01_001_tl50_dt212_ge40_qr62_tau90,50,212,40,0.62,0.9,475.92,424.50,471.25,471.25,0.00,PASS,,recovery_detected,True,False,0,0,0,323,1,42,,,,,,,,,,,,,,,,,,,,,,,471.25,,,
BO,20260607,1,2,6,bo_r01_002_tl80_dt143_ge18_qr17_tau79,80,143,18,0.17,0.79,443.92,431.35,442.78,442.78,0.00,PASS,,recovery_detected,True,False,0,0,0,419,1,64,,,,,,,,,,,,,,,,,,,,,,,442.78,,,
BO,20260607,1,3,6,bo_r01_003_tl56_dt74_ge28_qr32_tau74,56,74,28,0.32,0.74,500.92,309.91,1000483.56,442.78,1000000.00,FAIL,sumo_summary_teleport_collision,recovery_timeout,True,False,2,2,2,516,1,55,,,,,,,,,,,,,,,,,,,,,,,483.56,,,
BO,20260607,1,4,6,bo_r01_004_tl78_dt142_ge10_qr0_tau80,78,142,10,0.0,0.8,328.92,446.38,339.60,339.60,0.00,PASS,,recovery_detected,True,False,0,0,0,731,1,67,,,,,,,,,,,,,,,,,,,,,,,339.60,,,
BO,20260607,1,5,6,bo_r01_005_tl105_dt126_ge33_qr23_tau89,105,126,33,0.23,0.89,486.92,428.06,481.57,339.60,0.00,PASS,,recovery_detected,True,False,0,0,0,435,1,46,,,,,,,,,,,,,,,,,,,,,,,481.57,,,
BO,20260607,1,6,6,bo_r01_006_tl105_dt71_ge21_qr60_tau80,105,71,21,0.6,0.8,0.00,481.19,1000043.74,339.60,1000000.00,FAIL,emergency_stuck,emergency_stuck,False,False,1,1,1,534,1,39,,,,,,,,,,,,,,,,,,,,,,,43.74,,,
BO,20260607,2,1,6,bo_r02_001_tl78_dt139_ge10_qr3_tau80,78,139,10,0.03,0.8,328.92,446.38,339.60,339.60,0.00,PASS,,recovery_detected,True,False,0,0,0,731,1,67,-8196.73,-70336.22,53942.77,0.68,54.65,incumbent_exploitation,local,False,stable,0.8547338604476848,31.51,10.60,6.75,8.50,6.13,31.51,11.00,31.51,12.42,3.45040921,5,0.572356,339.60,,,
BO,20260607,2,2,6,bo_r02_002_tl80_dt138_ge10_qr3_tau81,80,138,10,0.03,0.81,328.92,446.38,339.60,339.60,0.00,PASS,,recovery_detected,True,False,0,0,0,731,1,67,-10906.56,-86562.27,64749.15,0.49,50.44,incumbent_exploitation,local,False,stable,0.8323296134907578,29.85,10.05,6.41,8.03,5.84,29.85,10.54,29.85,11.79,3.39610361,5,0.587441,339.60,,,
BO,20260607,2,3,6,bo_r02_003_tl77_dt153_ge10_qr3_tau81,77,153,10,0.03,0.81,328.92,446.38,339.60,339.60,0.00,PASS,,recovery_detected,True,False,0,0,0,740,1,67,44772.84,-216640.14,306185.82,1.82,41.97,incumbent_exploitation,local,False,local_constrained,0.7950881218838034,24.42,8.12,5.19,6.55,4.74,24.42,8.59,24.42,9.60,3.19523293,5,0.577396,339.60,,,
BO,20260607,2,4,6,bo_r02_004_tl73_dt144_ge10_qr5_tau82,73,144,10,0.05,0.82,328.92,446.38,339.60,339.60,0.00,PASS,,recovery_detected,True,False,0,0,0,731,1,67,8549.20,-39509.27,56607.68,3.50,36.96,incumbent_exploitation,local,False,local_constrained,0.7656331981434784,21.90,7.11,4.57,5.80,4.24,21.90,7.83,21.90,8.58,3.08645451,5,0.588219,339.60,,,
BO,20260607,2,5,6,bo_r02_005_tl0_dt219_ge0_qr8_tau77,0,219,0,0.08,0.77,0.00,491.42,1000044.67,339.60,1000000.00,FAIL,emergency_stuck,emergency_stuck,False,False,1,1,1,1658,1,83,55179.13,-439594.08,549952.34,70.51,34.58,ei,global,False,global_ei,0.49600027600570157,12.16,2.06,1.46,2.86,1.64,12.16,3.63,12.16,3.97,2.49807946,5,0.347651,44.67,,,
BO,20260607,2,6,6,bo_r02_006_tl3_dt11_ge49_qr80_tau82,3,11,49,0.8,0.82,0.00,494.04,1000044.91,339.60,1000000.00,FAIL,emergency_stuck,emergency_stuck,False,False,0,0,0,4420,1,9,478137.53,-427139.34,1383414.41,7.92,2.96,ei,global,False,space_filling,0.3748214227772898,2.38,0.57,0.41,0.54,0.46,2.38,1.02,2.38,0.90,0.86643918,5,0.800750,44.91,,,
BO,20260607,3,1,6,bo_r03_001_tl73_dt145_ge10_qr5_tau82,73,145,10,0.05,0.82,328.92,446.38,339.60,339.60,0.00,PASS,,recovery_detected,True,False,0,0,0,731,1,67,-57.14,-15618.03,15503.76,0.77,74.60,incumbent_exploitation,stable_success,False,stable,0.9660130968135453,44.18,14.34,9.22,11.71,8.56,44.18,15.79,44.18,17.30,3.78820069,5,0.587929,339.60,,,
BO,20260607,3,2,6,bo_r03_002_tl73_dt142_ge10_qr4_tau81,73,142,10,0.04,0.81,328.92,446.38,339.60,339.60,0.00,PASS,,recovery_detected,True,False,0,0,0,731,1,67,1848.51,-13491.71,17188.74,1.81,66.22,incumbent_exploitation,stable_success,False,stable,0.9284585458991865,38.39,12.56,8.05,10.23,7.41,38.39,13.55,38.39,15.03,3.64774492,5,0.575399,339.60,,,
BO,20260607,3,3,6,bo_r03_003_tl78_dt151_ge10_qr3_tau81,78,151,10,0.03,0.81,328.92,446.38,339.60,339.60,0.00,PASS,,recovery_detected,True,False,0,0,0,738,1,67,-2105.65,-19313.11,15101.80,0.00,49.71,incumbent_exploitation,trust_region,False,local_constrained,0.9402943102524883,29.04,9.70,6.19,7.80,5.65,29.04,10.22,29.04,11.43,3.36866306,5,0.579874,339.60,,,
BO,20260607,3,4,6,bo_r03_004_tl77_dt142_ge10_qr9_tau82,77,142,10,0.09,0.82,328.92,446.38,339.60,339.60,0.00,PASS,,recovery_detected,True,False,0,0,0,731,1,67,-1502.23,-26500.86,23496.40,1.47,48.26,incumbent_exploitation,trust_region,False,local_constrained,0.8815867964314751,29.45,9.65,6.21,7.81,5.76,29.45,10.63,29.45,11.59,3.38272716,5,0.605988,339.60,,,
BO,20260607,3,5,6,bo_r03_005_tl52_dt131_ge12_qr2_tau78,52,131,12,0.02,0.78,451.92,328.04,1000440.66,339.60,1000000.00,FAIL,sumo_summary_teleport_collision,recovery_timeout,True,False,2,2,2,665,1,76,45708.60,-92267.75,183684.95,46.73,31.89,ei,global,False,global_ei,0.6884530868140118,16.32,4.97,3.20,4.30,2.98,16.32,5.53,16.32,6.22,2.79268162,5,0.507447,440.66,,,
BO,20260607,3,6,6,bo_r03_006_tl12_dt2_ge47_qr98_tau74,12,2,47,0.98,0.74,0.00,485.10,1000044.10,339.60,1000000.00,FAIL,emergency_stuck,emergency_stuck,False,False,0,0,0,4933,0,8,943908.59,721070.63,1166746.55,55.81,11.19,ei,global,False,space_filling,0.2013716361533884,8.64,2.17,1.52,2.01,1.67,8.64,3.63,8.64,3.27,2.15682691,5,0.769138,44.10,,,
BO,20260607,4,1,6,bo_r04_001_tl75_dt146_ge9_qr5_tau82,75,146,9,0.05,0.82,308.92,452.22,1000321.95,339.60,1000000.00,FAIL,sumo_summary_teleport_collision,recovery_detected,True,False,1,1,1,429,1,68,-4831.17,-22267.73,12605.38,0.00,48.00,stable_success_lattice,stable_success,False,stable,0.6906217758881477,28.43,9.29,5.97,7.56,5.52,28.43,10.14,28.43,11.15,3.34761519,5,0.588183,321.95,,,
BO,20260607,4,2,6,bo_r04_002_tl74_dt142_ge10_qr4_tau81,74,142,10,0.04,0.81,328.92,446.38,339.60,339.60,0.00,PASS,,recovery_detected,True,False,0,0,0,731,1,67,-2168.45,-16826.90,12489.99,0.03,47.93,incumbent_exploitation,stable_success,False,stable,0.6387477019145424,27.88,9.15,5.87,7.44,5.39,27.88,9.84,27.88,10.93,3.32778462,5,0.577296,339.60,,,
BO,20260607,4,3,6,bo_r04_003_tl75_dt169_ge5_qr16_tau82,75,169,5,0.16,0.82,356.92,442.18,1000364.67,339.60,1000000.00,FAIL,sumo_summary_teleport_collision,recovery_detected,True,False,1,1,1,730,1,90,12929.77,-154724.56,180584.10,90.86,80.53,ei,local,False,local_constrained,0.8926429674570513,48.25,15.43,9.97,12.69,9.34,48.25,17.41,48.25,18.85,3.87641750,5,0.594909,364.67,,,
BO,20260607,4,4,6,bo_r04_004_tl72_dt170_ge9_qr16_tau86,72,170,9,0.16,0.86,308.92,452.22,1000321.95,339.60,1000000.00,FAIL,sumo_summary_teleport_collision,recovery_detected,True,False,1,1,1,431,1,68,14337.28,-186123.87,214798.43,91.97,80.35,ei,local,False,local_constrained,0.8791091320674982,52.23,16.22,10.62,13.45,10.22,52.23,19.66,52.23,20.40,3.95559963,5,0.645927,321.95,,,
BO,20260607,4,5,6,bo_r04_005_tl77_dt177_ge8_qr37_tau87,77,177,8,0.37,0.87,311.92,454.45,324.88,324.88,0.00,PASS,,recovery_detected,True,False,0,0,0,608,1,71,21081.80,-263193.27,305356.87,83.31,72.12,ei,global,False,global_ei,0.8700445661636219,51.57,15.82,10.45,13.08,10.27,51.57,20.17,51.57,20.23,3.94303675,5,0.711532,324.88,,,
BO,20260607,4,6,6,bo_r04_006_tl102_dt12_ge47_qr93_tau76,102,12,47,0.93,0.76,0.00,482.98,1000043.91,324.88,1000000.00,FAIL,emergency_stuck,emergency_stuck,False,False,0,0,0,4821,0,9,849865.65,79376.09,1620355.21,56.28,18.52,ei,global,False,space_filling,0.3293100415311079,17.55,5.91,3.88,4.51,3.75,17.55,7.26,17.55,7.14,2.86517647,5,0.946995,43.91,,,
BO,20260607,5,1,6,bo_r05_001_tl77_dt178_ge8_qr37_tau87,77,178,8,0.37,0.87,311.92,454.45,324.88,324.88,0.00,PASS,,recovery_detected,True,False,0,0,0,608,1,71,584.14,-16293.33,17461.61,2.96,51.28,incumbent_exploitation,stable_success,False,stable,0.6625995122305172,36.66,11.24,7.43,9.30,7.30,36.66,14.33,36.66,14.37,3.60160128,5,0.711242,324.88,,,
BO,20260607,5,2,6,bo_r05_002_tl79_dt181_ge8_qr38_tau87,79,181,8,0.38,0.87,311.92,454.45,324.88,324.88,0.00,PASS,,recovery_detected,True,False,0,0,0,608,1,71,-83260.81,-248914.02,82392.40,17.65,49.05,stable_success_lattice,stable_success,False,stable,0.7042461101406928,35.32,10.89,7.19,8.97,7.05,35.32,13.82,35.32,13.88,3.56458302,5,0.716566,324.88,,,
BO,20260607,5,3,6,bo_r05_003_tl66_dt134_ge21_qr5_tau78,66,134,21,0.05,0.78,0.00,485.89,1000044.17,324.88,1000000.00,FAIL,emergency_stuck,emergency_stuck,False,False,0,0,0,284,1,42,372042.46,-525389.63,1269474.55,143.01,95.07,ei,local,False,local_constrained,0.669815857002326,54.56,17.81,11.42,14.55,10.50,54.56,19.18,54.56,21.34,3.99928875,5,0.569589,44.17,,,
