input_method,input_seed,input_round,input_parameter_id,input_t_lead,input_delta_T_thr,input_G_ext,input_Q_ratio,input_tau,output_D_E_sec,output_D_G_sec,weight_E,weight_G,weight_ratio,score,measured_T_free_EMV_sec,measured_T_actual_EMV_sec,measured_D_E_sec,measured_D_G_sec,measured_general_mean_travel_time_sec,stage2_on_count,stage3_on_count
BO,20260607,1,bo_r01_001_tl50_dt212_ge40_qr62_tau90,50,212,40,0.62,0.9,475.92,424.50,0.91,0.09,10:1,471.25,,,475.92,424.50,,1,42
BO,20260607,1,bo_r01_002_tl80_dt143_ge18_qr17_tau79,80,143,18,0.17,0.79,443.92,431.35,0.91,0.09,10:1,442.78,,,443.92,431.35,,1,64
BO,20260607,1,bo_r01_003_tl56_dt74_ge28_qr32_tau74,56,74,28,0.32,0.74,500.92,309.91,0.91,0.09,10:1,483.56,,,500.92,309.91,,1,55
BO,20260607,1,bo_r01_004_tl78_dt142_ge10_qr0_tau80,78,142,10,0.0,0.8,328.92,446.38,0.91,0.09,10:1,339.60,,,328.92,446.38,,1,67
BO,20260607,1,bo_r01_005_tl105_dt126_ge33_qr23_tau89,105,126,33,0.23,0.89,486.92,428.06,0.91,0.09,10:1,481.57,,,486.92,428.06,,1,46
BO,20260607,1,bo_r01_006_tl105_dt71_ge21_qr60_tau80,105,71,21,0.6,0.8,0.00,481.19,0.91,0.09,10:1,43.74,,,0.00,481.19,,1,39
BO,20260607,2,bo_r02_001_tl78_dt139_ge10_qr3_tau80,78,139,10,0.03,0.8,328.92,446.38,0.91,0.09,10:1,339.60,,,328.92,446.38,,1,67
BO,20260607,2,bo_r02_002_tl80_dt138_ge10_qr3_tau81,80,138,10,0.03,0.81,328.92,446.38,0.91,0.09,10:1,339.60,,,328.92,446.38,,1,67
BO,20260607,2,bo_r02_003_tl77_dt153_ge10_qr3_tau81,77,153,10,0.03,0.81,328.92,446.38,0.91,0.09,10:1,339.60,,,328.92,446.38,,1,67
BO,20260607,2,bo_r02_004_tl73_dt144_ge10_qr5_tau82,73,144,10,0.05,0.82,328.92,446.38,0.91,0.09,10:1,339.60,,,328.92,446.38,,1,67
BO,20260607,2,bo_r02_005_tl0_dt219_ge0_qr8_tau77,0,219,0,0.08,0.77,0.00,491.42,0.91,0.09,10:1,44.67,,,0.00,491.42,,1,83
BO,20260607,2,bo_r02_006_tl3_dt11_ge49_qr80_tau82,3,11,49,0.8,0.82,0.00,494.04,0.91,0.09,10:1,44.91,,,0.00,494.04,,1,9
BO,20260607,3,bo_r03_001_tl73_dt145_ge10_qr5_tau82,73,145,10,0.05,0.82,328.92,446.38,0.91,0.09,10:1,339.60,,,328.92,446.38,,1,67
BO,20260607,3,bo_r03_002_tl73_dt142_ge10_qr4_tau81,73,142,10,0.04,0.81,328.92,446.38,0.91,0.09,10:1,339.60,,,328.92,446.38,,1,67
BO,20260607,3,bo_r03_003_tl78_dt151_ge10_qr3_tau81,78,151,10,0.03,0.81,328.92,446.38,0.91,0.09,10:1,339.60,,,328.92,446.38,,1,67
BO,20260607,3,bo_r03_004_tl77_dt142_ge10_qr9_tau82,77,142,10,0.09,0.82,328.92,446.38,0.91,0.09,10:1,339.60,,,328.92,446.38,,1,67
BO,20260607,3,bo_r03_005_tl52_dt131_ge12_qr2_tau78,52,131,12,0.02,0.78,451.92,328.04,0.91,0.09,10:1,440.66,,,451.92,328.04,,1,76
BO,20260607,3,bo_r03_006_tl12_dt2_ge47_qr98_tau74,12,2,47,0.98,0.74,0.00,485.10,0.91,0.09,10:1,44.10,,,0.00,485.10,,0,8
BO,20260607,4,bo_r04_001_tl75_dt146_ge9_qr5_tau82,75,146,9,0.05,0.82,308.92,452.22,0.91,0.09,10:1,321.95,,,308.92,452.22,,1,68
BO,20260607,4,bo_r04_002_tl74_dt142_ge10_qr4_tau81,74,142,10,0.04,0.81,328.92,446.38,0.91,0.09,10:1,339.60,,,328.92,446.38,,1,67
BO,20260607,4,bo_r04_003_tl75_dt169_ge5_qr16_tau82,75,169,5,0.16,0.82,356.92,442.18,0.91,0.09,10:1,364.67,,,356.92,442.18,,1,90
BO,20260607,4,bo_r04_004_tl72_dt170_ge9_qr16_tau86,72,170,9,0.16,0.86,308.92,452.22,0.91,0.09,10:1,321.95,,,308.92,452.22,,1,68
BO,20260607,4,bo_r04_005_tl77_dt177_ge8_qr37_tau87,77,177,8,0.37,0.87,311.92,454.45,0.91,0.09,10:1,324.88,,,311.92,454.45,,1,71
BO,20260607,4,bo_r04_006_tl102_dt12_ge47_qr93_tau76,102,12,47,0.93,0.76,0.00,482.98,0.91,0.09,10:1,43.91,,,0.00,482.98,,0,9
BO,20260607,5,bo_r05_001_tl77_dt178_ge8_qr37_tau87,77,178,8,0.37,0.87,311.92,454.45,0.91,0.09,10:1,324.88,,,311.92,454.45,,1,71
BO,20260607,5,bo_r05_002_tl79_dt181_ge8_qr38_tau87,79,181,8,0.38,0.87,311.92,454.45,0.91,0.09,10:1,324.88,,,311.92,454.45,,1,71
BO,20260607,5,bo_r05_003_tl66_dt134_ge21_qr5_tau78,66,134,21,0.05,0.78,0.00,485.89,0.91,0.09,10:1,44.17,,,0.00,485.89,,1,42
BO,20260607,5,bo_r05_004_tl67_dt137_ge14_qr21_tau82,67,137,14,0.21,0.82,300.92,451.38,0.91,0.09,10:1,314.60,,,300.92,451.38,,1,56
BO,20260607,5,bo_r05_005_tl67_dt139_ge19_qr19_tau89,67,139,19,0.19,0.89,559.92,297.37,0.91,0.09,10:1,536.05,,,559.92,297.37,,1,73
BO,20260607,5,bo_r05_006_tl111_dt116_ge48_qr87_tau75,111,116,48,0.87,0.75,720.92,296.73,0.91,0.09,10:1,682.36,,,720.92,296.73,,1,49
BO,20260607,6,bo_r06_001_tl67_dt136_ge14_qr21_tau82,67,136,14,0.21,0.82,300.92,451.38,0.91,0.09,10:1,314.60,,,300.92,451.38,,1,56
BO,20260607,6,bo_r06_002_tl66_dt135_ge15_qr22_tau83,66,135,15,0.22,0.83,368.92,439.94,0.91,0.09,10:1,375.38,,,368.92,439.94,,1,60
BO,20260607,6,bo_r06_003_tl67_dt131_ge9_qr23_tau79,67,131,9,0.23,0.79,308.92,452.22,0.91,0.09,10:1,321.95,,,308.92,452.22,,1,68
BO,20260607,6,bo_r06_004_tl61_dt133_ge9_qr31_tau81,61,133,9,0.31,0.81,336.92,440.72,0.91,0.09,10:1,346.36,,,336.92,440.72,,1,75
BO,20260607,6,bo_r06_005_tl63_dt138_ge2_qr49_tau81,63,138,2,0.49,0.81,0.00,478.96,0.91,0.09,10:1,43.54,,,0.00,478.96,,1,90
BO,20260607,6,bo_r06_006_tl5_dt213_ge48_qr99_tau73,5,213,48,0.99,0.73,403.92,430.42,0.91,0.09,10:1,406.33,,,403.92,430.42,,0,33
BO,20260607,7,bo_r07_001_tl66_dt134_ge13_qr20_tau81,66,134,13,0.2,0.81,296.92,456.05,0.91,0.09,10:1,311.39,,,296.92,456.05,,1,56
BO,20260607,7,bo_r07_002_tl69_dt134_ge13_qr20_tau81,69,134,13,0.2,0.81,340.92,443.52,0.91,0.09,10:1,350.25,,,340.92,443.52,,1,61
BO,20260607,7,bo_r07_003_tl59_dt125_ge11_qr13_tau81,59,125,11,0.13,0.81,447.92,427.94,0.91,0.09,10:1,446.10,,,447.92,427.94,,1,81
BO,20260607,7,bo_r07_004_tl67_dt121_ge11_qr10_tau82,67,121,11,0.1,0.82,585.92,302.60,0.91,0.09,10:1,560.16,,,585.92,302.60,,1,98
BO,20260607,7,bo_r07_005_tl68_dt112_ge12_qr13_tau70,68,112,12,0.13,0.7,512.92,311.24,0.91,0.09,10:1,494.59,,,512.92,311.24,,1,86
BO,20260607,7,bo_r07_006_tl6_dt152_ge49_qr94_tau74,6,152,49,0.94,0.74,474.92,307.35,0.91,0.09,10:1,459.69,,,474.92,307.35,,0,37
BO,20260607,8,bo_r08_001_tl69_dt140_ge15_qr22_tau83,69,140,15,0.22,0.83,368.92,439.94,0.91,0.09,10:1,375.38,,,368.92,439.94,,1,60
BO,20260607,8,bo_r08_002_tl69_dt140_ge15_qr20_tau83,69,140,15,0.2,0.83,368.92,439.94,0.91,0.09,10:1,375.38,,,368.92,439.94,,1,60
