method,seed,round,round_theta_index,theta_per_round,parameter_id,t_lead,delta_T_thr,G_ext,Q_ratio,tau,D_E_sec,D_G_sec,score,best_so_far,penalty,final_status,failure_reason,termination_reason,emergency_arrived,emergency_teleport,background_teleported,signal_event_count,stage2_hold_count,stage3_preemption_count,surrogate_mean,surrogate_ci_low,surrogate_ci_high,raw_ei_acquisition,acquisition,bo_selection_strategy,bo_candidate_source,bo_plateau_mode,essi_acquisition,essi_1,essi_2,essi_3,essi_4,essi_5,essi_6,essi_max,essi_mean,essi_log_max,dominant_essi_subspace,spatial_activation_score,raw_score,essi_log_max_ewma,essi_spc_status,essi_stop_recommended
BO,20260607,1,1,6,bo_r01_001_tl58_dt79_ge42_qr4_tau81,58,79,42,0.04,0.81,319.92,388.94,326.19,326.19,0.00,PASS,,recovery_timeout,True,False,0,445,1,33,-29610.95,-224308.46,165086.55,6.66,23.69,incumbent_exploitation,trust_region,False,15.94,5.08,3.31,4.13,3.17,15.94,6.04,15.94,6.28,2.76910039,5,0.669221,326.19,,,
BO,20260607,1,2,6,bo_r01_002_tl58_dt79_ge41_qr4_tau80,58,79,41,0.04,0.8,0.00,498.24,1000045.29,326.19,1000000.00,FAIL,emergency_stuck,emergency_stuck,False,False,0,246,1,22,-4081.66,-416331.49,408168.17,9.72,23.13,incumbent_exploitation,trust_region,False,15.24,4.88,3.17,3.97,3.02,15.24,5.72,15.24,6.00,2.72391555,5,0.654971,45.29,,,
BO,20260607,1,3,6,bo_r01_003_tl60_dt79_ge42_qr5_tau82,60,79,42,0.05,0.82,319.92,388.94,326.19,326.19,0.00,PASS,,recovery_timeout,True,False,0,445,1,33,-13398.66,-257326.22,230528.89,0.17,22.64,incumbent_exploitation,local,False,15.63,4.99,3.26,4.04,3.12,15.63,5.97,15.63,6.17,2.74911096,5,0.686415,326.19,,,
BO,20260607,1,4,6,bo_r01_004_tl60_dt78_ge42_qr3_tau81,60,78,42,0.03,0.81,319.92,388.94,326.19,326.19,0.00,PASS,,recovery_timeout,True,False,0,445,1,33,-3998.10,-320953.86,312957.65,9.53,22.41,incumbent_exploitation,local,False,15.13,4.86,3.17,3.93,3.01,15.13,5.72,15.13,5.97,2.71635724,5,0.670905,326.19,,,
BO,20260607,1,5,6,bo_r01_005_tl60_dt79_ge42_qr4_tau82,60,79,42,0.04,0.82,319.92,388.94,326.19,326.19,0.00,PASS,,recovery_timeout,True,False,0,445,1,33,-9217.51,-207193.25,188758.22,0.67,22.20,incumbent_exploitation,local,False,15.27,4.88,3.18,3.95,3.05,15.27,5.83,15.27,6.03,2.72606328,5,0.684015,326.19,,,
BO,20260607,1,6,6,bo_r01_006_tl60_dt83_ge42_qr5_tau81,60,83,42,0.05,0.81,319.92,388.94,326.19,326.19,0.00,PASS,,recovery_timeout,True,False,0,445,1,33,5824.27,-280224.88,291873.42,4.86,21.96,incumbent_exploitation,local,False,14.89,4.77,3.11,3.87,2.97,14.89,5.65,14.89,5.88,2.70089810,5,0.674254,326.19,,,
BO,20260607,2,1,6,bo_r02_001_tl57_dt82_ge46_qr6_tau83,57,82,46,0.06,0.83,0.00,473.05,1000043.00,326.19,1000000.00,FAIL,emergency_stuck,emergency_stuck,False,False,0,246,1,27,-310268.79,-1056425.35,435887.78,0.04,13.18,incumbent_exploitation,local,True,9.36,2.95,1.93,2.40,1.87,9.36,3.62,9.36,3.69,2.23600834,5,0.706253,43.00,,,
BO,20260607,2,2,6,bo_r02_002_tl59_dt75_ge46_qr2_tau83,59,75,46,0.02,0.83,927.92,303.29,871.14,326.19,0.00,PASS,,recovery_detected,True,False,0,732,1,62,-322252.72,-1066949.10,422443.65,0.23,13.17,incumbent_exploitation,local,True,9.30,2.96,1.94,2.40,1.86,9.30,3.58,9.30,3.67,2.22965864,5,0.702479,871.14,,,
BO,20260607,2,3,6,bo_r02_003_tl61_dt78_ge46_qr5_tau83,61,78,46,0.05,0.83,0.00,491.75,1000044.70,326.19,1000000.00,FAIL,emergency_stuck,emergency_stuck,False,False,0,166,1,23,-356888.26,-1114169.49,400392.98,0.08,13.16,incumbent_exploitation,local,True,9.43,3.01,1.97,2.43,1.90,9.43,3.65,9.43,3.73,2.24368660,5,0.712603,44.70,,,
BO,20260607,2,4,6,bo_r02_004_tl59_dt83_ge46_qr3_tau82,59,83,46,0.03,0.82,993.92,312.66,931.99,326.19,0.00,PASS,,recovery_timeout,True,False,0,585,1,66,-438550.20,-1183123.53,306023.13,0.45,13.10,incumbent_exploitation,local,True,9.11,2.91,1.90,2.36,1.82,9.11,3.49,9.11,3.60,2.20909411,5,0.691557,931.99,,,
