method,seed,round,round_theta_index,theta_per_round,parameter_id,t_lead,delta_T_thr,G_ext,Q_ratio,tau,D_E_sec,D_G_sec,score,best_so_far,penalty,final_status,failure_reason,termination_reason,emergency_arrived,emergency_teleport,background_teleported,signal_event_count,stage2_hold_count,stage3_preemption_count,surrogate_mean,surrogate_ci_low,surrogate_ci_high,raw_ei_acquisition,acquisition,bo_selection_strategy,bo_candidate_source,bo_plateau_mode,essi_acquisition,essi_1,essi_2,essi_3,essi_4,essi_5,essi_6,essi_max,essi_mean,essi_log_max,dominant_essi_subspace,spatial_activation_score,raw_score,essi_log_max_ewma,essi_spc_status,essi_stop_recommended
BO,20260607,1,1,6,bo_r01_001_tl57_dt90_ge42_qr9_tau88,57,90,42,0.09,0.88,319.92,388.94,326.19,326.19,0.00,PASS,,recovery_timeout,True,False,0,459,1,33,1567973.02,958195.69,2177750.35,0.00,17.50,stable_success_lattice,stable_success,True,13.24,4.05,2.69,3.33,2.66,13.24,5.28,13.24,5.21,2.58314312,5,0.753131,326.19,,,
BO,20260607,1,2,6,bo_r01_002_tl57_dt88_ge42_qr11_tau88,57,88,42,0.11,0.88,319.92,388.94,326.19,326.19,0.00,PASS,,recovery_timeout,True,False,0,454,1,33,1641767.93,1019308.72,2264227.14,0.00,17.14,stable_success_lattice,stable_success,True,13.05,3.98,2.65,3.28,2.63,13.05,5.22,13.05,5.13,2.56905655,5,0.758512,326.19,,,
BO,20260607,1,3,6,bo_r01_003_tl57_dt90_ge42_qr8_tau88,57,90,42,0.08,0.88,319.92,388.94,326.19,326.19,0.00,PASS,,recovery_timeout,True,False,0,459,1,33,1499302.12,910844.28,2087759.96,0.00,17.11,stable_success_lattice,stable_success,True,12.90,3.95,2.62,3.25,2.59,12.90,5.14,12.90,5.08,2.55748457,5,0.750731,326.19,,,
BO,20260607,1,4,6,bo_r01_004_tl56_dt87_ge42_qr13_tau88,56,87,42,0.13,0.88,319.92,388.94,326.19,326.19,0.00,PASS,,recovery_timeout,True,False,0,453,1,33,1632514.88,1011341.89,2253687.87,0.00,16.79,stable_success_lattice,stable_success,True,12.84,3.90,2.59,3.22,2.58,12.84,5.15,12.84,5.05,2.55272245,5,0.761704,326.19,,,
BO,20260607,1,5,6,bo_r01_005_tl57_dt88_ge42_qr10_tau88,57,88,42,0.1,0.88,319.92,388.94,326.19,326.19,0.00,PASS,,recovery_timeout,True,False,0,454,1,33,1611235.55,1014184.29,2208286.82,0.00,16.78,stable_success_lattice,stable_success,True,12.74,3.89,2.58,3.21,2.56,12.74,5.09,12.74,5.01,2.54497838,5,0.756112,326.19,,,
BO,20260607,1,6,6,bo_r01_006_tl57_dt88_ge42_qr8_tau88,57,88,42,0.08,0.88,319.92,388.94,326.19,326.19,0.00,PASS,,recovery_timeout,True,False,0,454,1,33,1490357.11,935532.01,2045182.22,0.00,16.78,stable_success_lattice,stable_success,True,12.66,3.88,2.57,3.19,2.55,12.66,5.04,12.66,4.98,2.53860987,5,0.751312,326.19,,,
BO,20260607,2,1,6,bo_r02_001_tl57_dt88_ge42_qr9_tau88,57,88,42,0.09,0.88,319.92,388.94,326.19,326.19,0.00,PASS,,recovery_timeout,True,False,0,454,1,33,-3230.44,-25127.10,18666.22,0.00,16.66,stable_success_lattice,stable_success,True,12.61,3.86,2.56,3.18,2.54,12.61,5.03,12.61,4.96,2.53462843,5,0.753712,326.19,,,
BO,20260607,2,2,6,bo_r02_002_tl57_dt86_ge42_qr11_tau88,57,86,42,0.11,0.88,319.92,388.94,326.19,326.19,0.00,PASS,,recovery_timeout,True,False,0,450,1,33,-6746.07,-74802.45,61310.31,0.00,16.47,stable_success_lattice,stable_success,True,12.56,3.83,2.55,3.16,2.53,12.56,5.02,12.56,4.94,2.53019290,5,0.759092,326.19,,,
BO,20260607,2,3,6,bo_r02_003_tl56_dt75_ge42_qr13_tau89,56,75,42,0.13,0.89,319.92,388.56,326.16,326.16,0.00,PASS,,recovery_timeout,True,False,0,468,1,33,-379016.61,-861525.45,103492.24,23.90,16.23,stable_success_lattice,stable_success,True,12.65,3.83,2.55,3.16,2.55,12.65,5.10,12.65,4.97,2.53755712,5,0.776187,326.16,,,
BO,20260607,2,4,6,bo_r02_004_tl56_dt85_ge42_qr13_tau88,56,85,42,0.13,0.88,319.92,388.94,326.19,326.16,0.00,PASS,,recovery_timeout,True,False,0,449,1,33,-21613.75,-117874.74,74647.24,0.05,16.21,stable_success_lattice,stable_success,True,12.41,3.77,2.51,3.11,2.50,12.41,4.97,12.41,4.88,2.51823150,5,0.762285,326.19,,,
BO,20260607,2,5,6,bo_r02_005_tl56_dt76_ge42_qr13_tau89,56,76,42,0.13,0.89,319.92,388.94,326.19,326.16,0.00,PASS,,recovery_timeout,True,False,0,445,1,33,-333893.64,-791488.11,123700.83,20.35,16.11,stable_success_lattice,stable_success,True,12.55,3.80,2.53,3.14,2.53,12.55,5.06,12.55,4.94,2.52982973,5,0.775896,326.19,,,
BO,20260607,2,6,6,bo_r02_006_tl57_dt86_ge42_qr10_tau88,57,86,42,0.1,0.88,319.92,388.94,326.19,326.16,0.00,PASS,,recovery_timeout,True,False,0,450,1,33,14118.90,-44766.89,73004.69,0.00,16.10,stable_success_lattice,stable_success,True,12.24,3.74,2.48,3.08,2.46,12.24,4.89,12.24,4.81,2.50433270,5,0.756692,326.19,,,
BO,20260607,3,1,6,bo_r03_001_tl62_dt83_ge42_qr13_tau89,62,83,42,0.13,0.89,319.92,388.94,326.19,326.16,0.00,PASS,,recovery_timeout,True,False,0,445,1,33,37612.77,-504954.14,580179.68,7.72,23.88,stable_success_lattice,stable_success,True,18.82,5.81,3.86,4.74,3.82,18.82,7.58,18.82,7.44,2.93514239,5,0.785249,326.19,,,
BO,20260607,3,2,6,bo_r03_002_tl64_dt83_ge42_qr13_tau89,64,83,42,0.13,0.89,319.92,388.94,326.19,326.16,0.00,PASS,,recovery_timeout,True,False,0,445,1,33,175486.74,-501442.57,852416.06,8.54,23.62,stable_success_lattice,stable_success,True,18.70,5.81,3.85,4.72,3.81,18.70,7.53,18.70,7.40,2.92868612,5,0.789044,326.19,,,
BO,20260607,3,3,6,bo_r03_003_tl62_dt83_ge42_qr12_tau89,62,83,42,0.12,0.89,319.92,388.94,326.19,326.16,0.00,PASS,,recovery_timeout,True,False,0,445,1,33,27693.47,-490982.97,546369.91,7.53,22.77,stable_success_lattice,stable_success,True,17.89,5.53,3.67,4.51,3.63,17.89,7.20,17.89,7.07,2.88440718,5,0.782849,326.19,,,
BO,20260607,3,4,6,bo_r03_004_tl62_dt81_ge42_qr13_tau89,62,81,42,0.13,0.89,319.92,388.94,326.19,326.16,0.00,PASS,,recovery_timeout,True,False,0,445,1,33,85068.48,-458834.62,628971.58,7.12,22.58,stable_success_lattice,stable_success,True,17.81,5.50,3.65,4.48,3.62,17.81,7.18,17.81,7.04,2.87987443,5,0.785829,326.19,,,
BO,20260607,3,5,6,bo_r03_005_tl64_dt83_ge42_qr12_tau89,64,83,42,0.12,0.89,319.92,388.94,326.19,326.16,0.00,PASS,,recovery_timeout,True,False,0,445,1,33,170293.90,-487837.97,828425.77,8.15,22.49,stable_success_lattice,stable_success,True,17.76,5.52,3.66,4.48,3.61,17.76,7.14,17.76,7.03,2.87681409,5,0.786644,326.19,,,
BO,20260607,3,6,6,bo_r03_006_tl64_dt81_ge42_qr13_tau89,64,81,42,0.13,0.89,319.92,388.94,326.19,326.16,0.00,PASS,,recovery_timeout,True,False,0,445,1,33,217884.17,-457848.68,893617.03,7.88,22.30,stable_success_lattice,stable_success,True,17.67,5.49,3.64,4.46,3.60,17.67,7.12,17.67,7.00,2.87204982,5,0.789624,326.19,,,
BO,20260607,4,1,6,bo_r04_001_tl60_dt83_ge42_qr13_tau89,60,83,42,0.13,0.89,319.92,388.94,326.19,326.16,0.00,PASS,,recovery_timeout,True,False,0,445,1,33,-38742.19,-128506.80,51022.42,0.00,22.00,stable_success_lattice,stable_success,True,17.26,5.29,3.52,4.33,3.50,17.26,6.95,17.26,6.81,2.84814202,5,0.781454,326.19,,,
BO,20260607,4,2,6,bo_r04_002_tl60_dt79_ge42_qr13_tau89,60,79,42,0.13,0.89,319.92,388.94,326.19,326.16,0.00,PASS,,recovery_timeout,True,False,0,445,1,33,5539.91,-95468.39,106548.22,0.00,21.85,stable_success_lattice,stable_success,True,17.17,5.26,3.50,4.31,3.48,17.17,6.92,17.17,6.77,2.84300334,5,0.782615,326.19,,,
BO,20260607,4,3,6,bo_r04_003_tl60_dt81_ge42_qr13_tau89,60,81,42,0.13,0.89,319.92,388.94,326.19,326.16,0.00,PASS,,recovery_timeout,True,False,0,445,1,33,-23159.78,-112093.92,65774.36,0.00,21.85,stable_success_lattice,stable_success,True,17.15,5.26,3.50,4.31,3.48,17.15,6.91,17.15,6.77,2.84226151,5,0.782035,326.19,,,
BO,20260607,4,4,6,bo_r04_004_tl60_dt78_ge42_qr13_tau89,60,78,42,0.13,0.89,319.92,388.94,326.19,326.16,0.00,PASS,,recovery_timeout,True,False,0,445,1,33,24485.89,-90333.72,139305.51,0.00,21.66,stable_success_lattice,stable_success,True,17.02,5.22,3.47,4.28,3.45,17.02,6.86,17.02,6.72,2.83467335,5,0.782905,326.19,,,
BO,20260607,4,5,6,bo_r04_005_tl62_dt81_ge42_qr12_tau89,62,81,42,0.12,0.89,319.92,388.94,326.19,326.16,0.00,PASS,,recovery_timeout,True,False,0,445,1,33,4121.55,-34999.04,43242.14,0.00,21.40,stable_success_lattice,stable_success,True,16.83,5.20,3.45,4.24,3.42,16.83,6.77,16.83,6.65,2.82312495,5,0.783429,326.19,,,
BO,20260607,4,6,6,bo_r04_006_tl60_dt83_ge42_qr12_tau89,60,83,42,0.12,0.89,319.92,388.94,326.19,326.16,0.00,PASS,,recovery_timeout,True,False,0,445,1,33,-37274.59,-122156.93,47607.76,0.00,21.35,stable_success_lattice,stable_success,True,16.70,5.12,3.40,4.20,3.38,16.70,6.72,16.70,6.59,2.81530699,5,0.779054,326.19,,,
BO,20260607,5,1,6,bo_r05_001_tl62_dt79_ge42_qr13_tau89,62,79,42,0.13,0.89,319.92,388.94,326.19,326.16,0.00,PASS,,recovery_timeout,True,False,0,445,1,33,1920.32,-33595.54,37436.19,0.00,21.35,stable_success_lattice,stable_success,True,16.85,5.20,3.45,4.24,3.42,16.85,6.79,16.85,6.66,2.82450705,5,0.786410,326.19,,,
