method,seed,round,round_theta_index,theta_per_round,parameter_id,t_lead,delta_T_thr,G_ext,Q_ratio,tau,D_E_sec,D_G_sec,score,best_so_far,penalty,final_status,failure_reason,termination_reason,emergency_arrived,emergency_teleport,background_teleported,signal_event_count,stage2_hold_count,stage3_preemption_count,surrogate_mean,surrogate_ci_low,surrogate_ci_high,raw_ei_acquisition,acquisition,bo_selection_strategy,bo_candidate_source,bo_plateau_mode,essi_acquisition,essi_1,essi_2,essi_3,essi_4,essi_5,essi_6,essi_max,essi_mean,essi_log_max,dominant_essi_subspace,spatial_activation_score,raw_score,essi_log_max_ewma,essi_spc_status,essi_stop_recommended
BO,20260607,1,1,6,bo_r01_001_tl48_dt75_ge42_qr13_tau89,48,75,42,0.13,0.89,319.92,388.56,326.16,326.16,0.00,PASS,,recovery_timeout,True,False,0,468,1,33,30076.75,-266074.04,326227.54,3.33,10.60,stable_success_lattice,stable_success,True,8.10,2.38,1.60,2.01,1.62,8.10,3.27,8.10,3.16,2.09226669,5,0.761008,326.16,,,
BO,20260607,1,2,6,bo_r01_002_tl48_dt75_ge42_qr13_tau87,48,75,42,0.13,0.87,319.92,388.56,326.16,326.16,0.00,PASS,,recovery_timeout,True,False,0,468,1,33,362613.86,72720.59,652507.12,0.21,10.60,stable_success_lattice,stable_success,True,7.87,2.33,1.56,1.96,1.56,7.87,3.14,7.87,3.07,2.06293157,5,0.739008,326.16,,,
BO,20260607,1,3,6,bo_r01_003_tl47_dt77_ge42_qr13_tau89,47,77,42,0.13,0.89,319.92,388.94,326.19,326.16,0.00,PASS,,recovery_timeout,True,False,0,445,1,33,-116548.40,-377939.79,144843.00,5.30,10.45,stable_success_lattice,stable_success,True,7.96,2.33,1.57,1.97,1.59,7.96,3.21,7.96,3.10,2.07439556,5,0.758530,326.19,,,
BO,20260607,1,4,6,bo_r01_004_tl47_dt77_ge42_qr13_tau87,47,77,42,0.13,0.87,319.92,388.94,326.19,326.16,0.00,PASS,,recovery_timeout,True,False,0,445,1,33,277949.30,24510.32,531388.29,0.19,10.45,stable_success_lattice,stable_success,True,7.73,2.28,1.53,1.92,1.53,7.73,3.09,7.73,3.01,2.04496319,5,0.736530,326.19,,,
BO,20260607,1,5,6,bo_r01_005_tl48_dt75_ge42_qr13_tau88,48,75,42,0.13,0.88,319.92,388.56,326.16,326.16,0.00,PASS,,recovery_timeout,True,False,0,468,1,33,167293.13,-99768.02,434354.29,0.93,10.41,stable_success_lattice,stable_success,True,7.84,2.31,1.55,1.95,1.56,7.84,3.15,7.84,3.06,2.05930953,5,0.750008,326.16,,,
BO,20260607,1,6,6,bo_r01_006_tl47_dt78_ge42_qr13_tau89,47,78,42,0.13,0.89,319.92,388.94,326.19,326.16,0.00,PASS,,recovery_timeout,True,False,0,445,1,33,-173706.18,-421507.80,74095.43,6.43,10.25,stable_success_lattice,stable_success,True,7.81,2.29,1.54,1.93,1.56,7.81,3.15,7.81,3.04,2.05511766,5,0.758240,326.19,,,
BO,20260607,2,1,6,bo_r02_001_tl48_dt71_ge42_qr16_tau86,48,71,42,0.16,0.86,0.00,494.03,1000044.91,326.16,1000000.00,FAIL,emergency_stuck,emergency_stuck,False,False,0,513,1,21,384565.49,10285.27,758845.71,1.00,15.03,stable_success_lattice,stable_success,True,11.12,3.30,2.20,2.77,2.21,11.12,4.43,11.12,4.34,2.40868587,5,0.736369,44.91,,,
BO,20260607,2,2,6,bo_r02_002_tl48_dt71_ge42_qr15_tau86,48,71,42,0.15,0.86,0.00,494.03,1000044.91,326.16,1000000.00,FAIL,emergency_stuck,emergency_stuck,False,False,0,513,1,21,333044.81,50070.86,616018.77,0.60,14.82,stable_success_lattice,stable_success,True,10.93,3.24,2.17,2.73,2.17,10.93,4.35,10.93,4.26,2.39129697,5,0.733969,44.91,,,
BO,20260607,2,3,6,bo_r02_003_tl48_dt71_ge42_qr16_tau87,48,71,42,0.16,0.87,0.00,494.03,1000044.91,326.16,1000000.00,FAIL,emergency_stuck,emergency_stuck,False,False,0,513,1,21,220045.61,-135283.08,575374.30,2.35,14.55,stable_success_lattice,stable_success,True,10.92,3.23,2.16,2.72,2.17,10.92,4.38,10.92,4.26,2.39074659,5,0.747369,44.91,,,
BO,20260607,2,4,6,bo_r02_004_tl48_dt73_ge42_qr16_tau86,48,73,42,0.16,0.86,0.00,494.04,1000044.91,326.16,1000000.00,FAIL,emergency_stuck,emergency_stuck,False,False,0,489,1,21,336485.54,-3996.03,676967.10,1.09,14.38,stable_success_lattice,stable_success,True,10.63,3.15,2.10,2.65,2.11,10.63,4.24,10.63,4.15,2.36343377,5,0.735788,44.91,,,
BO,20260607,2,5,6,bo_r02_005_tl48_dt71_ge42_qr14_tau86,48,71,42,0.14,0.86,0.00,494.03,1000044.91,326.16,1000000.00,FAIL,emergency_stuck,emergency_stuck,False,False,0,513,1,21,289543.75,78658.45,500429.05,0.28,14.35,stable_success_lattice,stable_success,True,10.54,3.13,2.09,2.63,2.09,10.54,4.19,10.54,4.12,2.35556869,5,0.731569,44.91,,,
BO,20260607,2,6,6,bo_r02_006_tl48_dt73_ge42_qr16_tau87,48,73,42,0.16,0.87,0.00,494.04,1000044.91,326.16,1000000.00,FAIL,emergency_stuck,emergency_stuck,False,False,0,489,1,21,132194.11,-189334.25,453722.47,3.09,14.24,stable_success_lattice,stable_success,True,10.68,3.16,2.11,2.66,2.13,10.68,4.28,10.68,4.17,2.36844890,5,0.746788,44.91,,,
BO,20260607,3,1,6,bo_r03_001_tl48_dt71_ge42_qr10_tau88,48,71,42,0.1,0.88,0.00,494.03,1000044.91,326.16,1000000.00,FAIL,emergency_stuck,emergency_stuck,False,False,0,513,1,21,782821.38,547132.91,1018509.85,0.00,9.21,stable_success_lattice,stable_success,True,6.88,2.04,1.36,1.71,1.37,6.88,2.75,6.88,2.69,1.92881871,5,0.743969,44.91,,,
BO,20260607,3,2,6,bo_r03_002_tl47_dt73_ge42_qr10_tau87,47,73,42,0.1,0.87,0.00,494.04,1000044.91,326.16,1000000.00,FAIL,emergency_stuck,emergency_stuck,False,False,0,489,1,21,425515.89,231459.72,619572.06,0.00,8.89,stable_success_lattice,stable_success,True,6.52,1.93,1.29,1.63,1.29,6.52,2.60,6.52,2.54,1.87550363,5,0.730491,44.91,,,
BO,20260607,3,3,6,bo_r03_003_tl47_dt74_ge42_qr10_tau86,47,74,42,0.1,0.86,319.92,388.56,326.16,326.16,0.00,PASS,,recovery_timeout,True,False,0,478,1,33,240314.40,35460.17,445168.63,0.00,8.89,stable_success_lattice,stable_success,True,6.42,1.91,1.27,1.61,1.27,6.42,2.54,6.42,2.50,1.85983671,5,0.719201,326.16,,,
BO,20260607,3,4,6,bo_r03_004_tl47_dt73_ge42_qr10_tau88,47,73,42,0.1,0.88,0.00,494.04,1000044.91,326.16,1000000.00,FAIL,emergency_stuck,emergency_stuck,False,False,0,489,1,21,489633.94,298290.28,680977.60,0.00,8.74,stable_success_lattice,stable_success,True,6.51,1.92,1.29,1.62,1.29,6.51,2.61,6.51,2.54,1.87362955,5,0.741491,44.91,,,
BO,20260607,3,5,6,bo_r03_005_tl47_dt73_ge42_qr10_tau86,47,73,42,0.1,0.86,0.00,494.04,1000044.91,326.16,1000000.00,FAIL,emergency_stuck,emergency_stuck,False,False,0,489,1,21,410072.26,186803.37,633341.16,0.00,8.65,stable_success_lattice,stable_success,True,6.26,1.86,1.24,1.57,1.24,6.26,2.48,6.26,2.44,1.83378851,5,0.719491,44.91,,,
BO,20260607,3,6,6,bo_r03_006_tl48_dt79_ge42_qr13_tau88,48,79,42,0.13,0.88,319.92,388.94,326.19,326.16,0.00,PASS,,recovery_timeout,True,False,0,445,1,33,-951.76,-58100.03,56196.50,0.00,8.56,stable_success_lattice,stable_success,True,6.44,1.90,1.27,1.60,1.28,6.44,2.58,6.44,2.51,1.86219807,5,0.748847,326.19,,,
