input_method,input_seed,input_round,input_parameter_id,input_t_lead,input_delta_T_thr,input_G_ext,input_Q_ratio,input_tau,output_delay_A_sec,output_delay_N_sec,weight_A,weight_N,weight_ratio,score,measured_T_free_EMV_sec,measured_T_actual_EMV_sec,measured_d_EMV_sec,measured_d_veh_sec,measured_general_mean_travel_time_sec,stage2_on_count,stage3_on_count
Random Search,20260607,1,rs_r01_001_tl48_dt220_ge9_qr22_tau77,48,220,9,0.22,0.77,288.92,87.55,10.00,1.00,10:1,270.61,219.08016,508.0,288.91984,87.551169,153.329327,1,69
Random Search,20260607,2,rs_r02_001_tl30_dt8_ge26_qr51_tau79,30,8,26,0.51,0.79,170.92,83.30,10.00,1.00,10:1,162.95,219.08016,390.0,170.91984,83.296146,139.264398,0,19
Random Search,20260607,3,rs_r03_001_tl91_dt34_ge11_qr77_tau83,91,34,11,0.77,0.83,113.92,73.61,10.00,1.00,10:1,110.26,219.08016,333.0,113.91984,73.611611,140.253731,0,37
Random Search,20260607,4,rs_r04_001_tl118_dt71_ge29_qr60_tau90,118,71,29,0.6,0.9,179.92,78.88,10.00,1.00,10:1,170.73,219.08016,399.0,179.91984,78.879086,145.099751,0,31
CMA-ES,20260607,1,cma_r01_001_tl34_dt25_ge1_qr76_tau84,34,25,1,0.76,0.84,158.92,73.97,10.00,1.00,10:1,151.20,219.08016,378.0,158.91984,73.973197,141.387574,0,46
CMA-ES,20260607,2,cma_r02_001_tl62_dt161_ge20_qr0_tau90,62,161,20,0.0,0.9,355.92,89.05,10.00,1.00,10:1,331.66,219.08016,575.0,355.91984,89.047989,180.414634,1,58
CMA-ES,20260607,3,cma_r03_001_tl37_dt202_ge8_qr64_tau71,37,202,8,0.64,0.71,238.92,96.84,10.00,1.00,10:1,226.00,219.08016,458.0,238.91984,96.837803,157.250639,0,63
CMA-ES,20260607,4,cma_r04_001_tl46_dt177_ge39_qr53_tau72,46,177,39,0.53,0.72,274.92,81.03,10.00,1.00,10:1,257.29,219.08016,494.0,274.91984,81.030515,156.880952,0,32
BO,20260607,1,bo_init_001_tl50_dt212_ge40_qr62_tau90,50,212,40,0.62,0.9,362.92,83.43,10.00,1.00,10:1,337.51,219.08016,582.0,362.91984,83.431781,169.892644,0,40
BO,20260607,2,bo_init_001_tl120_dt59_ge19_qr20_tau87,120,59,19,0.2,0.87,195.92,84.11,10.00,1.00,10:1,185.76,219.08016,415.0,195.91984,84.112833,141.147059,1,41
BO,20260607,3,bo_r03_001_tl110_dt39_ge14_qr28_tau81,110,39,14,0.28,0.81,141.92,87.14,10.00,1.00,10:1,136.94,219.08016,361.0,141.91984,87.138603,136.303835,1,35
BO,20260607,4,bo_r04_001_tl90_dt108_ge39_qr93_tau89,90,108,39,0.93,0.89,290.92,83.49,10.00,1.00,10:1,272.06,219.08016,510.0,290.91984,83.487588,142.302885,0,34
