method,seed,round,round_theta_index,theta_per_round,parameter_id,t_lead,delta_T_thr,G_ext,Q_ratio,tau,delay_A,delay_N,score,best_so_far,penalty,final_status,failure_reason,termination_reason,emergency_arrived,emergency_teleport,background_teleported,signal_event_count,stage2_hold_count,stage3_preemption_count,surrogate_mean,surrogate_ci_low,surrogate_ci_high,acquisition,essi_acquisition,essi_1,essi_2,essi_3,essi_4,essi_5,essi_6,essi_max,essi_mean,essi_log_max,dominant_essi_subspace,spatial_activation_score,raw_score,essi_log_max_ewma,essi_spc_status,essi_stop_recommended
CMA-ES,20260607,1,1,6,cma_r01_001_tl34_dt25_ge1_qr76_tau84,34,25,1,0.76,0.84,158.92,73.97,151.20,151.20,0.00,PASS,,recovery_detected,True,False,0,2599,0,46,,,,,,,,,,,,,,,,,151.20,,,
CMA-ES,20260607,1,2,6,cma_r01_002_tl62_dt161_ge20_qr0_tau90,62,161,20,0.0,0.9,495.92,92.10,459.21,151.20,0.00,PASS,,recovery_detected,True,False,0,587,1,69,,,,,,,,,,,,,,,,,459.21,,,
CMA-ES,20260607,1,3,6,cma_r01_003_tl37_dt202_ge8_qr64_tau71,37,202,8,0.64,0.71,281.92,90.01,264.47,151.20,0.00,PASS,,recovery_detected,True,False,0,715,0,70,,,,,,,,,,,,,,,,,264.47,,,
CMA-ES,20260607,1,4,6,cma_r01_004_tl46_dt177_ge39_qr53_tau72,46,177,39,0.53,0.72,274.92,81.03,257.29,151.20,0.00,PASS,,recovery_detected,True,False,0,245,0,32,,,,,,,,,,,,,,,,,257.29,,,
CMA-ES,20260607,1,5,6,cma_r01_005_tl27_dt216_ge25_qr60_tau87,27,216,25,0.6,0.87,181.92,77.39,172.42,151.20,0.00,PASS,,recovery_detected,True,False,0,429,0,37,,,,,,,,,,,,,,,,,172.42,,,
CMA-ES,20260607,1,6,6,cma_r01_006_tl96_dt196_ge43_qr0_tau75,96,196,43,0.0,0.75,217.92,82.47,205.61,151.20,0.00,PASS,,recovery_detected,True,False,0,273,1,29,,,,,,,,,,,,,,,,,205.61,,,
CMA-ES,20260607,2,1,6,cma_r02_001_tl52_dt120_ge13_qr79_tau82,52,120,13,0.79,0.82,309.92,89.75,289.90,151.20,0.00,PASS,,recovery_detected,True,False,0,579,0,62,,,,,,,,,,,,,,,,,289.90,,,
CMA-ES,20260607,2,2,6,cma_r02_002_tl10_dt50_ge12_qr90_tau84,10,50,12,0.9,0.84,182.92,80.87,173.64,151.20,0.00,PASS,,recovery_detected,True,False,0,1437,0,44,,,,,,,,,,,,,,,,,173.64,,,
CMA-ES,20260607,2,3,6,cma_r02_003_tl40_dt105_ge31_qr13_tau78,40,105,31,0.13,0.78,194.92,91.82,185.55,151.20,0.00,PASS,,recovery_detected,True,False,0,313,1,32,,,,,,,,,,,,,,,,,185.55,,,
CMA-ES,20260607,2,4,6,cma_r02_004_tl24_dt167_ge17_qr99_tau82,24,167,17,0.99,0.82,297.92,90.00,279.02,151.20,0.00,PASS,,recovery_detected,True,False,0,678,0,54,,,,,,,,,,,,,,,,,279.02,,,
CMA-ES,20260607,2,5,6,cma_r02_005_tl60_dt6_ge11_qr71_tau81,60,6,11,0.71,0.81,181.92,95.17,174.03,151.20,0.00,PASS,,recovery_detected,True,False,0,4138,0,20,,,,,,,,,,,,,,,,,174.03,,,
CMA-ES,20260607,2,6,6,cma_r02_006_tl52_dt1_ge20_qr49_tau72,52,1,20,0.49,0.72,264.92,89.58,248.98,151.20,0.00,PASS,,recovery_detected,True,False,0,4656,0,18,,,,,,,,,,,,,,,,,248.98,,,
CMA-ES,20260607,3,1,6,cma_r03_001_tl31_dt95_ge24_qr58_tau86,31,95,24,0.58,0.86,307.92,129.82,291.73,151.20,0.00,PASS,,recovery_detected,True,False,0,717,0,44,,,,,,,,,,,,,,,,,291.73,,,
CMA-ES,20260607,3,2,6,cma_r03_002_tl53_dt99_ge28_qr75_tau87,53,99,28,0.75,0.87,215.92,105.48,205.88,151.20,0.00,PASS,,recovery_detected,True,False,0,299,0,36,,,,,,,,,,,,,,,,,205.88,,,
CMA-ES,20260607,3,3,6,cma_r03_003_tl58_dt5_ge9_qr81_tau81,58,5,9,0.81,0.81,264.92,127.40,252.42,151.20,0.00,PASS,,recovery_detected,True,False,0,4853,0,21,,,,,,,,,,,,,,,,,252.42,,,
CMA-ES,20260607,3,4,6,cma_r03_004_tl2_dt119_ge9_qr88_tau86,2,119,9,0.88,0.86,232.92,107.35,221.50,151.20,0.00,PASS,,recovery_detected,True,False,0,847,0,57,,,,,,,,,,,,,,,,,221.50,,,
CMA-ES,20260607,3,5,6,cma_r03_005_tl76_dt23_ge28_qr99_tau82,76,23,28,0.99,0.82,177.92,112.28,171.95,151.20,0.00,PASS,,recovery_detected,True,False,0,2762,0,24,,,,,,,,,,,,,,,,,171.95,,,
CMA-ES,20260607,3,6,6,cma_r03_006_tl64_dt60_ge28_qr19_tau80,64,60,28,0.19,0.8,157.92,104.40,153.05,151.20,0.00,PASS,,recovery_detected,True,False,0,731,1,29,,,,,,,,,,,,,,,,,153.05,,,
