method,seed,round,parameter_id,t_lead,delta_T_thr,G_ext,Q_ratio,tau,delay_A,delay_N,score,best_so_far,penalty,final_status,failure_reason,termination_reason,emergency_arrived,emergency_teleport,background_teleported,signal_event_count,stage2_hold_count,stage3_preemption_count,surrogate_mean,surrogate_ci_low,surrogate_ci_high,acquisition,essi_max,essi_log_max_ewma,essi_spc_status
Random Search,20260607,1,rs_r01_001_tl48_dt220_ge9_qr22_tau77,48,220,9,0.22,0.77,403.92,86.50,375.06,375.06,0.00,PASS,,recovery_detected,True,False,0,737,2,83,,,,,,,
Random Search,20260607,2,rs_r02_001_tl30_dt8_ge26_qr51_tau79,30,8,26,0.51,0.79,262.92,83.66,246.62,246.62,0.00,PASS,,recovery_detected,True,False,0,4342,0,15,,,,,,,
Random Search,20260607,3,rs_r03_001_tl91_dt34_ge11_qr77_tau83,91,34,11,0.77,0.83,235.92,90.53,222.70,222.70,0.00,PASS,,recovery_detected,True,False,0,2626,0,40,,,,,,,
Random Search,20260607,4,rs_r04_001_tl118_dt71_ge29_qr60_tau90,118,71,29,0.6,0.9,307.92,82.79,287.45,222.70,0.00,PASS,,recovery_detected,True,False,0,506,0,39,,,,,,,
CMA-ES,20260607,1,cma_r01_001_tl34_dt25_ge1_qr76_tau84,34,25,1,0.76,0.84,175.92,89.79,168.09,168.09,0.00,PASS,,recovery_detected,True,False,0,2399,0,53,,,,,,,
CMA-ES,20260607,2,cma_r02_001_tl62_dt161_ge20_qr0_tau90,62,161,20,0.0,0.9,329.92,100.00,309.02,168.09,0.00,PASS,,recovery_detected,True,False,0,430,2,55,,,,,,,
CMA-ES,20260607,3,cma_r03_001_tl37_dt202_ge8_qr64_tau71,37,202,8,0.64,0.71,413.92,93.08,384.75,168.09,0.00,PASS,,recovery_detected,True,False,0,681,0,89,,,,,,,
CMA-ES,20260607,4,cma_r04_001_tl46_dt177_ge39_qr53_tau72,46,177,39,0.53,0.72,0.00,95.18,1000008.65,168.09,1000000.00,FAIL,emergency_stuck,emergency_stuck,False,False,0,209,0,34,,,,,,,
BO,20260607,1,bo_init_001_tl50_dt212_ge40_qr62_tau90,50,212,40,0.62,0.9,468.92,89.84,434.46,434.46,0.00,PASS,,recovery_detected,True,False,0,418,0,43,,,,,0.00,-27.63102112,warmup
BO,20260607,2,bo_init_001_tl120_dt59_ge19_qr20_tau87,120,59,19,0.2,0.87,298.92,93.16,280.21,280.21,0.00,PASS,,recovery_detected,True,False,0,900,2,52,,,,,11.41,-18.61129951,warmup
BO,20260607,3,bo_r03_001_tl110_dt39_ge14_qr28_tau81,110,39,14,0.28,0.81,215.92,95.78,205.00,205.00,0.00,PASS,,recovery_detected,True,False,0,2308,2,39,336.89,191.13,482.65,9.38,6.91,-12.44812927,warmup
BO,20260607,4,bo_r04_001_tl0_dt20_ge12_qr70_tau77,0,20,12,0.7,0.77,174.92,89.14,167.12,167.12,0.00,PASS,,recovery_detected,True,False,0,3371,0,27,306.56,119.35,493.76,6.91,8.04,-8.08846293,warmup
