input_method,input_seed,input_round,input_parameter_id,input_t_lead,input_delta_T_thr,input_G_ext,input_Q_ratio,input_tau,output_delay_A_sec,output_delay_N_sec,weight_A,weight_N,weight_ratio,score,measured_T_free_EMV_sec,measured_T_actual_EMV_sec,measured_d_EMV_sec,measured_d_veh_sec,measured_general_mean_travel_time_sec,stage2_on_count,stage3_on_count
Random Search,20260607,1,rs_r01_001_tl48_dt220_ge9_qr22_tau77,48,220,9,0.22,0.77,288.92,87.55,10.00,1.00,10:1,270.61,219.08016,508.0,288.91984,87.551169,153.329327,1,69
Random Search,20260607,1,rs_r01_002_tl30_dt8_ge26_qr51_tau79,30,8,26,0.51,0.79,170.92,83.30,10.00,1.00,10:1,162.95,219.08016,390.0,170.91984,83.296146,139.264398,0,19
Random Search,20260607,1,rs_r01_003_tl91_dt34_ge11_qr77_tau83,91,34,11,0.77,0.83,113.92,73.61,10.00,1.00,10:1,110.26,219.08016,333.0,113.91984,73.611611,140.253731,0,37
Random Search,20260607,1,rs_r01_004_tl118_dt71_ge29_qr60_tau90,118,71,29,0.6,0.9,179.92,78.88,10.00,1.00,10:1,170.73,219.08016,399.0,179.91984,78.879086,145.099751,0,31
Random Search,20260607,1,rs_r01_005_tl107_dt138_ge6_qr99_tau73,107,138,6,0.99,0.73,381.92,99.74,10.00,1.00,10:1,356.27,219.08016,601.0,381.91984,99.743883,173.201195,0,91
Random Search,20260607,1,rs_r01_006_tl84_dt237_ge7_qr73_tau88,84,237,7,0.73,0.88,377.92,92.01,10.00,1.00,10:1,351.93,219.08016,597.0,377.91984,92.005774,179.846154,0,87
Random Search,20260607,2,rs_r02_001_tl88_dt16_ge37_qr2_tau84,88,16,37,0.02,0.84,138.92,83.54,10.00,1.00,10:1,133.89,219.08016,358.0,138.91984,83.542708,144.065015,1,18
Random Search,20260607,2,rs_r02_002_tl46_dt60_ge6_qr74_tau88,46,60,6,0.74,0.88,234.92,97.77,10.00,1.00,10:1,222.45,219.08016,454.0,234.91984,97.770417,163.060302,0,68
Random Search,20260607,2,rs_r02_003_tl91_dt77_ge6_qr38_tau74,91,77,6,0.38,0.74,280.92,90.14,10.00,1.00,10:1,263.58,219.08016,500.0,280.91984,90.135995,141.928747,0,76
Random Search,20260607,2,rs_r02_004_tl48_dt166_ge41_qr69_tau70,48,166,41,0.69,0.7,241.92,77.60,10.00,1.00,10:1,226.98,219.08016,461.0,241.91984,77.600402,134.731579,0,32
Random Search,20260607,2,rs_r02_005_tl35_dt206_ge47_qr60_tau90,35,206,47,0.6,0.9,196.92,81.91,10.00,1.00,10:1,186.46,219.08016,416.0,196.91984,81.905898,154.49,0,27
Random Search,20260607,2,rs_r02_006_tl89_dt204_ge2_qr49_tau75,89,204,2,0.49,0.75,327.92,102.55,10.00,1.00,10:1,307.43,219.08016,547.0,327.91984,102.549881,166.575949,0,105
Random Search,20260607,3,rs_r03_001_tl82_dt158_ge16_qr6_tau78,82,158,16,0.06,0.78,355.92,86.19,10.00,1.00,10:1,331.40,219.08016,575.0,355.91984,86.194824,169.25567,1,61
Random Search,20260607,3,rs_r03_002_tl41_dt37_ge24_qr52_tau88,41,37,24,0.52,0.88,139.92,86.36,10.00,1.00,10:1,135.05,219.08016,359.0,139.91984,86.363143,144.306548,0,32
