method,seed,round,round_theta_index,theta_per_round,parameter_id,t_lead,delta_T_thr,G_ext,Q_ratio,tau,D_E_sec,D_G_sec,score,best_so_far,penalty,final_status,failure_reason,termination_reason,emergency_arrived,emergency_teleport,background_teleported,signal_event_count,stage2_hold_count,stage3_preemption_count,surrogate_mean,surrogate_ci_low,surrogate_ci_high,raw_ei_acquisition,acquisition,bo_selection_strategy,bo_candidate_source,bo_plateau_mode,essi_acquisition,essi_1,essi_2,essi_3,essi_4,essi_5,essi_6,essi_max,essi_mean,essi_log_max,dominant_essi_subspace,spatial_activation_score
Random Search,20260607,1,1,6,rs_r01_001_tl48_dt220_ge9_qr22_tau77,48,220,9,0.22,0.77,290.92,453.97,305.74,305.74,0.00,PASS,,recovery_detected,True,False,0,418,1,66,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,1,2,6,rs_r01_002_tl30_dt8_ge26_qr51_tau79,30,8,26,0.51,0.79,315.92,445.16,327.67,305.74,0.00,PASS,,recovery_detected,True,False,0,4829,1,16,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,1,3,6,rs_r01_003_tl91_dt34_ge11_qr77_tau83,91,34,11,0.77,0.83,0.00,497.27,1000045.21,305.74,1000000.00,FAIL,emergency_stuck,emergency_stuck,False,False,0,2807,1,33,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,1,4,6,rs_r01_004_tl35_dt116_ge30_qr80_tau87,35,116,30,0.8,0.87,400.92,436.37,404.14,305.74,0.00,PASS,,recovery_detected,True,False,0,350,1,45,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,1,5,6,rs_r01_005_tl12_dt198_ge7_qr84_tau73,12,198,7,0.84,0.73,412.92,426.08,414.12,305.74,0.00,PASS,,recovery_detected,True,False,0,1401,1,88,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,1,6,6,rs_r01_006_tl73_dt146_ge44_qr8_tau88,73,146,44,0.08,0.88,0.00,487.23,1000044.29,305.74,1000000.00,FAIL,emergency_stuck,emergency_stuck,False,False,0,195,1,26,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,2,1,6,rs_r02_001_tl2_dt118_ge23_qr30_tau73,2,118,23,0.3,0.73,466.92,428.87,463.46,305.74,0.00,PASS,,recovery_detected,True,False,0,1286,1,57,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,2,2,6,rs_r02_002_tl74_dt148_ge45_qr38_tau73,74,148,45,0.38,0.73,0.00,486.66,1000044.24,305.74,1000000.00,FAIL,emergency_stuck,emergency_stuck,False,False,0,201,1,26,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,2,3,6,rs_r02_003_tl38_dt33_ge24_qr83_tau90,38,33,24,0.83,0.9,0.00,494.49,1000044.95,305.74,1000000.00,FAIL,emergency_stuck,emergency_stuck,False,False,0,2917,1,25,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,2,4,6,rs_r02_004_tl69_dt6_ge17_qr95_tau85,69,6,17,0.95,0.85,315.92,443.96,327.56,305.74,0.00,PASS,,recovery_detected,True,False,0,4894,0,15,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,2,5,6,rs_r02_005_tl80_dt178_ge2_qr49_tau75,80,178,2,0.49,0.75,441.92,426.72,440.54,305.74,0.00,PASS,,recovery_detected,True,False,0,1121,1,117,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,2,6,6,rs_r02_006_tl82_dt158_ge16_qr6_tau78,82,158,16,0.06,0.78,395.92,437.68,399.72,305.74,0.00,PASS,,recovery_detected,True,False,0,579,1,65,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,3,1,6,rs_r03_001_tl41_dt37_ge24_qr52_tau88,41,37,24,0.52,0.88,0.00,495.45,1000045.04,305.74,1000000.00,FAIL,emergency_stuck,emergency_stuck,False,False,0,2109,1,26,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,3,2,6,rs_r03_002_tl6_dt59_ge9_qr74_tau71,6,59,9,0.74,0.71,0.00,494.81,1000044.98,305.74,1000000.00,FAIL,emergency_stuck,emergency_stuck,False,False,0,1674,1,47,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,3,3,6,rs_r03_003_tl44_dt129_ge49_qr48_tau77,44,129,49,0.48,0.77,542.92,297.02,520.57,305.74,0.00,PASS,,recovery_timeout,True,False,0,315,1,40,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,3,4,6,rs_r03_004_tl83_dt83_ge12_qr55_tau89,83,83,12,0.55,0.89,323.92,451.12,335.48,305.74,0.00,PASS,,recovery_detected,True,False,0,617,1,64,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,3,5,6,rs_r03_005_tl24_dt204_ge7_qr96_tau84,24,204,7,0.96,0.84,282.92,451.05,298.20,298.20,0.00,PASS,,recovery_detected,True,False,0,680,0,72,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,3,6,6,rs_r03_006_tl100_dt73_ge16_qr56_tau88,100,73,16,0.56,0.88,0.00,488.64,1000044.42,298.20,1000000.00,FAIL,emergency_stuck,emergency_stuck,False,False,0,614,1,42,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,4,1,6,rs_r04_001_tl79_dt73_ge27_qr72_tau76,79,73,27,0.72,0.76,0.00,467.62,1000042.51,298.20,1000000.00,FAIL,emergency_stuck,emergency_stuck,False,False,0,639,1,40,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,4,2,6,rs_r04_002_tl49_dt80_ge2_qr65_tau75,49,80,2,0.65,0.75,272.92,459.57,289.89,289.89,0.00,PASS,,recovery_detected,True,False,0,849,1,86,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,4,3,6,rs_r04_003_tl102_dt25_ge35_qr32_tau88,102,25,35,0.32,0.88,0.00,501.86,1000045.62,289.89,1000000.00,FAIL,emergency_stuck,emergency_stuck,False,False,0,2511,1,15,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,4,4,6,rs_r04_004_tl60_dt138_ge9_qr43_tau72,60,138,9,0.43,0.72,336.92,440.72,346.36,289.89,0.00,PASS,,recovery_detected,True,False,0,632,1,75,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,4,5,6,rs_r04_005_tl109_dt176_ge0_qr10_tau89,109,176,0,0.1,0.89,348.92,435.24,356.77,289.89,0.00,PASS,,recovery_detected,True,False,0,905,1,116,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,4,6,6,rs_r04_006_tl106_dt160_ge15_qr11_tau84,106,160,15,0.11,0.84,293.92,435.42,306.78,289.89,0.00,PASS,,recovery_detected,True,False,0,450,1,52,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,5,1,6,rs_r05_001_tl39_dt184_ge5_qr22_tau85,39,184,5,0.22,0.85,377.92,431.42,382.78,289.89,0.00,PASS,,recovery_detected,True,False,0,973,1,95,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,5,2,6,rs_r05_002_tl87_dt127_ge33_qr6_tau90,87,127,33,0.06,0.9,539.92,305.26,518.59,289.89,0.00,PASS,,recovery_timeout,True,False,0,625,1,49,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,5,3,6,rs_r05_003_tl66_dt53_ge25_qr53_tau77,66,53,25,0.53,0.77,0.00,495.92,1000045.08,289.89,1000000.00,FAIL,emergency_stuck,emergency_stuck,False,False,0,1197,1,30,,,,,,,,,,,,,,,,,,,,
