method,seed,round,round_theta_index,theta_per_round,parameter_id,t_lead,delta_T_thr,G_ext,Q_ratio,tau,D_E_sec,D_G_sec,score,best_so_far,penalty,final_status,failure_reason,termination_reason,emergency_arrived,emergency_teleport,background_teleported,signal_event_count,stage2_hold_count,stage3_preemption_count,surrogate_mean,surrogate_ci_low,surrogate_ci_high,raw_ei_acquisition,acquisition,bo_selection_strategy,bo_candidate_source,bo_plateau_mode,essi_acquisition,essi_1,essi_2,essi_3,essi_4,essi_5,essi_6,essi_max,essi_mean,essi_log_max,dominant_essi_subspace,spatial_activation_score,raw_score,essi_log_max_ewma,essi_spc_status,essi_stop_recommended
CMA-ES,20260607,1,1,6,cma_r01_001_tl31_dt23_ge1_qr76_tau84,31,23,1,0.76,0.84,255.92,459.51,274.43,274.43,0.00,PASS,,recovery_detected,True,False,0,3169,1,51,,,,,,,,,,,,,,,,,,,,,274.43,,,
CMA-ES,20260607,1,2,6,cma_r01_002_tl57_dt148_ge20_qr0_tau90,57,148,20,0.0,0.9,589.92,297.29,563.32,274.43,0.00,PASS,,recovery_timeout,True,False,0,666,1,75,,,,,,,,,,,,,,,,,,,,,563.32,,,
CMA-ES,20260607,1,3,6,cma_r01_003_tl34_dt186_ge8_qr64_tau71,34,186,8,0.64,0.71,364.92,437.07,371.48,274.43,0.00,PASS,,recovery_detected,True,False,0,967,1,77,,,,,,,,,,,,,,,,,,,,,371.48,,,
CMA-ES,20260607,1,4,6,cma_r01_004_tl43_dt162_ge39_qr53_tau72,43,162,39,0.53,0.72,554.92,301.54,531.89,274.43,0.00,PASS,,recovery_timeout,True,False,0,409,1,46,,,,,,,,,,,,,,,,,,,,,531.89,,,
CMA-ES,20260607,1,5,6,cma_r01_005_tl25_dt198_ge25_qr60_tau87,25,198,25,0.6,0.87,619.92,302.46,591.06,274.43,0.00,PASS,,recovery_timeout,True,False,0,673,1,66,,,,,,,,,,,,,,,,,,,,,591.06,,,
CMA-ES,20260607,1,6,6,cma_r01_006_tl88_dt180_ge43_qr0_tau75,88,180,43,0.0,0.75,0.00,458.95,1000041.72,274.43,1000000.00,FAIL,emergency_stuck,emergency_stuck,False,False,0,191,1,32,,,,,,,,,,,,,,,,,,,,,41.72,,,
CMA-ES,20260607,2,1,6,cma_r02_001_tl29_dt75_ge13_qr61_tau76,29,75,13,0.61,0.76,0.00,491.52,1000044.68,274.43,1000000.00,FAIL,emergency_stuck,emergency_stuck,False,False,0,610,1,49,,,,,,,,,,,,,,,,,,,,,44.68,,,
CMA-ES,20260607,2,2,6,cma_r02_002_tl42_dt85_ge5_qr58_tau76,42,85,5,0.58,0.76,595.92,296.30,568.68,274.43,0.00,PASS,,recovery_timeout,True,False,0,1285,1,121,,,,,,,,,,,,,,,,,,,,,568.68,,,
CMA-ES,20260607,2,3,6,cma_r02_003_tl88_dt99_ge24_qr77_tau87,88,99,24,0.77,0.87,496.92,306.20,479.58,274.43,0.00,PASS,,recovery_timeout,True,False,0,606,1,58,,,,,,,,,,,,,,,,,,,,,479.58,,,
CMA-ES,20260607,2,4,6,cma_r02_004_tl44_dt104_ge10_qr67_tau70,44,104,10,0.67,0.7,344.92,440.22,353.58,274.43,0.00,PASS,,recovery_detected,True,False,0,727,1,70,,,,,,,,,,,,,,,,,,,,,353.58,,,
