input_method,input_seed,input_round,input_parameter_id,input_t_lead,input_delta_T_thr,input_G_ext,input_Q_ratio,input_tau,output_D_E_sec,output_D_G_sec,weight_E,weight_G,weight_ratio,score,measured_T_free_EMV_sec,measured_T_actual_EMV_sec,measured_D_E_sec,measured_D_G_sec,measured_general_mean_travel_time_sec,stage2_on_count,stage3_on_count
Random Search,20260607,1,rs_r01_001_tl48_dt220_ge9_qr22_tau77,48,220,9,0.22,0.77,290.92,453.97,0.91,0.09,10:1,305.74,219.08016,510.0,290.91984,453.967911,145.048096,1,66
Random Search,20260607,1,rs_r01_002_tl30_dt8_ge26_qr51_tau79,30,8,26,0.51,0.79,315.92,445.16,0.91,0.09,10:1,327.67,219.08016,535.0,315.91984,445.159261,159.781651,1,16
Random Search,20260607,1,rs_r01_003_tl91_dt34_ge11_qr77_tau83,91,34,11,0.77,0.83,0.00,497.27,0.91,0.09,10:1,45.21,219.08016,,,497.271071,133.214493,1,33
Random Search,20260607,1,rs_r01_004_tl35_dt116_ge30_qr80_tau87,35,116,30,0.8,0.87,400.92,436.37,0.91,0.09,10:1,404.14,219.08016,620.0,400.91984,436.374068,157.771777,1,45
Random Search,20260607,1,rs_r01_005_tl12_dt198_ge7_qr84_tau73,12,198,7,0.84,0.73,412.92,426.08,0.91,0.09,10:1,414.12,219.08016,632.0,412.91984,426.082884,165.676329,1,88
Random Search,20260607,1,rs_r01_006_tl73_dt146_ge44_qr8_tau88,73,146,44,0.08,0.88,0.00,487.23,0.91,0.09,10:1,44.29,219.08016,,,487.227553,135.987047,1,26
Random Search,20260607,2,rs_r02_001_tl2_dt118_ge23_qr30_tau73,2,118,23,0.3,0.73,466.92,428.87,0.91,0.09,10:1,463.46,219.08016,686.0,466.91984,428.874055,163.345902,1,57
Random Search,20260607,2,rs_r02_002_tl74_dt148_ge45_qr38_tau73,74,148,45,0.38,0.73,0.00,486.66,0.91,0.09,10:1,44.24,219.08016,,,486.655992,136.724227,1,26
Random Search,20260607,2,rs_r02_003_tl38_dt33_ge24_qr83_tau90,38,33,24,0.83,0.9,0.00,494.49,0.91,0.09,10:1,44.95,219.08016,,,494.489082,132.146067,1,25
Random Search,20260607,2,rs_r02_004_tl69_dt6_ge17_qr95_tau85,69,6,17,0.95,0.85,315.92,443.96,0.91,0.09,10:1,327.56,219.08016,535.0,315.91984,443.962878,148.44052,0,15
Random Search,20260607,2,rs_r02_005_tl80_dt178_ge2_qr49_tau75,80,178,2,0.49,0.75,441.92,426.72,0.91,0.09,10:1,440.54,219.08016,661.0,441.91984,426.721772,156.754934,1,117
