method,seed,round,round_theta_index,theta_per_round,parameter_id,t_lead,delta_T_thr,G_ext,Q_ratio,tau,observed_score,best_so_far,surrogate_mean,surrogate_ci_low,surrogate_ci_high,raw_ei_acquisition,acquisition,bo_selection_strategy,bo_candidate_source,bo_plateau_mode,essi_acquisition,essi_1,essi_2,essi_3,essi_4,essi_5,essi_6,essi_max,essi_mean,essi_log_max,dominant_essi_subspace,spatial_activation_score
BO,20260607,1,1,6,bo_r01_001_tl50_dt212_ge40_qr62_tau90,50,212,40,0.62,0.9,471.25,471.25,,,,,,,,,,,,,,,,,,,,
BO,20260607,1,2,6,bo_r01_002_tl80_dt143_ge18_qr17_tau79,80,143,18,0.17,0.79,442.78,442.78,,,,,,,,,,,,,,,,,,,,
BO,20260607,1,3,6,bo_r01_003_tl56_dt74_ge28_qr32_tau74,56,74,28,0.32,0.74,483.56,442.78,,,,,,,,,,,,,,,,,,,,
BO,20260607,1,4,6,bo_r01_004_tl78_dt142_ge10_qr0_tau80,78,142,10,0.0,0.8,339.60,339.60,,,,,,,,,,,,,,,,,,,,
BO,20260607,1,5,6,bo_r01_005_tl105_dt126_ge33_qr23_tau89,105,126,33,0.23,0.89,481.57,339.60,,,,,,,,,,,,,,,,,,,,
BO,20260607,1,6,6,bo_r01_006_tl105_dt71_ge21_qr60_tau80,105,71,21,0.6,0.8,1000043.74,339.60,,,,,,,,,,,,,,,,,,,,
BO,20260607,2,1,6,bo_r02_001_tl29_dt79_ge10_qr71_tau82,29,79,10,0.71,0.82,438.90,339.60,462.89,391.69,534.08,,,,,,,,,,,,,,,,,
BO,20260607,2,2,6,bo_r02_002_tl61_dt51_ge26_qr29_tau78,61,51,26,0.29,0.78,1000045.33,339.60,485.43,469.45,501.41,,,,,,,,,,,,,,,,,
BO,20260607,2,3,6,bo_r02_003_tl7_dt0_ge15_qr73_tau70,7,0,15,0.73,0.7,454.89,339.60,460.12,378.50,541.74,,,,,,,,,,,,,,,,,
BO,20260607,2,4,6,bo_r02_004_tl45_dt222_ge5_qr68_tau73,45,222,5,0.68,0.73,358.78,339.60,466.01,410.08,521.93,,,,,,,,,,,,,,,,,
BO,20260607,2,5,6,bo_r02_005_tl75_dt123_ge26_qr40_tau78,75,123,26,0.4,0.78,487.67,339.60,475.25,424.60,525.89,,,,,,,,,,,,,,,,,
BO,20260607,2,6,6,bo_r02_006_tl108_dt47_ge23_qr15_tau70,108,47,23,0.15,0.7,1000045.16,339.60,430.83,401.12,460.54,,,,,,,,,,,,,,,,,
BO,20260607,3,1,6,bo_r03_001_tl22_dt31_ge1_qr54_tau72,22,31,1,0.54,0.72,1000045.85,339.60,404.92,328.05,481.79,,,,,,,,,,,,,,,,,
BO,20260607,3,2,6,bo_r03_002_tl55_dt52_ge38_qr75_tau71,55,52,38,0.75,0.71,1000045.22,339.60,466.98,395.97,537.99,,,,,,,,,,,,,,,,,
BO,20260607,3,3,6,bo_r03_003_tl1_dt76_ge49_qr33_tau80,1,76,49,0.33,0.8,1000045.83,339.60,452.65,363.17,542.14,,,,,,,,,,,,,,,,,
BO,20260607,3,4,6,bo_r03_004_tl27_dt38_ge13_qr63_tau70,27,38,13,0.63,0.7,1000045.64,339.60,448.57,429.94,467.20,,,,,,,,,,,,,,,,,
BO,20260607,3,5,6,bo_r03_005_tl65_dt18_ge27_qr88_tau89,65,18,27,0.88,0.89,1000045.21,339.60,469.53,401.08,537.98,,,,,,,,,,,,,,,,,
BO,20260607,3,6,6,bo_r03_006_tl40_dt213_ge31_qr40_tau70,40,213,31,0.4,0.7,618.64,339.60,482.20,433.70,530.70,,,,,,,,,,,,,,,,,
BO,20260607,4,1,6,bo_r04_001_tl3_dt71_ge44_qr30_tau88,3,71,44,0.3,0.88,1000045.35,339.60,462.97,330.98,594.95,,,,,,,,,,,,,,,,,
BO,20260607,4,2,6,bo_r04_002_tl31_dt28_ge30_qr19_tau81,31,28,30,0.19,0.81,1000045.43,339.60,470.10,381.43,558.78,,,,,,,,,,,,,,,,,
BO,20260607,4,3,6,bo_r04_003_tl68_dt207_ge1_qr84_tau82,68,207,1,0.84,0.82,322.26,322.26,374.82,276.51,473.14,,,,,,,,,,,,,,,,,
BO,20260607,4,4,6,bo_r04_004_tl67_dt190_ge15_qr77_tau75,67,190,15,0.77,0.75,299.54,299.54,416.15,336.09,496.20,,,,,,,,,,,,,,,,,
BO,20260607,4,5,6,bo_r04_005_tl11_dt176_ge20_qr90_tau78,11,176,20,0.9,0.78,439.82,299.54,490.49,379.51,601.46,,,,,,,,,,,,,,,,,
BO,20260607,4,6,6,bo_r04_006_tl56_dt15_ge36_qr99_tau75,56,15,36,0.99,0.75,246.37,246.37,472.57,356.92,588.23,,,,,,,,,,,,,,,,,
BO,20260607,5,1,6,bo_r05_001_tl50_dt39_ge28_qr38_tau70,50,39,28,0.38,0.7,1000045.08,246.37,477.56,413.40,541.72,,,,,,,,,,,,,,,,,
BO,20260607,5,2,6,bo_r05_002_tl59_dt170_ge9_qr25_tau77,59,170,9,0.25,0.77,346.36,246.37,483.31,391.95,574.66,,,,,,,,,,,,,,,,,
BO,20260607,5,3,6,bo_r05_003_tl86_dt37_ge15_qr94_tau90,86,37,15,0.94,0.9,1000044.99,246.37,291.91,164.16,419.67,,,,,,,,,,,,,,,,,
BO,20260607,5,4,6,bo_r05_004_tl67_dt40_ge43_qr75_tau74,67,40,43,0.75,0.74,1000045.28,246.37,341.14,213.51,468.78,,,,,,,,,,,,,,,,,
BO,20260607,5,5,6,bo_r05_005_tl20_dt219_ge38_qr92_tau78,20,219,38,0.92,0.78,426.90,246.37,411.74,311.07,512.42,,,,,,,,,,,,,,,,,
BO,20260607,5,6,6,bo_r05_006_tl98_dt149_ge21_qr12_tau76,98,149,21,0.12,0.76,637.76,246.37,426.97,360.18,493.75,,,,,,,,,,,,,,,,,
