교차로번호,입력일자,교차로명,유형코드,연동교차로코드,구코드,지번,구경찰서코드,신경찰서코드,작업구분,표출구분,고객번호,계약종별,계량기번호,도로구분,관할사업소,교차로관리번호,공간데이터,신규정규화ID,이력ID,동코드,공사형태,지도표출구분,RN_CDE,MNG_AGEN,XCE,YCE
1265,-,충무교(연등),001,1264,620,94-175대,290,290,001,001,-,-,-,002,105,82-0000004043,,2190403    ,4043,10200,-,N,-,-,194384.151549755,541759.31545046
1266,-,신림2교,003,0,620,808-133천,290,290,001,002,-,-,-,001,105,82-0000000205,,-,205,10200,-,N,-,-,194461.812117275,541962.294309211
1267,-,신본교,001,0,620,산164-2 임,290,290,001,002,-,-,-,002,105,82-0000001198,,2190152    ,1198,10200,-,N,-,-,194249.785920942,542011.656403474
1268,-,신림1교(연등),001,1269,-,-,-,-,001,001,-,-,-,002,-,82-0000004008,,0399042    ,4008,10200,-,N,-,-,184187.669563735,556450.934553336
1269,-,신림1교,003,0,620,87-22대,290,290,001,002,-,-,-,002,105,82-0000000606,,2180682    ,606,10200,-,N,-,-,193994.869161169,542158.308667904
1270,-,신림교입구(연등),001,1271,620,1642-9도,290,290,001,001,-,-,-,001,105,82-0000002202,,-,2202,10200,-,N,-,-,193821.27081366,542384.166022606
1271,-,신림교입구,002,0,620,1642-9도,290,290,001,002,-,-,-,001,105,82-0000002815,,-,2815,10200,-,N,-,-,193797.646328247,542554.364850614
1272,-,가야쇼핑,001,0,620,970-1대,290,290,001,002,-,-,-,001,105,82-0000000607,,2182142    ,607,10200,-,N,-,-,193751.584774728,542982.285630846
1273,-,가야쇼핑(연등),002,1272,620,692-8학,290,290,001,002,-,-,-,001,105,82-0000001473,,2182072    ,1473,10200,-,N,-,-,193701.605874929,543126.245858652
1274,-,관악노인복지관,002,0,620,342-57도,290,290,001,002,-,-,-,001,105,82-0000004044,,2173781    ,4044,10100,-,N,-,-,193527.695390209,543675.150972386
1275,-,동산교회,001,0,620,1641-24대,290,290,001,002,-,-,-,002,105,82-0000000608,,2180181    ,608,10200,-,N,-,-,193762.4249002,542184.431599433
1276,-,신림초교,002,0,620,1642-8도,290,290,001,002,-,-,-,002,105,82-0000001474,,2170991    ,1474,10200,-,N,-,-,193638.57703105,542218.310255125
1277,-,신림초교(연등),001,1276,620,1642-7천,290,290,001,002,-,-,-,002,105,82-0000002937,,2170891    ,2937,10200,-,N,-,-,193581.141893769,542205.255723334
1278,-,신림교,003,0,620,1642-14도,290,290,001,002,-,-,-,002,105,82-0000003549,,-,3549,10200,-,N,-,-,193695.169881377,542468.813657991
1279,-,남도전기,001,1280,620,1021대,290,290,001,002,-,-,-,001,105,82-0000000879,,3122442    ,879,10100,-,N,-,-,195920.449688715,542958.960894489
1280,-,행복한감리교회,001,0,620,1712 대,290,290,001,002,-,-,-,001,105,82-0000003508,,3122143    ,3508,10100,-,N,-,-,195730.644224804,542995.550848212
1281,-,국민은행관악,001,1282,620,1712 대,290,290,001,002,-,-,-,001,105,82-0000005248,,3112552    ,5248,10100,-,N,-,-,195474.403942774,543029.351281947
1282,-,현대시장,003,0,620,502-1도,290,290,001,002,-,-,-,001,105,82-0000002816,,-,2816,10100,-,N,-,-,195307.211946014,543053.617989095
1283,-,구암지구대(연등)2,001,1284,620,491-5 학,290,290,001,002,-,-,-,001,105,82-0000003806,,3112061    ,3806,10100,-,N,-,-,195190.43080597,543061.276626151
1284,-,구암지구대,003,0,620,1718-11 도,290,290,001,002,-,-,-,001,105,82-0000004326,,3102862    ,4326,10100,-,N,-,-,195126.004519179,543050.671988014
1285,-,봉천119안전센터,001,1286,620,982-3도,290,290,001,002,-,-,-,001,105,82-0000005247,,-,5247,10100,-,N,-,-,194755.238338294,542965.288294222
1286,-,국회단지길입구,001,0,620,982-3도,290,290,001,002,-,-,-,001,105,82-0000003550,,-,3550,10100,-,N,-,-,194638.284032326,542973.639619849
1287,-,국회단지길입구(연등)1,003,1286,620,산 104-9 공,290,290,001,002,-,-,-,001,105,82-0000003510,,2192642    ,3510,10100,-,N,-,-,194525.507850636,542983.277335197
1288,-,GS슈퍼마켓(연등),001,3941,620,870-12대,290,290,001,002,-,-,-,001,105,82-0000000220,,3110882    ,220,10100,-,N,-,-,195593.850888743,542164.450111244
1289,-,영락고교입구(연등),001,1290,620,884-27대,290,290,001,002,-,-,-,001,105,82-0000000200,,3110382    ,200,10100,-,N,-,-,195356.164289057,542194.999854347
1290,-,영락고교입구,001,0,620,893-27대,290,290,001,002,-,-,-,001,105,82-0000003805,,3110092    ,3805,10100,-,N,-,-,195213.696304471,542212.04817073
1291,-,E편한세상서울대입구,001,1292,620,912-16대,290,290,001,002,-,-,-,001,105,82-0000005392,,3100893    ,5392,10100,-,N,-,-,195089.366690001,542228.704789863
1292,-,관악성모의원,001,0,620,979-7도,290,290,001,002,-,-,-,001,105,82-0000002050,,3100493    ,2050,10100,-,N,-,-,194902.265519438,542248.482526228
1293,-,쑥고개,001,0,620,1693-13도,290,290,001,002,-,-,-,001,105,82-0000004649,,-,4649,10100,-,N,-,-,194693.798426599,542109.354160027
1294,-,삼성동주민센터(연등)2,001,1295,620,112-42대,290,290,001,002,-,-,-,001,105,82-0000002232,,2088883    ,2232,10200,-,N,-,-,194091.454416098,541191.348184366
1295,-,삼성동주민센터,001,0,620,808-1천,290,290,001,002,-,-,-,001,105,82-0000003511,,2088763    ,3511,10200,-,N,-,-,194049.802833363,541095.535296527
1296,-,삼성동주민센터(연등)1,001,1295,620,808-418천,290,290,001,002,-,-,-,001,105,82-0000001467,,2088633    ,1467,10200,-,N,-,-,193979.277469131,540933.915607502
1297,-,미림여고(연등)1,001,0,620,산66-3도,290,290,001,002,-,-,-,001,105,82-0000002811,,2088502    ,2811,10200,-,N,-,-,193931.784391581,540763.010641256
1298,-,미림여고,001,1297,620,808-505 천,290,290,001,002,-,-,-,001,105,82-0000005686,,2087583    ,5686,10200,-,N,-,-,193935.179432374,540666.74595616
1299,-,삼성동자치회관(연등)1,002,1300,620,305-37도,290,290,001,002,-,-,-,001,105,82-0000000600,,-,600,10200,-,N,-,-,193940.270185613,540584.898525995
1300,-,삼성동자치회관,001,0,620,310-5도,290,290,001,002,-,-,-,001,105,82-0000004279,,-,4279,10200,-,N,-,-,193953.299243818,540500.194026834
1301,-,신우초교,001,0,620,306-50대,290,290,001,002,-,-,-,001,105,82-0000001468,,2086692    ,1468,10200,-,N,-,-,193980.572871223,540243.698752707
1302,-,삼성산성지,001,0,620,321-12 천,290,290,001,002,-,-,-,001,105,82-0000000976,,2086132    ,976,10200,-,N,-,-,193773.589738187,539911.427178887
1303,-,국제산장아파트,001,0,620,산78-8도,290,290,001,002,-,-,-,001,105,82-0000003528,,-,3528,10200,-,N,-,-,193573.168463463,540075.965771601
1304,-,난향삼거리(연등),002,5376,620,산87-11도,290,290,001,002,-,-,-,001,105,82-0000000201,,-,201,10200,-,N,-,-,193419.866494949,540179.92094897
1305,-,인헌초교,001,0,620,1679-9 대,290,290,001,002,-,-,-,001,105,82-0000002929,,3130422    ,2929,10100,-,N,-,-,196378.73895283,541868.057988272
1306,-,서울대교수아파트,001,0,620,266공,290,290,001,002,-,-,-,001,105,82-0000003529,,3038252    ,3529,10100,-,N,-,-,196279.037984041,541015.360967524
1307,-,낙성현대홈타운,001,0,620,0-61 가,290,290,001,002,-,-,-,002,105,82-0000002930,,-,2930,10100,-,N,-,-,196795.200001029,542241.695081021
1308,-,호림박물관입구,001,0,620,526도,290,290,001,002,-,-,-,001,105,82-0000001260,,-,1260,10200,-,N,-,-,192780.918169254,542565.644648347
1309,-,금천경찰서(연등)1,001,1310,620,543도,290,290,001,001,-,-,-,001,105,82-0000001560,,-,1560,10200,-,N,-,-,192240.108329436,542444.534805926
1310,-,제이타워웨딩,002,0,620,1722 대,260,260,001,002,-,-,-,001,105,82-0000002051,,2141732    ,2051,10200,-,N,-,-,192059.105385909,542404.442564012
1311,-,금천수요양병원,001,0,620,569-48대,260,260,001,002,-,-,-,001,105,82-0000001000,,2141113    ,1000,10200,-,N,-,-,191742.298026064,542332.171875245
1312,-,구로전화국(연등),001,630,620,1656대,290,290,001,002,-,-,-,001,105,82-0000002879,,2130491    ,2879,10200,-,N,-,-,191384.37382,542249.381599863
1314,-,구로디지털단지역,003,0,620,1122도,-,260,001,002,-,-,-,001,105,82-0000000380,,-,380,10200,-,N,-,-,191401.992138988,542787.315517103
1315,-,독산고개,001,0,540,146-12대,-,260,001,002,-,-,-,001,105,82-0000004238,,-,4238,10200,-,N,-,-,191030.574537904,541820.420994281
1316,-,독산고개(연등),001,1315,540,967-14대,260,260,001,002,-,-,-,001,105,82-0000003954,,2029662    ,3954,10200,-,N,-,-,191015.318747224,541596.081664184
1317,-,군부대앞,001,0,540,1056-4대,260,260,001,002,-,-,-,001,105,82-0000002880,,2026682    ,2880,10200,-,N,-,-,190987.052361209,540168.173623818
1318,-,문일중고,002,0,540,1000-92도,-,260,001,002,-,-,-,001,105,82-0000002881,,-,2881,10300,-,N,-,-,191315.693622168,539113.914373996
1319,-,유통상가정문,001,0,540,1001-9도,-,260,001,002,-,-,-,001,105,82-0000001261,,-,1261,10300,-,N,-,-,191484.846151738,538269.774881225
1321,-,박미삼거리(연등)1,001,266,540,1000-92도,-,260,001,002,-,-,-,001,105,82-0000004614,,-,4614,10300,-,N,-,-,191452.764708251,538658.021758821
1264,-,충무교,001,0,620,839-4도,290,290,001,002,-,-,-,002,105,82-0000000219,,2099272    ,219,10200,-,N,-,-,194298.356938004,541637.540155145
1322,-,유통상가정문(연등),001,1319,540,1001-11도,-,260,001,002,-,-,-,001,105,82-0000003095,,-,3095,10300,-,N,-,-,191470.568615531,538140.476481714
1323,-,SK주유소,001,667,540,1001-34도,-,260,001,002,-,-,-,001,105,82-0000000527,,-,527,10300,-,N,-,-,191419.367129512,537563.61480962
1324,-,석수역,001,0,540,962-8대,260,260,001,002,-,-,-,001,105,82-0000004752,,2031432    ,4752,10300,-,N,-,-,191416.8521527,537409.373973825
1325,-,백산초교,001,0,540,896-11대,260,260,001,002,-,-,-,001,105,82-0000002360,,2034712    ,2360,10300,-,N,-,-,191573.348348359,538845.66932093
1326,-,백산초교(연등),001,1325,540,837-44대,260,260,001,002,-,-,-,001,105,82-0000000381,,2034932    ,381,10300,-,N,-,-,191654.276297548,538945.825836333
1327,-,대우당약국,003,0,540,1000-118도,-,260,001,002,-,-,-,001,105,82-0000001561,,-,1561,10300,-,N,-,-,191675.051918948,539051.325799164
1328,-,은행나무사거리,003,0,540,1000-99도,-,260,001,002,-,-,-,001,105,82-0000000382,,-,382,10300,-,Y,-,-,191682.657529497,539208.202239021
1329,-,은행나무사거리(연등),001,1328,540,1000-101도,-,260,001,002,-,-,-,001,105,82-0000002049,,-,2049,10300,-,N,-,-,191768.785578766,539161.468928824
1330,-,관악농협,001,0,540,1000-123구,-,260,001,002,-,-,-,001,105,82-0000002361,,-,2361,10300,-,N,-,-,192011.430219457,539037.622891593
