movement_id,tls_id,from_edge,to_edge,route_order_index,q_avg_b0_proxy_veh,q_max_b0_proxy_veh,tQ_hist_b0_sec,lambda_b0_vph,L_local_m,L_corridor_m,C_local_proxy_veh,lane_count,queue_calibration_reference_m,queue_calibration_measured_m,queue_calibration_factor,queue_calibration_factor_applied,queue_calibration_source,measurement_source,field_queue_claim,measurement_note
B4_MOVEMENT_00,CSV_TLS_S01_S02_SEONGDONG_GLOBAL_BUSINESS_HIGH_SCHOOL,-174870621#2,-174870621#0,6,0.0,0.0,0.0,61.158333,100.0,250.0,46.153846,3,0.0,0.0,1.0,1.0,b4_bottleneck_queue_readiness.csv/b4_b0_measured_signal_params.csv,SUMO_B04_AD_B0_edge_lane_data,false,"B0 measured means SUMO B04_ad_variance_smoothed no-control edge/lane data proxy, not field-observed queue length."
B4_MOVEMENT_01,CSV_TLS_S02_S03_HANYANG_TECHNICAL_HIGH_SCHOOL_FRONT,800229255,180368918#0,10,0.0,0.0,0.0,187.740612,100.0,101.96,46.153846,3,0.0,0.0,1.0,1.0,b4_bottleneck_queue_readiness.csv/b4_b0_measured_signal_params.csv,SUMO_B04_AD_B0_edge_lane_data,false,"B0 measured means SUMO B04_ad_variance_smoothed no-control edge/lane data proxy, not field-observed queue length."
B4_MOVEMENT_02,cluster_3846534041_436877431,180368918#3,180368918#5,12,0.065215,2.502027,1.668018,213.732374,100.0,71.52,46.153846,3,16.263,0.423897,38.365407,2.0,b4_bottleneck_queue_readiness.csv/b4_b0_measured_signal_params.csv,SUMO_B04_AD_B0_edge_lane_data,false,"B0 measured means SUMO B04_ad_variance_smoothed no-control edge/lane data proxy, not field-observed queue length."
B4_MOVEMENT_03,CSV_TLS_S05_S06_GWANGHUI_INTERSECTION,180368918#8,218773868#0,16,0.054397,2.502027,2.502027,236.930288,100.0,99.24,30.769231,2,1.551,0.353581,4.386554,2.0,b4_bottleneck_queue_readiness.csv/b4_b0_measured_signal_params.csv,SUMO_B04_AD_B0_edge_lane_data,false,"B0 measured means SUMO B04_ad_variance_smoothed no-control edge/lane data proxy, not field-observed queue length."
B4_MOVEMENT_04,joinedS_7335400058_cluster_13348213189_13348213190_13348213191_4273893706_#1more,-1455512070,428260110,23,0.122703,3.424267,3.424267,232.993649,100.0,250.0,30.769231,2,22.258,0.79757,27.907286,2.0,b4_bottleneck_queue_readiness.csv/b4_b0_measured_signal_params.csv,SUMO_B04_AD_B0_edge_lane_data,false,"B0 measured means SUMO B04_ad_variance_smoothed no-control edge/lane data proxy, not field-observed queue length."
B4_MOVEMENT_05,CSV_TLS_S08_S09_TOEGYE_RO_4_GA,785130600#3,1455497345,28,0.002435,0.443161,0.443161,256.363636,100.0,250.0,30.769231,2,2.881,0.015828,182.024957,2.0,b4_bottleneck_queue_readiness.csv/b4_b0_measured_signal_params.csv,SUMO_B04_AD_B0_edge_lane_data,false,"B0 measured means SUMO B04_ad_variance_smoothed no-control edge/lane data proxy, not field-observed queue length."
B4_MOVEMENT_06,joinedS_11346754524_11346754527_7335400049_cluster_11346754525_11346754526_2784736947_414685366_#2more,218773869#7,218773869#8,35,1.220038,10.817602,7.211735,172.614902,100.0,250.0,46.153846,3,48.982,7.930247,6.176605,2.0,b4_bottleneck_queue_readiness.csv/b4_b0_measured_signal_params.csv,SUMO_B04_AD_B0_edge_lane_data,false,"B0 measured means SUMO B04_ad_variance_smoothed no-control edge/lane data proxy, not field-observed queue length."
B4_MOVEMENT_07,joinedS_11346754524_11346754527_7335400049_cluster_11346754525_11346754526_2784736947_414685366_#2more,218773869#9,219696193#1,37,0.744269,10.817602,7.211735,155.647778,100.0,250.0,46.153846,3,48.982,4.837749,10.124958,2.0,b4_bottleneck_queue_readiness.csv/b4_b0_measured_signal_params.csv,SUMO_B04_AD_B0_edge_lane_data,false,"B0 measured means SUMO B04_ad_variance_smoothed no-control edge/lane data proxy, not field-observed queue length."
B4_MOVEMENT_08,CSV_TLS_S11_S12_TOEGYE_RO_2_GA,420361196,180445419,42,0.0,0.0,0.0,30.536842,100.0,250.0,30.769231,2,0.0,0.0,1.0,1.0,b4_bottleneck_queue_readiness.csv/b4_b0_measured_signal_params.csv,SUMO_B04_AD_B0_edge_lane_data,false,"B0 measured means SUMO B04_ad_variance_smoothed no-control edge/lane data proxy, not field-observed queue length."
B4_MOVEMENT_09,CSV_TLS_S13_S14_MYEONGDONG_STATION_FRONT,347237859#1,347237859#2,45,0.001077,0.308077,0.205385,192.216393,100.0,185.97,46.153846,3,0.346,0.007001,49.425041,2.0,b4_bottleneck_queue_readiness.csv/b4_b0_measured_signal_params.csv,SUMO_B04_AD_B0_edge_lane_data,false,"B0 measured means SUMO B04_ad_variance_smoothed no-control edge/lane data proxy, not field-observed queue length."
B4_MOVEMENT_10,CSV_TLS_S14_S15_DAYS_HOTEL_FRONT,347237859#4,347237859#5,48,0.005319,1.106315,0.737544,169.618393,100.0,167.98,46.153846,3,7.191,0.034574,207.99167,2.0,b4_bottleneck_queue_readiness.csv/b4_b0_measured_signal_params.csv,SUMO_B04_AD_B0_edge_lane_data,false,"B0 measured means SUMO B04_ad_variance_smoothed no-control edge/lane data proxy, not field-observed queue length."
B4_MOVEMENT_11,joinedS_11203052957_cluster_11203052955_11203052956_11203052960_11203052961_#11more,781985787#0,218915135#3,50,0.504363,8.549017,5.699345,179.868043,100.0,106.77,46.153846,3,55.569,3.27836,16.950246,2.0,b4_bottleneck_queue_readiness.csv/b4_b0_measured_signal_params.csv,SUMO_B04_AD_B0_edge_lane_data,false,"B0 measured means SUMO B04_ad_variance_smoothed no-control edge/lane data proxy, not field-observed queue length."
B4_MOVEMENT_12,CSV_TLS_S16_S17_SHINSEGAE_DEPARTMENT_STORE,218915135#4,781983104#0,52,0.0,0.0,0.0,101.75625,100.0,139.73,46.153846,3,0.0,0.0,1.0,1.0,b4_bottleneck_queue_readiness.csv/b4_b0_measured_signal_params.csv,SUMO_B04_AD_B0_edge_lane_data,false,"B0 measured means SUMO B04_ad_variance_smoothed no-control edge/lane data proxy, not field-observed queue length."
