segment_id,direction,reference_speed_kmh,simulated_speed_kmh,speed_error_kmh,edgeData_speed_kmh,reference_travel_time_s,simulated_travel_time_s,travel_time_error_s,edgeData_travel_time_s,reference_volume_vph,observed_count,volume_error,edgeData_observed_count,screenline_edge,screenline_count,raw_edge_count_sum,edge_count,max_density,max_occupancy,fcd_traversal_sample_count,fcd_traversal_time_median_s,fcd_traversal_time_p75_s,runtime_queue_max_m,runtime_slow_count_max,runtime_halted_count_max,runtime_density_max,runtime_occupancy_max,runtime_waiting_or_timeloss_max,low_speed_interval_count,target_queue_proxy,sumo_queue_proxy,class
S1,downbound,14.5,54.533,40.033,54.533,88.6,33.072,-55.528,33.072,1128.0,2.0,-1126.0,0.0,174870621#8,2.0,149.0,15,9.19,1.61,0,,,3.505,1.402,1.402,9.19,4.07,35.4,1,2.356064,0.0,free
S1,upbound,18.3,49.678,31.378,49.678,70.2,57.427,-12.773,57.427,1128.0,2.0,-1126.0,0.0,-174870621#8,2.0,235.0,14,7.28,1.25,0,,,1.078,0.431,0.431,7.28,2.71,27.77,3,1.520735,0.0,free
S2,downbound,15.7,54.018,38.318,54.018,41.5,28.621,-12.879,28.621,1128.0,4.0,-1124.0,0.0,174870621#0,4.0,260.0,10,9.19,1.61,0,,,3.505,1.402,1.402,9.19,4.07,35.4,1,2.048674,0.0,free
S2,upbound,19.2,35.659,16.459,35.659,33.9,55.269,21.369,55.269,1128.0,5.0,-1123.0,2.0,-381802847#0,5.0,952.0,10,142.65,23.78,0,,,7.5,3.0,3.0,142.65,56.04,97.4,21,1.370013,0.0,free
S3,downbound,16.5,41.636,25.136,41.636,28.2,12.369,-15.831,12.369,1128.0,6.0,-1122.0,1.0,-180368918#0,6.0,314.0,7,40.24,7.08,0,,,4.892,1.957,1.957,40.24,16.46,41.0,11,1.869411,0.0,free
S3,upbound,19.2,37.782,18.582,37.782,24.2,12.137,-12.063,12.137,1128.0,17.0,-1111.0,8.0,180368918#0,17.0,1040.0,5,142.65,23.78,0,,,7.5,3.0,3.0,142.65,56.04,97.4,18,1.370113,0.0,free
S4,downbound,16.5,42.256,25.756,42.256,27.5,11.24,-16.26,11.24,1128.0,6.0,-1122.0,1.0,-180368918#7,6.0,247.0,7,40.24,7.08,0,,,4.892,1.957,1.957,40.24,16.46,41.0,11,1.870791,0.0,free
S4,upbound,18.3,47.377,29.077,47.377,24.8,9.726,-15.074,9.726,1128.0,16.0,-1112.0,7.0,180368918#7,16.0,1055.0,6,60.7,14.81,0,,,6.171,1.646,1.646,60.7,17.62,82.01,1,1.522961,0.0,free
S5,downbound,15.7,35.859,20.159,35.859,9.2,21.006,11.806,21.006,1128.0,0.0,-1128.0,0.0,1395426737#0,0.0,153.0,5,59.57,9.99,0,,,7.685,3.074,3.074,59.57,29.03,61.4,6,2.049966,0.0,free
S5,upbound,16.4,36.091,19.691,36.091,8.8,7.129,-1.671,7.129,1128.0,15.0,-1113.0,6.0,180368918#8,15.0,429.0,3,60.7,14.81,0,,,6.171,1.646,1.646,60.7,17.62,82.01,1,1.88972,0.0,free
