candidate,segment_id,direction,mapped_S_segment,queue_state,signal_presence_status,simulated_speed_kmh,target_congestion_proxy,segment_congestion_proxy,max_stopline_queue_fill_ratio,fill_ratio_ge_0p50,fast_dense_no_queue_index,queue_compression_gap,approach_conflict_proxy,signal_too_generous_score,exit_too_easy_score,diagnosis,measurement_note
B04_active_target15_s400,S1,downbound,S1:downbound,free_flow,runtime_stage1_source,54.533,2.356064,0.0,,,,,,,,free_flow,Active B04 run edgeData/laneData proxy; no field-observed queue length.
B04_active_target15_s400,S1,upbound,S1:upbound,free_flow,runtime_stage1_source,49.678,1.520735,0.0,,,,,,,,free_flow,Active B04 run edgeData/laneData proxy; no field-observed queue length.
B04_active_target15_s400,S2,downbound,S2:downbound,free_flow,runtime_stage1_source,54.018,2.048674,0.0,,,,,,,,free_flow,Active B04 run edgeData/laneData proxy; no field-observed queue length.
B04_active_target15_s400,S2,upbound,S2:upbound,free_flow,runtime_stage1_source,35.659,1.370013,0.0,,,,,,,,free_flow,Active B04 run edgeData/laneData proxy; no field-observed queue length.
B04_active_target15_s400,S3,downbound,S3:downbound,free_flow,runtime_stage1_source,41.636,1.869411,0.0,,,,,,,,free_flow,Active B04 run edgeData/laneData proxy; no field-observed queue length.
B04_active_target15_s400,S3,upbound,S3:upbound,free_flow,runtime_stage1_source,37.782,1.370113,0.0,,,,,,,,free_flow,Active B04 run edgeData/laneData proxy; no field-observed queue length.
B04_active_target15_s400,S4,downbound,S4:downbound,free_flow,runtime_stage1_source,42.256,1.870791,0.0,,,,,,,,free_flow,Active B04 run edgeData/laneData proxy; no field-observed queue length.
B04_active_target15_s400,S4,upbound,S4:upbound,free_flow,runtime_stage1_source,47.377,1.522961,0.0,,,,,,,,free_flow,Active B04 run edgeData/laneData proxy; no field-observed queue length.
B04_active_target15_s400,S5,downbound,S5:downbound,free_flow,runtime_stage1_source,35.859,2.049966,0.0,,,,,,,,free_flow,Active B04 run edgeData/laneData proxy; no field-observed queue length.
B04_active_target15_s400,S5,upbound,S5:upbound,free_flow,runtime_stage1_source,36.091,1.88972,0.0,,,,,,,,free_flow,Active B04 run edgeData/laneData proxy; no field-observed queue length.
B04_active_target15_s400,S6,downbound,S6:downbound,free_flow,runtime_stage1_source,50.76,2.047897,0.0,,,,,,,,free_flow,Active B04 run edgeData/laneData proxy; no field-observed queue length.
B04_active_target15_s400,S6,upbound,S6:upbound,free_flow,runtime_stage1_source,38.738,1.890338,0.0,,,,,,,,free_flow,Active B04 run edgeData/laneData proxy; no field-observed queue length.
B04_active_target15_s400,S7,downbound,S7:downbound,free_flow,runtime_stage1_source,29.12,2.049713,0.23061,,,,,,,,free_flow,Active B04 run edgeData/laneData proxy; no field-observed queue length.
B04_active_target15_s400,S7,upbound,S7:upbound,free_flow,runtime_stage1_source,54.609,1.889815,0.0,,,,,,,,free_flow,Active B04 run edgeData/laneData proxy; no field-observed queue length.
B04_active_target15_s400,S8,downbound,S8:downbound,traffic_pressure,runtime_stage1_source,16.669,2.450015,0.780891,,,,,,,,traffic_pressure,Active B04 run edgeData/laneData proxy; no field-observed queue length.
B04_active_target15_s400,S8,upbound,S8:upbound,free_flow,runtime_stage1_source,39.249,1.52235,0.0,,,,,,,,free_flow,Active B04 run edgeData/laneData proxy; no field-observed queue length.
B04_active_target15_s400,S9,downbound,S9:downbound,physical_queue,runtime_stage1_source,8.643,2.441805,2.759435,,,,,,,,physical_queue,Active B04 run edgeData/laneData proxy; no field-observed queue length.
B04_active_target15_s400,S9,upbound,S9:upbound,physical_queue,runtime_stage1_source,3.713,1.805941,3.299051,,,,,,,,physical_queue,Active B04 run edgeData/laneData proxy; no field-observed queue length.
B04_active_target15_s400,S10,downbound,S10:downbound,physical_queue,runtime_stage1_source,8.251,2.358304,2.800439,,,,,,,,physical_queue,Active B04 run edgeData/laneData proxy; no field-observed queue length.
B04_active_target15_s400,S10,upbound,S10:upbound,physical_queue,runtime_stage1_source,14.921,1.890831,2.116323,,,,,,,,physical_queue,Active B04 run edgeData/laneData proxy; no field-observed queue length.
B04_active_target15_s400,S11,downbound,S11:downbound,free_flow,runtime_stage1_source,77.876,2.442892,0.0,,,,,,,,free_flow,Active B04 run edgeData/laneData proxy; no field-observed queue length.
B04_active_target15_s400,S11,upbound,S11:upbound,free_flow,runtime_stage1_source,60.413,1.703732,0.0,,,,,,,,free_flow,Active B04 run edgeData/laneData proxy; no field-observed queue length.
B04_active_target15_s400,S12,downbound,S12:downbound,free_flow,runtime_stage1_source,78.741,2.246647,0.0,,,,,,,,free_flow,Active B04 run edgeData/laneData proxy; no field-observed queue length.
B04_active_target15_s400,S12,upbound,S12:upbound,free_flow,runtime_stage1_source,53.661,1.890766,0.0,,,,,,,,free_flow,Active B04 run edgeData/laneData proxy; no field-observed queue length.
B04_active_target15_s400,S13,downbound,S13:downbound,free_flow,runtime_stage1_source,80.136,2.052299,0.0,,,,,,,,free_flow,Active B04 run edgeData/laneData proxy; no field-observed queue length.
B04_active_target15_s400,S13,upbound,S13:upbound,free_flow,runtime_stage1_source,57.667,1.371529,0.0,,,,,,,,free_flow,Active B04 run edgeData/laneData proxy; no field-observed queue length.
B04_active_target15_s400,S14,downbound,S14:downbound,free_flow,runtime_stage1_source,79.68,1.867072,0.0,,,,,,,,free_flow,Active B04 run edgeData/laneData proxy; no field-observed queue length.
