movement_id,tls_id,from_edge,to_edge,route_order_index,q_avg_b0_proxy_veh,q_max_b0_proxy_veh,tQ_hist_b0_sec,lambda_b0_vph,L_local_m,L_corridor_m,C_local_proxy_veh,lane_count,queue_calibration_reference_m,queue_calibration_measured_m,queue_calibration_factor,queue_calibration_factor_applied,queue_calibration_source,measurement_source,field_queue_claim,measurement_note
B4_MOVEMENT_00,CSV_TLS_S01_S02_SEONGDONG_GLOBAL_BUSINESS_HIGH_SCHOOL,-174870621#2,-174870621#0,6,0.002219,0.165776,0.110517,66.27913,100.0,250.0,46.153846,3,1.078,0.014424,74.739141,2.0,b4_bottleneck_queue_readiness.csv/b4_b0_measured_signal_params.csv,SUMO_B04_active_target15_s400_edge_lane_data,false,"B0 measured means SUMO B04_active_target15_s400 no-control edge/lane data proxy, not field-observed queue length."
B4_MOVEMENT_01,CSV_TLS_S02_S03_HANYANG_TECHNICAL_HIGH_SCHOOL_FRONT,800229255,180368918#0,10,0.055253,1.153819,0.769213,191.872063,100.0,101.96,46.153846,3,7.5,0.359144,20.882959,2.0,b4_bottleneck_queue_readiness.csv/b4_b0_measured_signal_params.csv,SUMO_B04_active_target15_s400_edge_lane_data,false,"B0 measured means SUMO B04_active_target15_s400 no-control edge/lane data proxy, not field-observed queue length."
B4_MOVEMENT_02,cluster_3846534041_436877431,180368918#3,180368918#5,12,0.045771,1.153819,0.769213,228.56246,100.0,71.52,46.153846,3,7.5,0.297511,25.20911,2.0,b4_bottleneck_queue_readiness.csv/b4_b0_measured_signal_params.csv,SUMO_B04_active_target15_s400_edge_lane_data,false,"B0 measured means SUMO B04_active_target15_s400 no-control edge/lane data proxy, not field-observed queue length."
B4_MOVEMENT_03,CSV_TLS_S05_S06_GWANGHUI_INTERSECTION,180368918#8,218773868#0,16,0.035524,1.023262,1.023262,257.470531,100.0,99.24,30.769231,2,6.651,0.230906,28.803929,2.0,b4_bottleneck_queue_readiness.csv/b4_b0_measured_signal_params.csv,SUMO_B04_active_target15_s400_edge_lane_data,false,"B0 measured means SUMO B04_active_target15_s400 no-control edge/lane data proxy, not field-observed queue length."
B4_MOVEMENT_04,joinedS_7335400058_cluster_13348213189_13348213190_13348213191_4273893706_#1more,-1455512070,428260110,23,0.247276,3.712021,3.712021,264.773309,100.0,250.0,30.769231,2,24.128,1.607294,15.011566,2.0,b4_bottleneck_queue_readiness.csv/b4_b0_measured_signal_params.csv,SUMO_B04_active_target15_s400_edge_lane_data,false,"B0 measured means SUMO B04_active_target15_s400 no-control edge/lane data proxy, not field-observed queue length."
B4_MOVEMENT_05,CSV_TLS_S08_S09_TOEGYE_RO_4_GA,785130600#3,1455497345,28,0.038292,0.857852,0.857852,317.359333,100.0,250.0,30.769231,2,5.576,0.248898,22.402751,2.0,b4_bottleneck_queue_readiness.csv/b4_b0_measured_signal_params.csv,SUMO_B04_active_target15_s400_edge_lane_data,false,"B0 measured means SUMO B04_active_target15_s400 no-control edge/lane data proxy, not field-observed queue length."
B4_MOVEMENT_06,joinedS_11346754524_11346754527_7335400049_cluster_11346754525_11346754526_2784736947_414685366_#2more,218773869#7,218773869#8,35,6.086328,24.306761,16.204507,132.619533,100.0,250.0,46.153846,3,128.731,39.561132,3.253977,2.0,b4_bottleneck_queue_readiness.csv/b4_b0_measured_signal_params.csv,SUMO_B04_active_target15_s400_edge_lane_data,false,"B0 measured means SUMO B04_active_target15_s400 no-control edge/lane data proxy, not field-observed queue length."
B4_MOVEMENT_07,joinedS_11346754524_11346754527_7335400049_cluster_11346754525_11346754526_2784736947_414685366_#2more,218773869#9,219696193#1,37,3.567516,24.306761,16.204507,125.847255,100.0,250.0,46.153846,3,128.731,23.188854,5.551417,2.0,b4_bottleneck_queue_readiness.csv/b4_b0_measured_signal_params.csv,SUMO_B04_active_target15_s400_edge_lane_data,false,"B0 measured means SUMO B04_active_target15_s400 no-control edge/lane data proxy, not field-observed queue length."
B4_MOVEMENT_08,CSV_TLS_S11_S12_TOEGYE_RO_2_GA,420361196,180445419,42,0.0,0.0,0.0,30.0,100.0,250.0,30.769231,2,0.0,0.0,1.0,1.0,b4_bottleneck_queue_readiness.csv/b4_b0_measured_signal_params.csv,SUMO_B04_active_target15_s400_edge_lane_data,false,"B0 measured means SUMO B04_active_target15_s400 no-control edge/lane data proxy, not field-observed queue length."
B4_MOVEMENT_09,CSV_TLS_S13_S14_MYEONGDONG_STATION_FRONT,347237859#1,347237859#2,45,0.018343,0.966165,0.64411,229.417538,100.0,185.97,46.153846,3,6.28,0.11923,52.671528,2.0,b4_bottleneck_queue_readiness.csv/b4_b0_measured_signal_params.csv,SUMO_B04_active_target15_s400_edge_lane_data,false,"B0 measured means SUMO B04_active_target15_s400 no-control edge/lane data proxy, not field-observed queue length."
