candidate,movement_id,tls_id,from_edge,to_edge,linkIndex,control_linkIndex,ev_route_linkIndex,parallel_through_linkIndex,same_lane_blocking_linkIndex,flush_linkIndex,selected_flush_phase,full_through_phase_available,same_lane_blocker_flush_available,control_strategy,mapped_S_segment,route_order_index,stopline_local_queue_m_proxy,local_queue_m_proxy_80m,local_queue_m_proxy_100m,local_queue_m_proxy_120m,corridor_queue_m_proxy,local_fill_80m,local_fill_100m,local_fill_120m,stopline_local_fill_100m,corridor_fill_250m,approach_speed_kmh,density,occupancy,waiting,timeLoss,low_speed_interval_count,fast_dense_flow,signal_only_delay,control_candidate,trigger_reason,traffic_pressure,operational_queue,downstream_blockage_evidence,bottleneck_risk,control_mode,queue_evidence_source
B04_active_target15_s400,B4_MOVEMENT_00,CSV_TLS_S01_S02_SEONGDONG_GLOBAL_BUSINESS_HIGH_SCHOOL,-174870621#2,-174870621#0,1 2 3,1 2 3,1 2 3,1 2 3,0,0,2,True,True,parallel_through_green,S1:upbound,6,1.078,1.078,1.078,1.078,1.078,0.013475,0.01078,0.008983,0.01078,0.004312,49.678,7.28,2.71,27.77,27.77,3,False,False,False,below_default_trigger,False,False,False,False,normal_preemptive,SUMO B04 B0 edgeData/laneData proxy only; no field-observed queue length.
B04_active_target15_s400,B4_MOVEMENT_01,CSV_TLS_S02_S03_HANYANG_TECHNICAL_HIGH_SCHOOL_FRONT,800229255,180368918#0,3 4 5,3 4 5,3 4 5,3 4 5,,,,True,False,parallel_through_green,S2:upbound,10,7.5,7.5,7.5,7.5,7.5,0.09375,0.075,0.0625,0.075,0.073558,35.659,142.65,56.04,97.4,97.4,21,False,False,False,below_default_trigger,False,False,False,False,normal_preemptive,SUMO B04 B0 edgeData/laneData proxy only; no field-observed queue length.
B04_active_target15_s400,B4_MOVEMENT_02,cluster_3846534041_436877431,180368918#3,180368918#5,0 1 2,0 1 2,0 1 2,0 1 2,3,3,0,True,False,parallel_through_green,S3:upbound,12,7.5,7.5,7.5,7.5,2.837,0.09375,0.075,0.0625,0.075,0.039667,37.782,142.65,56.04,97.4,97.4,18,False,False,False,below_default_trigger,False,False,False,False,normal_preemptive,SUMO B04 B0 edgeData/laneData proxy only; no field-observed queue length.
B04_active_target15_s400,B4_MOVEMENT_03,CSV_TLS_S05_S06_GWANGHUI_INTERSECTION,180368918#8,218773868#0,5 6,5 6,5 6,5 6,4 7,4 7,2,True,True,parallel_through_green,S5:upbound,16,6.651,6.651,6.651,6.651,6.651,0.083138,0.06651,0.055425,0.06651,0.067019,36.091,60.7,17.62,82.01,82.01,1,False,False,False,below_default_trigger,False,False,False,False,normal_preemptive,SUMO B04 B0 edgeData/laneData proxy only; no field-observed queue length.
B04_active_target15_s400,B4_MOVEMENT_04,joinedS_7335400058_cluster_13348213189_13348213190_13348213191_4273893706_#1more,-1455512070,428260110,7 8,7 8,7 8,7 8,6 9,6 9,0,True,False,parallel_through_green,S6:upbound,23,24.128,24.128,24.128,24.128,24.128,0.3016,0.24128,0.201067,0.24128,0.096512,38.738,73.53,21.98,277.97,277.97,1,False,False,False,below_default_trigger,True,False,False,False,normal_preemptive,SUMO B04 B0 edgeData/laneData proxy only; no field-observed queue length.
B04_active_target15_s400,B4_MOVEMENT_05,CSV_TLS_S08_S09_TOEGYE_RO_4_GA,785130600#3,1455497345,0 1,0 1,0 1,0 1,2,2,2,True,True,parallel_through_green,S7:upbound,28,5.576,5.576,5.576,5.576,5.576,0.0697,0.05576,0.046467,0.05576,0.022304,54.609,69.2,21.35,458.69,79.36,6,False,False,False,below_default_trigger,False,False,True,True,bottleneck_first,SUMO B04 B0 edgeData/laneData proxy only; no field-observed queue length.
B04_active_target15_s400,B4_MOVEMENT_06,joinedS_11346754524_11346754527_7335400049_cluster_11346754525_11346754526_2784736947_414685366_#2more,218773869#7,218773869#8,6 7 8,6 7 8,6 7 8,6 7 8,,,,True,False,parallel_through_green,S9:upbound,35,128.731,128.731,128.731,134.817,157.994,1.0,1.0,1.0,1.0,0.631976,3.713,362.69,69.06,1248.38,1248.38,335,False,False,True,local_fill_ge_0p50+speed_le_15kmh,True,True,True,True,bottleneck_first,SUMO B04 B0 edgeData/laneData proxy only; no field-observed queue length.
B04_active_target15_s400,B4_MOVEMENT_07,joinedS_11346754524_11346754527_7335400049_cluster_11346754525_11346754526_2784736947_414685366_#2more,218773869#9,219696193#1,24 25,24 25,24 25,24 25,23,23,8,True,False,parallel_through_green,S9:upbound,37,128.731,128.731,128.731,128.731,157.994,1.0,1.0,1.0,1.0,0.631976,3.713,362.69,69.06,1248.38,1248.38,335,False,False,True,local_fill_ge_0p50+speed_le_15kmh,True,True,False,True,bottleneck_first,SUMO B04 B0 edgeData/laneData proxy only; no field-observed queue length.
B04_active_target15_s400,B4_MOVEMENT_08,CSV_TLS_S11_S12_TOEGYE_RO_2_GA,420361196,180445419,0 1,0 1,0 1,0 1,,,,True,False,parallel_through_green,S11:upbound,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.413,14.47,4.49,23.44,9.36,0,False,False,False,below_default_trigger,False,False,False,False,normal_preemptive,SUMO B04 B0 edgeData/laneData proxy only; no field-observed queue length.
B04_active_target15_s400,B4_MOVEMENT_09,CSV_TLS_S13_S14_MYEONGDONG_STATION_FRONT,347237859#1,347237859#2,0 1 2,0 1 2,0 1 2,0 1 2,3,3,2,True,True,parallel_through_green,S13:upbound,45,6.28,6.28,6.28,6.28,6.28,0.0785,0.0628,0.052333,0.0628,0.033769,57.667,38.91,16.68,59.02,50.99,6,False,False,False,below_default_trigger,False,False,False,False,normal_preemptive,SUMO B04 B0 edgeData/laneData proxy only; no field-observed queue length.
B04_active_target15_s400,B4_MOVEMENT_10,CSV_TLS_S14_S15_DAYS_HOTEL_FRONT,347237859#4,347237859#5,0 1 2,0 1 2,0 1 2,0 1 2,,,,True,False,parallel_through_green,S14:upbound,48,60.738,58.29,60.738,60.738,60.738,0.728625,0.60738,0.50615,0.60738,0.361579,16.345,137.79,68.36,477.2,477.2,27,False,False,True,local_fill_ge_0p50,True,True,True,True,bottleneck_first,SUMO B04 B0 edgeData/laneData proxy only; no field-observed queue length.
