movement_id,tls_id,from_edge,to_edge,route_order_index,q_avg_b0_proxy_veh,q_max_b0_proxy_veh,tQ_hist_b0_sec,lambda_b0_vph,L_local_m,L_corridor_m,C_local_proxy_veh,lane_count,queue_calibration_reference_m,queue_calibration_measured_m,queue_calibration_factor,queue_calibration_factor_applied,queue_calibration_source,measurement_source,field_queue_claim,measurement_note
B4_MOVEMENT_00,CSV_TLS_S01_S02_SEONGDONG_GLOBAL_BUSINESS_HIGH_SCHOOL,-174870621#2,-174870621#0,6,0.36916,7.555578,5.037052,164.123846,100.0,250.0,46.153846,3,49.111,2.39954,20.466839,2.0,b4_bottleneck_queue_readiness.csv/b4_b0_measured_signal_params.csv,SUMO_B04_AD_B0_edge_lane_data,false,"B0 measured means SUMO B04_ad_stage23_trigger no-control edge/lane data proxy, not field-observed queue length."
B4_MOVEMENT_01,CSV_TLS_S02_S03_HANYANG_TECHNICAL_HIGH_SCHOOL_FRONT,800229255,180368918#0,10,0.176359,2.247752,1.498502,214.361825,100.0,100.37,46.153846,3,14.535,1.146333,12.679556,2.0,b4_bottleneck_queue_readiness.csv/b4_b0_measured_signal_params.csv,SUMO_B04_AD_B0_edge_lane_data,false,"B0 measured means SUMO B04_ad_stage23_trigger no-control edge/lane data proxy, not field-observed queue length."
B4_MOVEMENT_02,CSV_TLS_S03_S04_TOYOKO_INN_HOTEL_FRONT,180368918#3,180368918#5,12,0.170781,1.604575,1.069717,235.474624,100.0,77.07,46.153846,3,10.43,1.110076,9.395749,2.0,b4_bottleneck_queue_readiness.csv/b4_b0_measured_signal_params.csv,SUMO_B04_AD_B0_edge_lane_data,false,"B0 measured means SUMO B04_ad_stage23_trigger no-control edge/lane data proxy, not field-observed queue length."
B4_MOVEMENT_03,CSV_TLS_S05_S06_GWANGHUI_INTERSECTION,180368918#8,218773868#0,16,0.326122,2.614936,1.74329,303.846222,100.0,101.34,46.153846,3,16.997,2.119793,8.018236,2.0,b4_bottleneck_queue_readiness.csv/b4_b0_measured_signal_params.csv,SUMO_B04_AD_B0_edge_lane_data,false,"B0 measured means SUMO B04_ad_stage23_trigger no-control edge/lane data proxy, not field-observed queue length."
B4_MOVEMENT_04,joinedS_7335400058_cluster_13348213189_13348213190_13348213191_4273893706_#1more,-1455512070,428260110,23,0.102376,1.047761,0.698507,359.342895,100.0,250.0,46.153846,3,6.81,0.665444,10.233769,2.0,b4_bottleneck_queue_readiness.csv/b4_b0_measured_signal_params.csv,SUMO_B04_AD_B0_edge_lane_data,false,"B0 measured means SUMO B04_ad_stage23_trigger no-control edge/lane data proxy, not field-observed queue length."
B4_MOVEMENT_05,CSV_TLS_S08_S09_TOEGYE_RO_4_GA,785130600#3,1455497345,28,0.252536,1.402675,0.935117,386.611373,100.0,250.0,46.153846,3,9.117,1.641484,5.554121,2.0,b4_bottleneck_queue_readiness.csv/b4_b0_measured_signal_params.csv,SUMO_B04_AD_B0_edge_lane_data,false,"B0 measured means SUMO B04_ad_stage23_trigger no-control edge/lane data proxy, not field-observed queue length."
B4_MOVEMENT_06,joinedS_11346754524_11346754527_7335400049_cluster_11346754525_11346754526_2784736947_414685366_#2more,218773869#7,218773869#8,35,3.778625,12.65353,8.435687,175.689857,100.0,250.0,46.153846,3,52.501,24.561062,2.13757,2.0,b4_bottleneck_queue_readiness.csv/b4_b0_measured_signal_params.csv,SUMO_B04_AD_B0_edge_lane_data,false,"B0 measured means SUMO B04_ad_stage23_trigger no-control edge/lane data proxy, not field-observed queue length."
B4_MOVEMENT_07,joinedS_11346754524_11346754527_7335400049_cluster_11346754525_11346754526_2784736947_414685366_#2more,218773869#9,219696193#1,37,2.009413,12.65353,8.435687,183.52287,100.0,250.0,46.153846,3,52.501,13.061184,4.01962,2.0,b4_bottleneck_queue_readiness.csv/b4_b0_measured_signal_params.csv,SUMO_B04_AD_B0_edge_lane_data,false,"B0 measured means SUMO B04_ad_stage23_trigger no-control edge/lane data proxy, not field-observed queue length."
B4_MOVEMENT_08,CSV_TLS_S11_S12_TOEGYE_RO_2_GA,420361196,180445419,42,0.180189,1.610769,1.610769,51.767222,100.0,250.0,30.769231,2,10.47,1.171229,8.939332,2.0,b4_bottleneck_queue_readiness.csv/b4_b0_measured_signal_params.csv,SUMO_B04_AD_B0_edge_lane_data,false,"B0 measured means SUMO B04_ad_stage23_trigger no-control edge/lane data proxy, not field-observed queue length."
B4_MOVEMENT_09,CSV_TLS_S13_S14_MYEONGDONG_STATION_FRONT,347237859#1,347237859#2,45,0.372908,2.616555,1.74437,197.713115,100.0,182.83,46.153846,3,17.008,2.423902,7.016785,2.0,b4_bottleneck_queue_readiness.csv/b4_b0_measured_signal_params.csv,SUMO_B04_AD_B0_edge_lane_data,false,"B0 measured means SUMO B04_ad_stage23_trigger no-control edge/lane data proxy, not field-observed queue length."
B4_MOVEMENT_10,CSV_TLS_S14_S15_DAYS_HOTEL_FRONT,347237859#4,347237859#5,48,0.029873,0.762935,0.508624,158.693833,100.0,169.67,46.153846,3,4.959,0.194174,25.538884,2.0,b4_bottleneck_queue_readiness.csv/b4_b0_measured_signal_params.csv,SUMO_B04_AD_B0_edge_lane_data,false,"B0 measured means SUMO B04_ad_stage23_trigger no-control edge/lane data proxy, not field-observed queue length."
