segment_id,direction,reference_speed_kmh,simulated_speed_kmh,speed_error_kmh,edgeData_speed_kmh,reference_travel_time_s,simulated_travel_time_s,travel_time_error_s,edgeData_travel_time_s,reference_volume_vph,observed_count,volume_error,edgeData_observed_count,screenline_edge,screenline_count,raw_edge_count_sum,edge_count,max_density,max_occupancy,fcd_traversal_sample_count,fcd_traversal_time_median_s,fcd_traversal_time_p75_s,runtime_queue_max_m,runtime_slow_count_max,runtime_halted_count_max,runtime_density_max,runtime_occupancy_max,runtime_waiting_or_timeloss_max,low_speed_interval_count,target_queue_proxy,sumo_queue_proxy,class
S1,downbound,14.5,49.684,35.184,49.684,88.6,38.978,-49.622,38.978,1128.0,4.0,-1124.0,1.0,174870621#8,4.0,555.0,15,32.13,5.47,0,,,3.946,1.578,1.578,32.13,7.93,127.86,6,2.356064,0.0,free
S1,upbound,18.3,6.142,-12.158,6.142,70.2,360.759,290.559,360.759,1128.0,2.0,-1126.0,1.0,-174870621#8,2.0,602.0,14,279.71,45.01,0,,,150.582,60.233,60.233,279.71,67.25,1201.57,56,1.520735,3.027984,off_target
S2,downbound,15.7,41.359,25.659,41.359,41.5,36.415,-5.085,36.415,1128.0,7.0,-1121.0,1.0,174870621#0,7.0,593.0,10,32.13,5.47,0,,,3.946,1.578,1.578,32.13,8.19,127.86,6,2.048674,0.0,free
S2,upbound,19.2,8.214,-10.986,8.214,33.9,370.742,336.842,370.742,1128.0,8.0,-1120.0,2.0,-381802847#0,8.0,2059.0,10,336.4,48.69,0,,,150.582,60.233,60.233,336.4,76.44,1201.57,89,1.370013,2.880945,off_target
S3,downbound,16.5,39.531,23.031,39.531,28.2,13.139,-15.061,13.139,1128.0,10.0,-1118.0,2.0,-180368918#0,10.0,640.0,7,83.09,13.14,0,,,10.102,4.041,4.041,83.09,22.59,82.01,14,1.869411,0.0,free
S3,upbound,19.2,14.383,-4.817,14.383,24.2,218.034,193.834,218.034,1128.0,33.0,-1095.0,17.0,180368918#0,33.0,2169.0,5,370.14,48.69,0,,,90.409,36.164,36.164,370.14,76.44,721.28,45,1.370113,2.2175,target_like
S4,downbound,16.5,43.081,26.581,43.081,27.5,10.723,-16.777,10.723,1128.0,9.0,-1119.0,1.0,-180368918#7,9.0,468.0,7,83.09,13.14,0,,,10.102,4.041,4.041,83.09,22.59,82.01,14,1.870791,0.0,free
S4,upbound,18.3,16.512,-1.788,16.512,24.8,302.081,277.281,302.081,1128.0,34.0,-1094.0,13.0,180368918#7,34.0,2103.0,6,370.14,61.6,0,,,89.724,35.89,35.89,370.14,76.16,720.0,42,1.522961,1.987009,target_like
S5,downbound,15.7,13.024,-2.676,13.024,9.2,29.246,20.046,29.246,1128.0,0.0,-1128.0,0.0,1395426737#0,0.0,286.0,5,277.99,33.31,0,,,35.861,14.344,14.344,277.99,64.38,286.26,37,2.049966,2.287905,target_like
S5,upbound,16.4,16.507,0.107,16.507,8.8,101.351,92.551,101.351,1128.0,38.0,-1090.0,0.0,180368918#8,38.0,830.0,3,263.45,61.6,0,,,89.724,35.89,35.89,263.45,65.86,720.0,11,1.88972,1.933101,target_like
S6,downbound,15.7,24.465,8.765,24.465,101.9,44.41,-57.49,44.41,1128.0,6.0,-1122.0,2.0,1455512070,6.0,690.0,12,277.99,33.31,0,,,35.861,14.344,14.344,277.99,64.38,286.26,46,2.047897,1.096789,off_target
S6,upbound,16.4,13.363,-3.037,13.363,97.6,1107.269,1009.669,1107.269,1128.0,39.0,-1089.0,9.0,-1455512070,39.0,3233.0,9,266.67,69.01,0,,,142.003,37.867,37.867,266.67,69.01,1200.0,95,1.890338,2.281196,target_like
S7,downbound,15.7,27.444,11.744,27.444,78.5,26.399,-52.101,26.399,1128.0,0.0,-1128.0,1.0,1455497343#1,0.0,382.0,8,42.05,7.09,0,,,4.61,1.844,1.844,42.05,20.47,69.09,10,2.049713,0.350849,off_target
S7,upbound,16.4,6.155,-10.245,6.155,75.1,1928.606,1853.506,1928.606,1128.0,39.0,-1089.0,2.0,785130600#2,39.0,1778.0,7,387.64,71.38,0,,,251.628,89.927,89.927,387.64,71.38,2160.0,111,1.889815,3.060744,off_target
S8,downbound,14.2,18.985,4.785,18.985,11.5,21.796,10.296,21.796,759.0,6.0,-753.0,3.0,785130598#8,6.0,150.0,2,29.68,7.5,0,,,0.0,0.0,0.0,29.68,15.0,99.72,0,2.450015,0.66201,target_like
S8,upbound,18.3,4.466,-13.834,4.466,8.9,976.111,967.211,976.111,759.0,38.0,-721.0,5.0,1455497345,38.0,562.0,2,387.64,65.68,0,,,224.817,89.927,89.927,387.64,66.67,2040.0,47,1.52235,3.198876,stop
S9,downbound,14.2,8.773,-5.427,8.773,118.9,720.899,601.999,720.899,759.0,4.0,-755.0,2.0,785130598#2,4.0,620.0,11,315.83,47.44,0,,,56.36,22.544,22.544,315.83,66.43,480.0,103,2.441805,2.74585,target_like
S9,upbound,16.8,2.414,-14.386,2.414,100.5,1688.412,1587.912,1688.412,759.0,23.0,-736.0,3.0,218773869#6,23.0,1902.0,11,400.0,69.6,0,,,231.987,92.795,92.795,400.0,71.42,2040.0,430,1.805941,3.458075,stop
S10,downbound,14.5,4.06,-10.44,4.06,53.3,1100.725,1047.425,1100.725,759.0,8.0,-751.0,1.0,781985779#1,8.0,822.0,13,400.0,48.77,0,,,90.879,36.351,36.351,400.0,74.37,780.0,261,2.358304,3.309446,stop
S10,upbound,16.4,16.524,0.124,16.524,47.1,70.712,23.612,70.712,759.0,11.0,-748.0,1.0,219696193#1,11.0,961.0,9,356.27,52.62,0,,,51.57,20.628,20.628,356.27,65.8,411.32,67,1.890831,1.931003,target_like
S11,downbound,14.2,19.853,5.653,19.853,32.7,53.922,21.222,53.922,759.0,9.0,-750.0,0.0,781985783,9.0,354.0,8,158.29,32.28,0,,,56.142,22.457,22.457,158.29,51.95,565.97,31,2.442892,1.342597,target_like
S11,upbound,17.3,58.143,40.843,58.143,26.8,20.959,-5.841,20.959,759.0,1.0,-758.0,2.0,420361196,1.0,678.0,6,24.68,6.53,0,,,0.0,0.0,0.0,24.68,8.18,42.78,2,1.703732,0.0,free
S12,downbound,14.9,76.558,61.658,76.558,48.6,19.289,-29.311,19.289,759.0,9.0,-750.0,0.0,781985784,9.0,479.0,12,7.12,1.69,0,,,0.0,0.0,0.0,7.12,3.27,7.27,0,2.246647,0.0,metric_invalid
S12,upbound,16.4,50.005,33.605,50.005,44.2,42.292,-1.908,42.292,759.0,1.0,-758.0,3.0,180445419,1.0,1165.0,9,43.62,7.39,0,,,2.226,0.89,0.89,43.62,17.16,55.94,6,1.890766,0.0,free
S13,downbound,15.7,74.151,58.451,74.151,14.7,5.938,-8.762,5.938,759.0,9.0,-750.0,3.0,781985786#7,9.0,290.0,3,9.05,1.65,0,,,0.0,0.0,0.0,9.05,4.36,17.44,0,2.052299,0.0,metric_invalid
S13,upbound,19.2,36.879,17.679,36.879,12.0,20.479,8.479,20.479,759.0,14.0,-745.0,5.0,347237859#1,14.0,773.0,4,85.11,14.2,0,,,39.716,15.886,15.886,85.11,40.38,350.55,8,1.371529,0.0,free
S14,downbound,16.5,75.677,59.177,75.677,44.1,10.81,-33.29,10.81,759.0,6.0,-753.0,3.0,781985786#3,6.0,404.0,5,9.05,1.58,0,,,0.0,0.0,0.0,9.05,4.36,17.44,0,1.867072,0.0,metric_invalid
S14,upbound,19.2,15.795,-3.405,15.795,37.9,335.552,297.652,335.552,759.0,14.0,-745.0,5.0,347237859#3,14.0,974.0,5,138.06,23.04,0,,,86.315,34.526,34.526,138.06,68.36,689.33,25,1.370399,1.681356,target_like
S15,downbound,16.5,70.427,53.927,70.427,35.6,9.245,-26.355,9.245,759.0,5.0,-754.0,3.0,781985786#2,5.0,127.0,2,5.39,0.89,0,,,0.0,0.0,0.0,5.39,1.58,7.24,0,1.869452,0.0,metric_invalid
S15,upbound,16.8,6.644,-10.156,6.644,34.9,437.497,402.597,437.497,759.0,25.0,-734.0,3.0,781985787#0,25.0,622.0,4,232.96,38.82,0,,,97.092,38.837,38.837,232.96,68.36,775.45,71,1.802974,2.984358,off_target
S16,downbound,14.5,0.606,-13.894,0.606,54.8,1265.206,1210.406,1265.206,759.0,21.0,-738.0,2.0,921117704#0,21.0,193.0,2,400.0,64.94,0,,,254.564,101.826,101.826,400.0,66.7,2037.28,124,2.357626,3.6035,stop
S16,upbound,18.3,49.006,30.706,49.006,43.4,23.524,-19.876,23.524,759.0,22.0,-737.0,1.0,218915135#3,22.0,531.0,5,94.97,15.92,0,,,4.128,1.651,1.651,94.97,20.47,164.04,6,1.521063,0.0,free
S17,downbound,15.7,1.162,-14.538,1.162,39.3,2599.169,2559.869,2599.169,759.0,28.0,-731.0,0.0,781983103#1,28.0,448.0,5,400.0,66.15,0,,,254.564,101.826,101.826,400.0,66.97,2037.28,155,2.051125,3.547851,stop
S17,upbound,19.2,56.291,37.091,56.291,32.1,22.327,-9.773,22.327,759.0,22.0,-737.0,1.0,781983104#0,22.0,493.0,4,94.97,15.92,0,,,4.128,1.651,1.651,94.97,20.47,164.04,6,1.371529,0.0,free
S18,downbound,16.5,4.6,-11.9,4.6,39.8,2431.252,2391.452,2431.252,759.0,33.0,-726.0,0.0,619147739#5,33.0,810.0,5,400.0,69.4,0,,,239.469,95.787,95.787,400.0,70.07,1980.0,50,1.866812,3.214368,stop
S18,upbound,18.3,76.507,58.207,76.507,35.9,16.355,-19.545,16.355,759.0,22.0,-737.0,2.0,781983104#1,22.0,458.0,4,23.34,3.96,0,,,0.0,0.0,0.0,23.34,10.38,25.24,0,1.520045,0.0,metric_invalid
S19,downbound,15.7,9.849,-5.851,9.849,63.7,1363.287,1299.587,1363.287,759.0,30.0,-729.0,0.0,619147739#0,30.0,1405.0,7,400.0,69.4,0,,,221.37,88.548,88.548,400.0,70.07,1980.0,37,2.048852,2.659275,target_like
S19,upbound,18.3,67.943,49.643,67.943,54.6,27.706,-26.894,27.706,759.0,20.0,-739.0,4.0,333557072#5,20.0,846.0,6,23.34,3.96,0,,,0.0,0.0,0.0,23.34,10.38,70.26,0,1.51958,0.0,speed_sanity_fail
S20,downbound,15.7,17.413,1.713,17.413,3.9,252.618,248.718,252.618,759.0,24.0,-735.0,0.0,619147740,24.0,413.0,2,400.0,67.24,0,,,220.089,88.036,88.036,400.0,67.24,1980.0,9,2.026,1.845365,target_like
S20,upbound,18.3,48.392,30.092,48.392,3.4,7.395,3.995,7.395,759.0,11.0,-748.0,3.0,619147738#0,11.0,106.0,1,16.08,2.78,0,,,0.0,0.0,0.0,16.08,4.27,70.26,0,1.528317,0.0,free
S21,downbound,14.2,14.998,0.798,14.998,20.8,348.681,327.881,348.681,759.0,12.0,-747.0,0.0,219696191#1,12.0,350.0,4,364.46,71.23,0,,,84.805,33.922,33.922,364.46,71.23,1440.0,16,2.439661,2.121573,target_like
S21,upbound,18.3,48.392,30.092,48.392,16.2,7.395,-8.805,7.395,759.0,11.0,-748.0,3.0,619147738#0,11.0,106.0,1,16.08,2.78,0,,,0.0,0.0,0.0,16.08,4.27,70.26,0,1.525579,0.0,free
S22,downbound,14.2,1.501,-12.699,1.501,30.5,5614.624,5584.124,5614.624,759.0,5.0,-754.0,0.0,477063271,5.0,111.0,8,266.67,70.12,0,,,43.227,11.527,11.527,266.67,70.12,360.0,46,2.443457,3.542506,stop
S22,upbound,16.8,42.939,26.139,42.939,25.8,5.051,-20.749,5.051,759.0,0.0,-759.0,0.0,1206223945,0.0,308.0,12,24.08,3.55,0,,,0.0,0.0,0.0,24.08,5.68,16.05,0,1.808561,0.0,free
